family,point_id,method,tau,T,N_ptp,N_min,N_max,Z_min,Z_max,E_min,E_max,residual,nyquist_rel,newton_ok,cont_step,n_fail,mu1_mod,mu1_re,mu1_im,mu2_mod,mu3_mod,mu_triv,align_triv,floquet_ok,wall_s
small_upper,1,switch,150.30847731014137,159.27900126373316,0.10027550198142876,89.50120944067363,89.60148494265506,0.06835542195935763,0.07029604469621444,2.0656671308578938,2.1141560517941675,6.1974314569113176e-12,0.0,True,0.0,0,1.0000878339599333,1.0000878339599333,0.0,0.7558009079572807,0.7558009079572807,0.9999999687149114,0.9999999999946789,True,1.485
small_upper,2,natural,150.22847731014136,159.20732025160308,0.161615333618073,89.46968256707383,89.6312979006919,0.06777859025179131,0.07090817177610598,2.051276741243618,2.129469759530494,2.5825661054135196e-12,7.034255887651491e-13,True,0.08000000000000002,1,1.0002287328468575,1.0002287328468575,0.0,0.7555842772781275,0.7555842772781275,0.9999999472891529,0.999999999988561,True,1.441
small_upper,3,natural,150.12447731014134,159.1141226853336,0.21670060872787644,89.44102653528051,89.65772714400839,0.06726660693877747,0.07146612515562069,2.038514777030978,2.1434340632619744,3.5964842215463477e-12,5.246054250682595e-13,True,0.10400000000000002,0,1.0004126038651306,1.0004126038651306,0.0,0.7553016843266037,0.7553016843266037,0.9999999764507694,0.9999999999992762,True,1.516
small_upper,4,natural,149.98927731014135,158.99294508071478,0.2719860918552115,89.41193748137795,89.68392357323316,0.06675820324904262,0.07203443661570866,2.025853042525072,2.157662273303988,1.919769898606205e-12,1.0449023999533466e-13,True,0.13520000000000004,0,1.0006526515597767,1.0006526515597767,0.0,0.7549321453216199,0.7549321453216199,0.9999999457597394,0.9999999999986995,True,1.464
small_upper,5,natural,149.81351731014135,158.83537895221613,0.33011162432691776,89.38099636837946,89.71110799270637,0.06622926169820632,0.07264150883997417,2.0126926853606366,2.1728648749215345,1.918964986913352e-12,4.3044473972694196e-13,True,0.17576000000000006,0,1.000966589663049,1.000966589663049,0.0,0.7544485382545009,0.7544485382545009,0.9999999461999903,0.999999999999537,True,1.475
small_upper,6,natural,149.58502931014135,158.63048310730136,0.3927583279599247,89.34723430667506,89.73999263463499,0.0656646571581137,0.07330752854747992,1.9986755704808932,2.1895468032107153,3.2692043516746594e-12,0.0,True,0.22848800000000008,0,1.001377821826645,1.001377821826645,0.0,0.7538141918366077,0.7538141918366077,0.9999999499198422,0.9999999999998618,True,1.446
small_upper,7,natural,149.28799491014135,158.3640166105229,0.4612753441638944,89.309810777366,89.77108612152989,0.06505125812536634,0.07405429683920431,1.9835344507163208,2.208169011495545,2.527943132601962e-12,1.8480891864449333e-13,True,0.2970344000000001,0,1.0019176866854702,1.0019176866854702,0.0,0.7529798503209015,0.7529798503209015,0.9999999427680298,0.9999999999999922,True,1.407
small_upper,8,natural,148.90185019014135,158.01743639058338,0.5368877683621918,89.2678989724343,89.80478674079649,0.06438112958731669,0.07490091720627452,1.9670442851027865,2.2292132706402277,2.8058527723473503e-12,4.2338031838496727e-13,True,0.3861447200000001,0,1.0026284594529726,1.0026284594529726,0.0,0.7518787199204888,0.7518787199204888,0.9999999421084674,0.9999999999999996,True,1.655
small_upper,9,natural,148.40185019014135,157.56837121257828,0.6204677982456701,89.2208077450708,89.84127554331647,0.0636480914341107,0.07586571144031684,1.9490701454672983,2.2531329536464724,2.8304580901306053e-12,4.578796821711056e-14,True,0.5,0,1.0035638987695266,1.0035638987695266,0.0,0.7504248415442342,0.7504248415442342,0.9999999487049783,0.9999999999999997,True,1.309
small_upper,10,natural,147.90185019014135,157.11896811061916,0.693278174355811,89.17910550695349,89.8723836813093,0.0630158189903759,0.0767333095143092,1.9336232443698333,2.274580972887614,2.5309060402989303e-12,1.639003169897793e-13,True,0.5,0,1.0045164411441567,1.0045164411441567,0.0,0.7489387668188494,0.7489387668188494,0.9999999409254194,0.999999999999988,True,1.309
