family,point_id,method,tau,T,N_ptp,N_min,N_max,Z_min,Z_max,E_min,E_max,residual,nyquist_rel,newton_ok,cont_step,n_fail,mu1_mod,mu1_re,mu1_im,mu2_mod,mu3_mod,mu_triv,align_triv,floquet_ok,wall_s
large_lower,1,basin-seed,4.0,375.2956174049959,53.67190517239878,41.27308450697181,94.9449896793706,0.0012972751797048255,0.7858880496409502,0.3321445158948996,23.1341437240523,5.147882120581926e-12,0.00041025235203769956,True,0.0,0,0.20395285137001032,0.20395285137001032,0.0,3.1763735522036263e-18,,0.9999984589754184,0.999999754669552,True,0.044
large_lower,2,natural,3.9,375.8959090185934,54.46194227513273,40.49258465403176,94.95452692916449,0.0012625567502647529,0.8072917880899997,0.32879714465147775,23.671040785307238,2.4726887204451486e-12,0.0003665171512603472,True,0.1,0,0.18887783922206242,0.18887783922206242,0.0,1.436500115907513e-16,,1.0000032860784376,0.9999996967292323,True,0.018
large_lower,3,natural,3.77,376.53721735766334,55.4056207146662,39.56004657704531,94.96566729171151,0.0012257022938084387,0.8338676600213191,0.3246734978194879,24.321213846055738,5.000444502911705e-12,0.00021351714567961592,True,0.13,0,0.1712204036580544,0.1712204036580544,0.0,4.104382849215438e-17,,1.0000073271695322,0.9999997207914288,True,0.076
large_lower,4,natural,3.601,377.1636739435233,56.50395161328812,38.47429520085356,94.97824681414168,0.0011832845657853627,0.8661125024488426,0.31892887025253014,25.08647111832889,7.23687776371662e-12,0.0001245151174106884,True,0.169,0,0.15105845113339106,0.15105845113339106,0.0,8.937891659427377e-18,,1.0000062285506663,0.9999998836406138,True,0.076
large_lower,5,natural,3.3813,377.6772287800944,57.73878978712542,37.25240638676575,94.99119617389117,0.001128893701807161,0.9036676011147227,0.3119219497332382,26.112918823879316,2.3092638912203256e-12,0.0007125175452937812,True,0.21970000000000003,0,0.1287332975743092,0.1287332975743092,0.0,1.0133902180950449e-16,,0.9999915156990323,0.9999999595832268,True,0.075
large_lower,6,natural,3.09569,377.92062880047365,59.063492449653765,35.937806081675575,95.00129853132934,0.0010672762682116296,0.9500153935109187,0.30380419209436715,27.221599419955155,6.366462912410498e-12,0.0015410401406713858,True,0.28561000000000003,0,0.10497017546905314,0.10497017546905314,0.0,1.6601845766184287e-19,,0.9999349436878902,0.9999990963743906,True,0.075
large_lower,7,natural,2.7243969999999997,377.6622301273485,60.580764997264254,34.43764526616387,95.01841026342812,0.0010037026880802768,1.013976077819678,0.2949842465351693,28.274233296613808,2.305711177541525e-12,0.0025567139028527404,True,0.37129300000000004,0,0.08109954873208504,0.08109954873208504,0.0,5.966146708901609e-17,,0.9996294278702257,0.9999966088896468,True,0.075
large_lower,8,natural,2.2417160999999997,376.61171521093826,62.19383291544457,32.8752632234822,95.06909613892677,0.0009337299836542373,1.0751211472179176,0.2834931413896375,29.107354339705793,8.753886504564434e-12,0.004576946262484488,True,0.4826809000000001,0,0.05927374254926709,0.05927374254926709,0.0,3.2577231258535213e-17,,0.9986435996024574,0.999992733502645,True,0.075
large_lower,9,natural,1.7417160999999997,375.0069697672274,63.50590169826725,31.647850685091445,95.1537523833587,0.0008294003260389435,1.1484050504064571,0.2643526716466898,29.570712077677154,2.597033699203166e-12,0.009529293978379618,True,0.5,0,0.04454070542094821,0.04454070542094821,0.0,9.473864061114147e-17,,1.0037496033431839,0.999984691740941,True,0.011
large_lower,10,natural,1.7097160999999996,374.89367078664685,63.58143663752998,31.57883999369262,95.1602766312226,0.0008200738469543939,1.152942305679075,0.2629002061575191,29.591727574814627,3.367972567502875e-12,0.009921603325907342,True,0.03200000000000001,3,0.04378529628432858,0.04378529628432858,0.0,3.661555099725686e-17,,1.0049063321925629,0.9999840536177567,True,0.022
large_lower,11,natural,1.7070536999999997,374.8841958544595,63.587671133137476,31.573148446798267,95.16081957993575,0.0008192979532573331,1.153314550179666,0.26277924325998975,29.59343919686211,2.5934809855243657e-12,0.009954250831434813,True,0.002662400000000001,3,0.04372321034705555,0.04372321034705555,0.0,1.6622526935859337e-17,,1.0050101685988932,0.9999839547929392,True,0.02
large_lower,12,natural,1.7035925799999996,374.87186726260245,63.59576426964014,31.565761022541214,95.16152529218135,0.0008182894693591216,1.1537972464309763,0.2626219916448146,29.595655959123345,5.311306949806749e-12,0.009996685313235063,True,0.0034611200000000016,0,0.04364265682935501,0.04364265682935501,0.0,1.7125544565339572e-17,,1.0051467724136516,0.999983827015267,True,0.046
large_lower,13,natural,1.7034773939263996,374.87145674955264,63.59603338093527,31.565515394507496,95.16154877544277,0.0008182559109954011,1.1538132867722959,0.2626167584015621,29.5957295711233,2.7959856652159942e-12,0.0099980973626791,True,0.00011518607360000008,4,0.043639979083377224,0.043639979083377224,0.0,1.028119905980838e-17,,1.005151350322994,0.999983822745533,True,0.015
large_lower,14,natural,1.7033276520307197,374.8709230616278,63.596383203591586,31.565196099789134,95.16157930338072,0.0008182122855356762,1.1538341369223073,0.2626099551990984,29.595825251158328,3.069544618483633e-12,0.009999933008923868,True,0.0001497418956800001,0,0.04363649830899912,0.04363649830899912,0.0,5.769943768943216e-18,,1.005157304669337,0.9999838171932115,True,0.014
large_lower,15,natural,1.7033226686204315,374.8709053000867,63.5963948452613,31.565185474083282,95.16158031934458,0.0008182108336884384,1.153834830770709,0.26260972878879413,29.595828435087387,2.4726887204451486e-12,0.00999999409887941,True,4.983410288230405e-06,4,0.043636382474567144,0.043636382474567144,0.0,3.3456684722717917e-18,,1.0051575028895572,0.9999838170083979,True,0.015
large_lower,851,arclength,1.7033222546999498,374.87090382481745,63.59639581221376,31.565184591516516,95.16158040373027,0.0008182107130983557,1.153834888401418,0.2626097099832222,29.595828699542693,5.023537141823908e-12,0.009999999172992267,True,6.103515625e-06,13,0.043636372853412465,0.043636372853412465,0.0,3.015269457279022e-17,,1.005157519353842,0.9999838169930472,True,0.015
large_lower,852,arclength,1.7033222184819077,374.8709036957314,63.59639589682209,31.565184514291925,95.16158041111402,0.0008182107025467235,1.153834893444105,0.26260970833773467,29.595828722682533,2.7924329515371937e-12,0.009999999616977642,True,5.340576171874999e-07,4,0.04363637201156404,0.04363637201156404,0.0,5.6289045114192495e-18,,1.0051575207944106,0.999983816991704,True,0.015
