family,point_id,method,tau,T,N_ptp,N_min,N_max,Z_min,Z_max,E_min,E_max,residual,nyquist_rel,newton_ok,cont_step,n_fail,mu1_mod,mu1_re,mu1_im,mu2_mod,mu3_mod,mu_triv,align_triv,floquet_ok,wall_s
small_lower,1,switch,3.7161490142741127,249.99428863053845,1.1006647847999602,88.97362403588221,90.07428882068217,0.06272050730864752,0.07645339605891294,1.909038292358204,2.2884574752532667,3.40394379350073e-12,0.0,True,0.0,0,1.002372421637304,1.002372421637304,0.0,6.086608356862275e-17,3.153474885988157e-17,0.9999997115914634,0.9999999992619878,True,0.892
small_lower,2,natural,3.7361490142741127,250.228659201292,1.309450661018431,88.8577089240604,90.16715958507883,0.06153170310372892,0.0778630722711701,1.8769215114537607,2.3281835741815264,2.3379076452556546e-12,8.68756044362155e-14,True,0.02,0,1.003325421640558,1.003325421640558,0.0,8.94012241834005e-16,1.4536111082009078e-16,0.9999997096486501,0.9999999996091746,True,0.025
small_lower,3,natural,3.7621490142741125,250.53620172240755,1.5444710384236942,88.72490854319838,90.26937958162208,0.06021523356356395,0.07946759767923631,1.841591725298476,2.3736161072134037,2.4078516958070395e-12,7.367385208706824e-14,True,0.026000000000000002,0,1.0045677818710321,1.0045677818710321,0.0,3.4065659370940785e-16,1.8172452103803297e-17,0.9999997102880035,0.9999999997843569,True,0.025
small_lower,4,natural,3.7959490142741124,250.94098605179477,1.8128277633968253,88.57031038770774,90.38313815110456,0.05874515988201938,0.081320567341986,1.8023116504562828,2.4263840537132193,2.2017943024366105e-12,3.139405836628253e-14,True,0.033800000000000004,0,1.0061887228290154,1.0061887228290154,0.0,5.184987924886802e-16,3.0234106426560777e-16,0.9999997015529343,0.9999999998722773,True,0.052
small_lower,5,natural,3.8398890142741124,251.4759526294147,2.123421403338469,88.3875132297665,90.51093463310497,0.05708901832492126,0.0835063641683492,1.7582491656870702,2.4885891262533244,2.9254237920994797e-12,1.3406823284455449e-14,True,0.04394000000000001,0,1.0083059118164857,1.0083059118164857,0.0,1.1102230246251565e-16,,0.9999997354349743,0.9999999999417695,True,0.024
small_lower,6,natural,3.8970110142741126,252.1869685388883,2.4880693241334484,88.16773707859534,90.65580640272879,0.05520801676042521,0.08612369391003583,1.7084058730941145,2.5630828704511743,3.2365221613872563e-12,1.1448612139945334e-14,True,0.05712200000000001,0,1.0110752026921723,1.0110752026921723,0.0,1.1102230246251565e-16,,0.9999996839043533,0.9999999999507986,True,0.051
small_lower,7,natural,3.9712696142741124,253.13943904146797,2.9232900755720124,87.89835077548528,90.8216408510573,0.05303246639084936,0.08929670387021772,1.6513037108595996,2.65391800536831,2.888009276169612e-12,1.9503759246644355e-14,True,0.07425860000000002,0,1.0147039762071777,1.0147039762071777,0.0,1.1102230246251565e-16,,0.9999997938005762,0.9999999999874236,True,0.024
small_lower,8,natural,4.067805794274112,254.42977784984294,3.4534300952397103,87.56022904603343,91.01365914127314,0.050485806442914734,0.0932218190683428,1.5851532941821764,2.7671468332077955,2.4993895841873837e-12,0.0,True,0.09653618000000003,0,1.0194699361090178,1.0194699361090178,0.0,6.661338147750939e-16,,0.9999997384296879,0.9999999999873308,True,0.025
small_lower,9,natural,4.1933028282741125,256.2069537461901,4.116625834140066,87.12260681745154,91.2392326515916,0.04749112288147707,0.09826900917495077,1.5077466748278985,2.913353801128361,2.467581694531873e-12,4.166023833978244e-14,True,0.12549703400000004,0,1.0257464432467873,1.0257464432467873,0.0,7.771561172376096e-16,,0.9999996844647121,0.9999999999891878,True,0.009
small_lower,10,natural,4.356448972474112,258.7173810010078,4.977380441288787,86.53200429641672,91.5093847377055,0.04383204000471058,0.1050118709251554,1.4155836631431717,3.1103554224122414,1.9833024111903796e-12,0.0,True,0.16314614420000007,0,1.0340343444534925,1.0340343444534925,0.0,0.0,,0.999999585864259,0.9999999999888649,True,0.008
small_lower,11,natural,4.568538959934112,262.41261762327423,6.157051678470836,85.68484674122062,91.84189841969146,0.03929885802484291,0.11449811933915557,1.3031163829584842,3.3900873146926163,2.2808421817899216e-12,4.668999457193907e-15,True,0.2120899874600001,0,1.044979296005249,1.044979296005249,0.0,4.440892098500626e-16,,0.9999996962243459,0.9999999999964914,True,0.054
small_lower,12,natural,4.844255943632112,268.26842515858425,7.925479475633878,84.3436414966519,92.26912097228578,0.03331960058722812,0.12939964905592347,1.1599034901970422,3.8279602808430693,2.4655832930875476e-12,7.295809317368032e-15,True,0.27571698369800013,0,1.0592043416885808,1.0592043416885808,0.0,0.0,,0.9999994009462699,0.9999999999928725,True,0.025
small_lower,13,natural,5.202688022439513,279.1774551940941,11.113767514697159,81.75325635751106,92.86702387220822,0.024688964382199394,0.1578959285304741,0.961696249197935,4.677764302423515,2.97895041967422e-12,4.852140485462175e-12,True,0.3584320788074002,0,1.0750613397501811,1.0750613397501811,0.0,1.1102230246251565e-16,,0.9999991071234573,0.9999999999931072,True,0.01
small_lower,14,natural,5.389072703419361,288.2202751427252,13.769305205240514,79.4729869498432,93.24229215508372,0.01926885730271319,0.18307462165835614,0.8413795073382236,5.421975796640484,3.4519054281645367e-12,3.698268378375234e-10,True,0.18638468097984812,1,1.0766763691418386,1.0766763691418386,0.0,0.0,,0.9999992823131135,0.9999999999973325,True,0.06
small_lower,15,natural,5.485992737528882,295.40705419481185,15.928321750075611,77.55836889537417,93.48669064544978,0.015760997512251292,0.20440500341822188,0.764710655254922,6.065415815170222,1.9255708139098715e-12,5.152436695904385e-09,True,0.09692003410952103,1,1.0693937000382123,1.0693937000382123,0.0,0.0,,0.9999984643195637,0.9999999999912904,True,0.032
small_lower,16,natural,5.536391155265833,300.9635070403354,17.642194520854545,76.00850670824225,93.6507012290968,0.013478796330690542,0.22166404381223898,0.7140471752895132,6.591877385716842,2.5650592760939617e-12,2.6721414243375705e-08,True,0.050398417736950946,1,1.05785002816235,1.05785002816235,0.0,1.1102230246251565e-16,,0.9999977540965854,0.9999999999852431,True,0.01
small_lower,17,natural,5.562598332489047,305.2184333095132,18.987257601507338,74.7769642750382,93.76422187654553,0.011910301524049217,0.2359019622118718,0.6793582715643022,7.014983200710921,1.7550405573274475e-12,7.700130028249051e-08,True,0.026207177223214497,1,1.04515333433654,1.04515333433654,0.0,2.220446049250313e-16,,0.9999969396414926,0.9999999999769242,True,0.062
small_lower,18,natural,5.576226064645119,308.5208248687439,20.05354287436954,73.79254169148382,93.84608456585336,0.010828780589421503,0.24745420153344902,0.654532982078016,7.3568812172447995,4.857447777339985e-12,1.5609778966874805e-07,True,0.013627732156071541,1,1.0328137432301852,1.0328137432301852,0.0,1.1102230246251565e-16,,0.9999955927486894,0.9999999999578284,True,0.063
small_lower,19,natural,5.583312485366276,311.2425110506832,20.94844731248689,72.9614270835397,93.9098743960266,0.010017183384894724,0.2572821026486147,0.6352952313101902,7.648470383430976,2.0321522242738865e-12,2.589894491504317e-07,True,0.007086420721157203,1,1.0209185847199436,1.0209185847199436,0.0,0.0,,0.9999928902019197,0.9999999999010956,True,0.036
small_lower,20,natural,5.586997424141278,314.31139136022165,21.983024303457682,71.99514655510241,93.97817085856009,0.009180200476099893,0.2687301829563397,0.614796947442723,7.9889049918732615,2.1955770534987096e-12,4.1968205470164837e-07,True,0.0036849387750017455,1,1.0055571643467034,1.0055571643467034,0.0,1.1102230246251565e-16,,0.9999778543712837,0.9999999991416466,True,0.065
small_lower,21,natural,5.58712005890371,314.6169733966132,22.08765859166317,71.89711474072537,93.98477333238854,0.009095952329310274,0.26989282896399397,0.6128204405936714,8.023522591792393,2.7604585284279892e-12,4.379037398604361e-07,True,0.00012263476243205813,4,1.0039181338716199,1.0039181338716199,0.0,1.6606789425453546e-17,,0.9999686269369813,0.9999999982946333,True,0.037
small_lower,22,natural,5.587183828980175,314.84850438429436,22.167096215771352,71.82265657683119,93.98975279260254,0.009031555065697205,0.2707765822885033,0.6113303736629587,8.049841358060176,7.887024366937112e-12,4.5190962286162566e-07,True,6.377007646467023e-05,1,1.002670444759783,1.002670444759783,0.0,5.652037634609757e-17,,0.9999531184233083,0.9999999962201807,True,0.037
small_lower,23,natural,5.587216989419936,315.03524638555746,22.231267444244622,71.76248717108282,93.99375461532745,0.008979962150870975,0.2714911799539291,0.6101332140437344,8.07112577733024,2.9238833576528123e-12,4.633188398284888e-07,True,3.316043976162852e-05,1,1.0016683094963141,1.0016683094963141,0.0,8.373240942140508e-18,,0.9999273458398524,0.9999999909768158,True,0.016
small_lower,24,natural,5.587234232848612,315.2303795319756,22.298418626871907,71.69950399818617,93.99792262505808,0.0089263797276918,0.27223962030152515,0.6088866741597988,8.093421269766223,2.4300561562995426e-12,4.753369448533178e-07,True,1.7243428676046833e-05,1,1.000687074382165,1.000687074382165,0.0,6.255225628309546e-17,,0.9998258331544156,0.999999948461419,True,0.012
