cell,truth,T,sigma,rep,module,rmse_h1,rmse_h5,persist_h1,persist_h5,retained
D6_timevarying_r,,33,33.8,5,M1_autonomous_Schaefer,32.24778967086348,31.43689692857178,41.39947629482087,39.28847510810388,True
D6_timevarying_r,,33,33.8,5,M1b_autonomous_Allee,33.413666513429554,41.679149264366664,41.39947629482087,39.28847510810388,False
D6_timevarying_r,,33,33.8,5,M2_stockflow_regimeC,83.14784947593753,76.34093349816914,41.39947629482087,39.28847510810388,False
D6_timevarying_r,,33,33.8,5,M3_AR_residual,50.68958655399743,69.94665888022976,41.39947629482087,39.28847510810388,False
D6_timevarying_r,,33,33.8,5,M4_delayed_info,49.362789954571966,69.7612348605667,41.39947629482087,39.28847510810388,False
D6_timevarying_r,,33,33.8,6,M1_autonomous_Schaefer,38.58138109499325,37.4012716912923,28.91718745580307,47.687935081891546,False
D6_timevarying_r,,33,33.8,6,M1b_autonomous_Allee,32.061836697317084,59.30911369583856,28.91718745580307,47.687935081891546,False
D6_timevarying_r,,33,33.8,6,M2_stockflow_regimeC,74.40280497940937,65.15490118932662,28.91718745580307,47.687935081891546,False
D6_timevarying_r,,33,33.8,6,M3_AR_residual,41.71245175326037,58.027738903398976,28.91718745580307,47.687935081891546,False
D6_timevarying_r,,33,33.8,6,M4_delayed_info,39.62223623873504,58.04298765822588,28.91718745580307,47.687935081891546,False
D6_timevarying_r,,33,33.8,7,M1_autonomous_Schaefer,41.46665427038585,40.28089730347139,49.09559227069723,54.66537812320919,True
D6_timevarying_r,,33,33.8,7,M1b_autonomous_Allee,40.182449651278795,38.471633201203844,49.09559227069723,54.66537812320919,False
D6_timevarying_r,,33,33.8,7,M2_stockflow_regimeC,81.9336931827458,186.17886702335008,49.09559227069723,54.66537812320919,False
D6_timevarying_r,,33,33.8,7,M3_AR_residual,60.097904087494726,182.00618737742926,49.09559227069723,54.66537812320919,False
D6_timevarying_r,,33,33.8,7,M4_delayed_info,63.78922816874895,218.65960078513027,49.09559227069723,54.66537812320919,False
D6_timevarying_r,,33,33.8,8,M1_autonomous_Schaefer,38.553079412120105,39.18297570592203,44.799943161786395,56.278685996060275,True
D6_timevarying_r,,33,33.8,8,M1b_autonomous_Allee,39.23229638979924,41.72336699587091,44.799943161786395,56.278685996060275,False
D6_timevarying_r,,33,33.8,8,M2_stockflow_regimeC,73.14717305294708,64.56880434476363,44.799943161786395,56.278685996060275,False
D6_timevarying_r,,33,33.8,8,M3_AR_residual,49.25784595961068,60.50743989246818,44.799943161786395,56.278685996060275,False
D6_timevarying_r,,33,33.8,8,M4_delayed_info,46.41236664523408,60.1010616735519,44.799943161786395,56.278685996060275,False
D6_timevarying_r,,33,33.8,9,M1_autonomous_Schaefer,34.978540540060166,33.973826456815324,40.95345808035202,56.87473643947276,True
D6_timevarying_r,,33,33.8,9,M1b_autonomous_Allee,38.65150595583744,62.124839810350416,40.95345808035202,56.87473643947276,False
D6_timevarying_r,,33,33.8,9,M2_stockflow_regimeC,85.763004577859,85.2818298458925,40.95345808035202,56.87473643947276,False
D6_timevarying_r,,33,33.8,9,M3_AR_residual,53.94892212117835,82.95991508582397,40.95345808035202,56.87473643947276,False
D6_timevarying_r,,33,33.8,9,M4_delayed_info,58.8234176291015,83.52895802124522,40.95345808035202,56.87473643947276,False
D6_timevarying_r,,33,33.8,10,M1_autonomous_Schaefer,38.936278715879936,46.20683028892409,42.96158935443826,64.94427654497788,True
D6_timevarying_r,,33,33.8,10,M1b_autonomous_Allee,42.40764290760802,67.37338402002777,42.96158935443826,64.94427654497788,False
D6_timevarying_r,,33,33.8,10,M2_stockflow_regimeC,90.80290003087303,347.7340537262821,42.96158935443826,64.94427654497788,False
D6_timevarying_r,,33,33.8,10,M3_AR_residual,72.67654888967834,338.8967149702966,42.96158935443826,64.94427654497788,False
D6_timevarying_r,,33,33.8,10,M4_delayed_info,103.67342047659396,390.4576434890323,42.96158935443826,64.94427654497788,False
D6_timevarying_r,,33,33.8,11,M1_autonomous_Schaefer,42.39462843695494,36.69401116116585,51.77906927218336,59.763633614968484,True
D6_timevarying_r,,33,33.8,11,M1b_autonomous_Allee,47.61545554015757,42.32682139981328,51.77906927218336,59.763633614968484,False
D6_timevarying_r,,33,33.8,11,M2_stockflow_regimeC,87.8923285943075,78.82610617631487,51.77906927218336,59.763633614968484,False
D6_timevarying_r,,33,33.8,11,M3_AR_residual,64.81217391686822,77.8123845505452,51.77906927218336,59.763633614968484,False
D6_timevarying_r,,33,33.8,11,M4_delayed_info,58.596521768540875,76.4675428857531,51.77906927218336,59.763633614968484,False
