dgp,truth,sigma,rep,origin,horizon,model,obs,pred,sqerr,band_retained
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1993,1,M4_delayed_info,882.0451665775753,891.7969455681289,95.09719348060239,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1993,5,M4_delayed_info,897.4785612879133,888.9153803701051,73.3280674311137,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1994,1,M1_autonomous_Schaefer,893.6561468952782,889.7778850208103,15.040915166950905,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1994,5,M1_autonomous_Schaefer,872.8329927051624,887.8656501144123,225.98078878387784,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1994,1,M1b_autonomous_Allee,893.6561468952782,886.1283839398468,56.66721511316527,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1994,5,M1b_autonomous_Allee,872.8329927051624,886.9371120816752,198.92618338692418,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1994,1,M2_stockflow_regimeC,893.6561468952782,889.7778850208103,15.040915166950905,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1994,5,M2_stockflow_regimeC,872.8329927051624,887.8656501144123,225.98078878387784,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1994,1,M3_AR_residual,893.6561468952782,892.4171514261096,1.535109772620249,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1994,5,M3_AR_residual,872.8329927051624,887.9677743174683,229.06161445219323,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1994,1,M4_delayed_info,893.6561468952782,884.3390019023328,86.80919081956704,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1994,5,M4_delayed_info,872.8329927051624,887.7734478334825,223.21719944134583,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1995,1,M1_autonomous_Schaefer,885.1873451083604,886.0283995919299,0.7073726443322758,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1995,5,M1_autonomous_Schaefer,904.9645081643705,888.0475534821946,286.18335571879163,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1995,1,M1b_autonomous_Allee,885.1873451083604,888.5592740395712,11.36990471713595,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1995,5,M1b_autonomous_Allee,904.9645081643705,887.3715236050982,309.5131057027929,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1995,1,M2_stockflow_regimeC,885.1873451083604,886.0283995919299,0.7073726443322758,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1995,5,M2_stockflow_regimeC,904.9645081643705,888.0475534821946,286.18335571879163,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1995,1,M3_AR_residual,885.1873451083604,885.1903179059842,8.837525711973793e-06,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1995,5,M3_AR_residual,904.9645081643705,888.0115073977883,287.40423499173835,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1995,1,M4_delayed_info,885.1873451083604,887.8304034285646,6.9857572840006705,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1995,5,M4_delayed_info,904.9645081643705,888.0822915802802,285.00923679213406,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1996,1,M1_autonomous_Schaefer,874.467584508607,889.043673062178,212.46235752154098,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1996,5,M1_autonomous_Schaefer,890.3710087575936,888.0514360602535,5.380417498245394,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1996,1,M1b_autonomous_Allee,874.467584508607,884.2906610921173,96.49283356550671,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1996,5,M1b_autonomous_Allee,890.3710087575936,879.3663430754323,121.102666776139,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1996,1,M2_stockflow_regimeC,874.467584508607,889.043673062178,212.46235752154098,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1996,5,M2_stockflow_regimeC,890.3710087575936,888.0514360602535,5.380417498245394,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1996,1,M3_AR_residual,874.467584508607,889.2278991939542,217.8668896104736,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1996,5,M3_AR_residual,890.3710087575936,888.0595019755848,5.343063603272639,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1996,1,M4_delayed_info,874.467584508607,888.6655317424526,201.5817056550618,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1996,5,M4_delayed_info,890.3710087575936,888.0438775486323,5.415539663721704,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1997,1,M1_autonomous_Schaefer,897.4785612879133,891.2176847916203,39.198574501834216,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1997,5,M1_autonomous_Schaefer,910.9810211199791,887.2954416119019,561.0066766334485,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1997,1,M1b_autonomous_Allee,897.4785612879133,871.2482997882173,688.0266183424335,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1997,5,M1b_autonomous_Allee,910.9810211199791,852.8157795963318,3383.1953215042236,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1997,1,M2_stockflow_regimeC,897.4785612879133,891.2176847916203,39.198574501834216,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1997,5,M2_stockflow_regimeC,910.9810211199791,887.2954416119019,561.0066766334485,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1997,1,M3_AR_residual,897.4785612879133,894.4500694911294,9.171762563187354,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1997,5,M3_AR_residual,910.9810211199791,887.4122399275592,555.487446896167,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1997,1,M4_delayed_info,897.4785612879133,885.1345350326516,152.3749841905908,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1997,5,M4_delayed_info,910.9810211199791,887.2010284980637,565.4880490983521,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1998,1,M1_autonomous_Schaefer,872.8329927051624,883.7104582204072,118.31925603533999,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1998,5,M1_autonomous_Schaefer,880.0166617836477,887.4893664206295,55.841314591569336,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1998,1,M1b_autonomous_Allee,872.8329927051624,888.3988234683161,242.2950873471425,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1998,5,M1b_autonomous_Allee,880.0166617836477,887.3381719664521,53.604511356909185,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1998,1,M2_stockflow_regimeC,872.8329927051624,883.7104582204072,118.31925603533999,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1998,5,M2_stockflow_regimeC,880.0166617836477,887.4893664206295,55.841314591569336,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1998,1,M3_AR_residual,872.8329927051624,882.3726520618366,91.0051006413812,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1998,5,M3_AR_residual,880.0166617836477,887.4242775866579,54.872771885006905,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1998,1,M4_delayed_info,872.8329927051624,886.694569338268,192.14330675546034,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1998,5,M4_delayed_info,880.0166617836477,887.5543347861664,56.81651429289865,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1999,1,M1_autonomous_Schaefer,904.9645081643705,892.5583281869863,153.91330163124928,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1999,5,M1_autonomous_Schaefer,906.1190243551648,887.2555779103807,355.8296117752391,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1999,1,M1b_autonomous_Allee,904.9645081643705,883.8614281276721,445.33998703529977,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1999,5,M1b_autonomous_Allee,906.1190243551648,886.1743399767315,397.7904349553211,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1999,1,M2_stockflow_regimeC,904.9645081643705,892.5583281869863,153.91330163124928,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1999,5,M2_stockflow_regimeC,906.1190243551648,887.2555779103807,355.8296117752391,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1999,1,M3_AR_residual,904.9645081643705,895.08067622093,97.6901338861759,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1999,5,M3_AR_residual,906.1190243551648,887.4296446368945,349.2929142536928,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1999,1,M4_delayed_info,904.9645081643705,887.2358634241774,314.3048443239761,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,1999,5,M4_delayed_info,906.1190243551648,887.0770235518914,362.5977945918636,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2000,1,M1_autonomous_Schaefer,890.3710087575936,879.0445747589258,128.2881071261771,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2000,5,M1_autonomous_Schaefer,883.4574316386077,887.2328954314287,14.254126850902546,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2000,1,M1b_autonomous_Allee,890.3710087575936,888.9471906885165,2.0272578938305235,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2000,5,M1b_autonomous_Allee,883.4574316386077,887.4969780982572,16.31793559966681,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2000,1,M2_stockflow_regimeC,890.3710087575936,879.0445747589258,128.2881071261771,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2000,5,M2_stockflow_regimeC,883.4574316386077,887.2328954314287,14.254126850902546,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2000,1,M3_AR_residual,890.3710087575936,875.9814765803849,207.05863627892475,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2000,5,M3_AR_residual,883.4574316386077,886.9210389892239,11.99657587924297,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2000,1,M4_delayed_info,890.3710087575936,886.9226257067519,11.8913456653323,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2000,5,M4_delayed_info,883.4574316386077,887.6243671211658,17.363351315802436,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2001,1,M1_autonomous_Schaefer,910.9810211199791,887.0497248077429,572.7069431840506,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2001,5,M1_autonomous_Schaefer,874.6587425874186,887.9998234897694,177.98443964306838,True
