K,period,mode,state,real,imag,real_lo_1ulp,real_hi_1ulp,imag_lo_1ulp,imag_hi_1ulp
80,370.93117783952863,-80,N,-2.6346124040163651e-11,1.0052226408061596e-10,-2.6346124040163654e-11,-2.6346124040163648e-11,1.0052226408061594e-10,1.0052226408061597e-10
80,370.93117783952863,-80,A,3.5770516983229355e-12,9.6499775044484479e-13,3.5770516983229351e-12,3.5770516983229359e-12,9.6499775044484459e-13,9.6499775044484499e-13
80,370.93117783952863,-80,Z,-2.6476508938176542e-10,-3.996565386689746e-11,-2.6476508938176547e-10,-2.6476508938176537e-10,-3.9965653866897467e-11,-3.9965653866897454e-11
80,370.93117783952863,-80,E,-1.6634742196544921e-09,-7.3635252174554993e-10,-1.6634742196544923e-09,-1.6634742196544919e-09,-7.3635252174555003e-10,-7.3635252174554983e-10
80,370.93117783952863,-79,N,6.0106946335294877e-11,-3.2489952757160886e-11,6.0106946335294864e-11,6.010694633529489e-11,-3.2489952757160892e-11,-3.2489952757160879e-11
80,370.93117783952863,-79,A,-1.4908654021462058e-12,-2.2830653861572452e-12,-1.490865402146206e-12,-1.4908654021462056e-12,-2.2830653861572456e-12,-2.2830653861572448e-12
80,370.93117783952863,-79,Z,2.1234248456360794e-10,1.6523277639154073e-10,2.1234248456360791e-10,2.1234248456360796e-10,1.652327763915407e-10,1.6523277639154075e-10
80,370.93117783952863,-79,E,8.1846500453530559e-10,1.4800305218792381e-09,8.1846500453530549e-10,8.184650045353057e-10,1.4800305218792379e-09,1.4800305218792383e-09
80,370.93117783952863,-78,N,-5.9826539857409515e-11,-2.588038823965147e-12,-5.9826539857409528e-11,-5.9826539857409502e-11,-2.5880388239651475e-12,-2.5880388239651466e-12
80,370.93117783952863,-78,A,2.0036422486651271e-14,2.4882015012910911e-12,2.0036422486651268e-14,2.0036422486651274e-14,2.4882015012910907e-12,2.4882015012910915e-12
80,370.93117783952863,-78,Z,-1.1530991635567072e-10,-2.672762899546478e-10,-1.1530991635567074e-10,-1.1530991635567071e-10,-2.6727628995464786e-10,-2.6727628995464775e-10
80,370.93117783952863,-78,E,-2.3520314750356343e-11,-1.7198666286854033e-09,-2.3520314750356346e-11,-2.3520314750356339e-11,-1.7198666286854035e-09,-1.7198666286854031e-09
80,370.93117783952863,-77,N,5.7357481083549232e-11,2.9084613944294429e-11,5.7357481083549225e-11,5.7357481083549238e-11,2.9084613944294425e-11,2.9084613944294432e-11
80,370.93117783952863,-77,A,1.1439296714845835e-12,-2.3874670356635957e-12,1.1439296714845833e-12,1.1439296714845837e-12,-2.3874670356635961e-12,-2.3874670356635953e-12
80,370.93117783952863,-77,Z,-3.2353536861328143e-11,3.2446679927456238e-10,-3.2353536861328149e-11,-3.2353536861328136e-11,3.2446679927456232e-10,3.2446679927456243e-10
80,370.93117783952863,-77,E,-7.9248674979124362e-10,1.7443734434823525e-09,-7.9248674979124372e-10,-7.9248674979124352e-10,1.7443734434823523e-09,1.7443734434823527e-09
80,370.93117783952863,-76,N,-4.74988911212198e-11,-5.8887179035707458e-11,-4.7498891121219807e-11,-4.7498891121219794e-11,-5.8887179035707471e-11,-5.8887179035707445e-11
