depensation fit: {'r': 2.0, 'K': 1671.6596479199984, 's_allee': 642.3296235050077}

                variant   policy     UC   T  boundary_grid  boundary_committed  n_intervals  boundary
    grid_schaefer_check   flat_0 UC_q10   5         884.60             884.600            1       NaN
    grid_schaefer_check   flat_0 UC_q10 inf         884.60             884.600            1       NaN
    grid_schaefer_check       S1 UC_min   1        1189.90            1189.858            1       NaN
    grid_schaefer_check       S1 UC_min   3        1717.60            1717.534            1       NaN
    grid_schaefer_check       S1 UC_min   5        2184.25            2184.187            1       NaN
    grid_schaefer_check       S1 UC_min inf            NaN                 NaN            0       NaN
    grid_schaefer_check       S1 UC_q05   1        1064.90            1064.851            1       NaN
    grid_schaefer_check       S1 UC_q05   3        1368.05            1367.975            1       NaN
    grid_schaefer_check       S1 UC_q05   5        1617.80            1617.748            1       NaN
    grid_schaefer_check       S1 UC_q05 inf            NaN                 NaN            0       NaN
    grid_schaefer_check       S1 UC_q10   1         886.70             886.668            1       NaN
    grid_schaefer_check       S1 UC_q10   3         890.05             890.017            1       NaN
    grid_schaefer_check       S1 UC_q10   5         892.55             892.539            1       NaN
    grid_schaefer_check       S1 UC_q10 inf         900.10             900.251            1       NaN
    grid_schaefer_check      cpm UC_min   1        1189.90            1189.858            1       NaN
    grid_schaefer_check      cpm UC_min   3        1717.60            1717.534            1       NaN
    grid_schaefer_check      cpm UC_min   5        2184.25            2184.187            1       NaN
    grid_schaefer_check      cpm UC_min inf            NaN                 NaN            0       NaN
    grid_schaefer_check      cpm UC_q05   1        1064.90            1064.851            1       NaN
    grid_schaefer_check      cpm UC_q05   3        1368.05            1367.975            1       NaN
    grid_schaefer_check      cpm UC_q05   5        1617.80            1617.748            1       NaN
    grid_schaefer_check      cpm UC_q05 inf            NaN                 NaN            0       NaN
    grid_schaefer_check      cpm UC_q10   1         886.70             886.668            1       NaN
    grid_schaefer_check      cpm UC_q10   3         890.05             890.017            1       NaN
    grid_schaefer_check      cpm UC_q10   5         892.55             892.539            1       NaN
    grid_schaefer_check      cpm UC_q10 inf         900.10             900.251            1       NaN
        depensation_fit      BAU UC_min   1            NaN                 NaN            1   1043.85
        depensation_fit      BAU UC_min   3            NaN                 NaN            1   1246.55
        depensation_fit      BAU UC_min   5            NaN                 NaN            0       NaN
        depensation_fit      BAU UC_min inf            NaN                 NaN            0       NaN
        depensation_fit      BAU UC_q05   1            NaN                 NaN            1    957.75
        depensation_fit      BAU UC_q05   3            NaN                 NaN            1   1028.35
        depensation_fit      BAU UC_q05   5            NaN                 NaN            1   1056.40
        depensation_fit      BAU UC_q05 inf            NaN                 NaN            1   1077.35
        depensation_fit      BAU UC_q10   1            NaN                 NaN            1    884.60
        depensation_fit      BAU UC_q10   3            NaN                 NaN            1    884.60
        depensation_fit      BAU UC_q10   5            NaN                 NaN            1    884.60
        depensation_fit      BAU UC_q10 inf            NaN                 NaN            1    884.60
        depensation_fit flat_100 UC_min   1            NaN                 NaN            1   1215.30
        depensation_fit flat_100 UC_min   3            NaN                 NaN            0       NaN
        depensation_fit flat_100 UC_min   5            NaN                 NaN            0       NaN
        depensation_fit flat_100 UC_min inf            NaN                 NaN            0       NaN
        depensation_fit flat_100 UC_q05   1            NaN                 NaN            1   1106.15
        depensation_fit flat_100 UC_q05   3            NaN                 NaN            0       NaN
        depensation_fit flat_100 UC_q05   5            NaN                 NaN            0       NaN
        depensation_fit flat_100 UC_q05 inf            NaN                 NaN            0       NaN
        depensation_fit flat_100 UC_q10   1            NaN                 NaN            1    976.10
        depensation_fit flat_100 UC_q10   3            NaN                 NaN            1   1067.90
        depensation_fit flat_100 UC_q10   5            NaN                 NaN            1   1108.55
        depensation_fit flat_100 UC_q10 inf            NaN                 NaN            1   1152.60
        depensation_fit  flat_75 UC_min   1            NaN                 NaN            1   1165.85
        depensation_fit  flat_75 UC_min   3            NaN                 NaN            0       NaN
        depensation_fit  flat_75 UC_min   5            NaN                 NaN            0       NaN
        depensation_fit  flat_75 UC_min inf            NaN                 NaN            0       NaN
        depensation_fit  flat_75 UC_q05   1            NaN                 NaN            1   1065.65
        depensation_fit  flat_75 UC_q05   3            NaN                 NaN            1   1334.80
        depensation_fit  flat_75 UC_q05   5            NaN                 NaN            0       NaN
        depensation_fit  flat_75 UC_q05 inf            NaN                 NaN            0       NaN
        depensation_fit  flat_75 UC_q10   1            NaN                 NaN            1    940.90
        depensation_fit  flat_75 UC_q10   3            NaN                 NaN            1    993.65
        depensation_fit  flat_75 UC_q10   5            NaN                 NaN            1   1013.05
        depensation_fit  flat_75 UC_q10 inf            NaN                 NaN            1   1025.05
        depensation_fit  flat_50 UC_min   1            NaN                 NaN            1   1121.15
        depensation_fit  flat_50 UC_min   3            NaN                 NaN            0       NaN
        depensation_fit  flat_50 UC_min   5            NaN                 NaN            0       NaN
        depensation_fit  flat_50 UC_min inf            NaN                 NaN            0       NaN
        depensation_fit  flat_50 UC_q05   1            NaN                 NaN            1   1027.25
        depensation_fit  flat_50 UC_q05   3            NaN                 NaN            1   1195.00
        depensation_fit  flat_50 UC_q05   5            NaN                 NaN            1   1339.65
        depensation_fit  flat_50 UC_q05 inf            NaN                 NaN            0       NaN
        depensation_fit  flat_50 UC_q10   1            NaN                 NaN            1    906.50
        depensation_fit  flat_50 UC_q10   3            NaN                 NaN            1    926.10
        depensation_fit  flat_50 UC_q10   5            NaN                 NaN            1    932.55
        depensation_fit  flat_50 UC_q10 inf            NaN                 NaN            1    935.75
        depensation_fit  flat_25 UC_min   1            NaN                 NaN            1   1079.75
        depensation_fit  flat_25 UC_min   3            NaN                 NaN            1   1438.25
        depensation_fit  flat_25 UC_min   5            NaN                 NaN            0       NaN
        depensation_fit  flat_25 UC_min inf            NaN                 NaN            0       NaN
        depensation_fit  flat_25 UC_q05   1            NaN                 NaN            1    990.40
        depensation_fit  flat_25 UC_q05   3            NaN                 NaN            1   1100.45
        depensation_fit  flat_25 UC_q05   5            NaN                 NaN            1   1154.85
        depensation_fit  flat_25 UC_q05 inf            NaN                 NaN            0       NaN
        depensation_fit  flat_25 UC_q10   1            NaN                 NaN            1    884.60
        depensation_fit  flat_25 UC_q10   3            NaN                 NaN            1    884.60
        depensation_fit  flat_25 UC_q10   5            NaN                 NaN            1    884.60
        depensation_fit  flat_25 UC_q10 inf            NaN                 NaN            1    884.60
        depensation_fit   flat_0 UC_min   1            NaN                 NaN            1   1040.65
        depensation_fit   flat_0 UC_min   3            NaN                 NaN            1   1235.95
        depensation_fit   flat_0 UC_min   5            NaN                 NaN            0       NaN
        depensation_fit   flat_0 UC_min inf            NaN                 NaN            0       NaN
        depensation_fit   flat_0 UC_q05   1            NaN                 NaN            1    954.80
        depensation_fit   flat_0 UC_q05   3            NaN                 NaN            1   1022.20
        depensation_fit   flat_0 UC_q05   5            NaN                 NaN            1   1048.55
        depensation_fit   flat_0 UC_q05 inf            NaN                 NaN            1   1067.55
        depensation_fit   flat_0 UC_q10   1            NaN                 NaN            1    884.60
        depensation_fit   flat_0 UC_q10   3            NaN                 NaN            1    884.60
        depensation_fit   flat_0 UC_q10   5            NaN                 NaN            1    884.60
        depensation_fit   flat_0 UC_q10 inf            NaN                 NaN            1    884.60
        depensation_fit       S1 UC_min   1            NaN                 NaN            1   1079.75
        depensation_fit       S1 UC_min   3            NaN                 NaN            1   1438.25
        depensation_fit       S1 UC_min   5            NaN                 NaN            0       NaN
        depensation_fit       S1 UC_min inf            NaN                 NaN            0       NaN
        depensation_fit       S1 UC_q05   1            NaN                 NaN            1    990.40
        depensation_fit       S1 UC_q05   3            NaN                 NaN            1   1100.45
        depensation_fit       S1 UC_q05   5            NaN                 NaN            1   1154.85
        depensation_fit       S1 UC_q05 inf            NaN                 NaN            0       NaN
        depensation_fit       S1 UC_q10   1            NaN                 NaN            1    884.60
        depensation_fit       S1 UC_q10   3            NaN                 NaN            1    884.60
        depensation_fit       S1 UC_q10   5            NaN                 NaN            1    884.60
        depensation_fit       S1 UC_q10 inf            NaN                 NaN            1    884.60
        depensation_fit      cpm UC_min   1            NaN                 NaN            1   1079.75
        depensation_fit      cpm UC_min   3            NaN                 NaN            1   1438.25
        depensation_fit      cpm UC_min   5            NaN                 NaN            0       NaN
        depensation_fit      cpm UC_min inf            NaN                 NaN            0       NaN
        depensation_fit      cpm UC_q05   1            NaN                 NaN            1    990.40
        depensation_fit      cpm UC_q05   3            NaN                 NaN            1   1100.45
        depensation_fit      cpm UC_q05   5            NaN                 NaN            1   1154.85
        depensation_fit      cpm UC_q05 inf            NaN                 NaN            0       NaN
        depensation_fit      cpm UC_q10   1            NaN                 NaN            1    884.60
        depensation_fit      cpm UC_q10   3            NaN                 NaN            1    884.60
        depensation_fit      cpm UC_q10   5            NaN                 NaN            1    884.60
        depensation_fit      cpm UC_q10 inf            NaN                 NaN            1    884.60
depensation_s0=0.5Kstar      BAU UC_min   1            NaN                 NaN            1   1306.30
depensation_s0=0.5Kstar      BAU UC_min   3            NaN                 NaN            1   2061.25
depensation_s0=0.5Kstar      BAU UC_min   5            NaN                 NaN            1   2717.70
depensation_s0=0.5Kstar      BAU UC_min inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar      BAU UC_q05   1            NaN                 NaN            1   1174.20
depensation_s0=0.5Kstar      BAU UC_q05   3            NaN                 NaN            1   1695.25
