g,recorded_lo,recorded_hi,rerun_lo,rerun_hi,n_points
1.0,1.565,1.585,1.564322033898305,1.5856779661016949,10
2.0,0.77,0.81,0.7669491525423728,0.8049152542372882,15
3.0,0.5,0.55,0.49186440677966103,0.5466101694915255,20
5.0,0.28,0.33,0.26033898305084746,0.33237288135593224,26
