class_,criterion,verdict
anchovy,persistent oscillation at T_r=3-4,MISMATCH
anchovy,weak response at T_r=2 (below 3-4),MISMATCH
anchovy,annual-review convergence,MATCH
sprat,persistent oscillation at T_r=6-12,MISMATCH
cod,"convergence for every T_r in [1,20]",MATCH
slow_stock,"oscillation below 20-30, convergence 30-50",MATCH
