class_,q,channel,T_r,rho
slow_stock,0.1,extractive,4,2.5135593
slow_stock,0.1,extractive,5,2.96555924
slow_stock,0.1,extractive,6,3.41020846
slow_stock,0.1,extractive,7,3.83900706
slow_stock,0.1,extractive,8,4.24765253
slow_stock,0.1,extractive,9,4.63709925
slow_stock,0.1,extractive,10,5.0086456
slow_stock,0.1,extractive,11,5.35944057
slow_stock,0.1,extractive,12,5.69792105
slow_stock,0.1,extractive,13,6.03118582
slow_stock,0.1,extractive,14,6.36308045
slow_stock,0.1,extractive,15,6.67661727
slow_stock,0.1,extractive,16,6.96291928
slow_stock,0.1,extractive,17,7.23256591
slow_stock,0.1,extractive,18,7.49799516
slow_stock,0.1,extractive,19,7.76792673
slow_stock,0.1,extractive,20,8.04576688
slow_stock,0.1,extractive,21,8.33365587
slow_stock,0.1,extractive,22,8.63295921
slow_stock,0.1,extractive,23,8.94371554
slow_stock,0.1,extractive,24,9.26495281
slow_stock,0.1,extractive,25,9.5951294
slow_stock,0.1,extractive,26,9.93254748
slow_stock,0.1,extractive,27,10.27563641
slow_stock,0.1,extractive,28,10.62216876
slow_stock,0.1,extractive,29,10.88591629
slow_stock,0.1,extractive,30,11.02953677
slow_stock,0.1,extractive,31,11.0489301
slow_stock,0.1,extractive,32,10.95851721
slow_stock,0.1,extractive,33,10.78100569
slow_stock,0.1,extractive,34,10.54115312
slow_stock,0.1,extractive,35,10.2623013
slow_stock,0.1,extractive,36,9.9646639
slow_stock,0.1,extractive,37,9.66468005
slow_stock,0.1,extractive,38,9.37489265
slow_stock,0.1,extractive,39,9.1042524
slow_stock,0.1,extractive,40,8.85883177
slow_stock,0.1,extractive,41,8.64248675
slow_stock,0.1,extractive,42,8.45634901
slow_stock,0.1,extractive,43,8.29796092
slow_stock,0.1,extractive,44,8.16382354
slow_stock,0.1,extractive,45,8.05148737
slow_stock,0.1,extractive,46,7.96000452
slow_stock,0.1,extractive,47,7.88940179
slow_stock,0.1,extractive,48,7.83993141
slow_stock,0.1,extractive,49,7.81160858
slow_stock,0.1,extractive,50,7.8040358
slow_stock,0.1,protective,1,0.98662614
slow_stock,0.1,protective,2,0.95228578
slow_stock,0.1,protective,3,0.92928933
slow_stock,0.1,protective,4,0.90684821
slow_stock,0.1,protective,5,0.88494901
slow_stock,0.1,protective,6,0.86357865
slow_stock,0.1,protective,7,0.84272436
slow_stock,0.1,protective,8,0.82237367
slow_stock,0.1,protective,9,0.80251443
slow_stock,0.1,protective,10,0.78313475
slow_stock,0.1,protective,11,0.76422308
slow_stock,0.1,protective,12,0.74576809
slow_stock,0.1,protective,13,0.72775877
slow_stock,0.1,protective,14,0.71018435
slow_stock,0.1,protective,15,0.69303433
slow_stock,0.1,protective,16,0.67629846
slow_stock,0.1,protective,17,0.65996674
slow_stock,0.1,protective,18,0.6440294
slow_stock,0.1,protective,19,0.62847694
slow_stock,0.1,protective,20,0.61330004
slow_stock,0.1,protective,21,0.59848965
slow_stock,0.1,protective,22,0.58403691
slow_stock,0.1,protective,23,0.56993319
slow_stock,0.1,protective,24,0.55617005
slow_stock,0.1,protective,25,0.54273927
slow_stock,0.1,protective,26,0.52963283
slow_stock,0.1,protective,27,0.51684289
slow_stock,0.1,protective,28,0.50436181
slow_stock,0.1,protective,29,0.49218213
slow_stock,0.1,protective,30,0.48029658
slow_stock,0.1,protective,31,0.46869805
slow_stock,0.1,protective,32,0.45737961
slow_stock,0.1,protective,33,0.44633449
slow_stock,0.1,protective,34,0.4355561
slow_stock,0.1,protective,35,0.42503799
slow_stock,0.1,protective,36,0.41477388
slow_stock,0.1,protective,37,0.40475764
slow_stock,0.1,protective,38,0.39498327
slow_stock,0.1,protective,39,0.38544494
slow_stock,0.1,protective,40,0.37613695
slow_stock,0.1,protective,41,0.36705374
slow_stock,0.1,protective,42,0.35818987
slow_stock,0.1,protective,43,0.34954006
slow_stock,0.1,protective,44,0.34109913
slow_stock,0.1,protective,45,0.33286203
slow_stock,0.1,protective,46,0.32482385
slow_stock,0.1,protective,47,0.31697978
slow_stock,0.1,protective,48,0.30932513
slow_stock,0.1,protective,49,0.30185534
slow_stock,0.1,protective,50,0.29456593
