class_,q,channel,T_r,rho
anchovy,0.1,protective,5,0.32768
anchovy,0.1,protective,6,0.262144
anchovy,0.1,protective,7,0.2097152
anchovy,0.1,protective,8,0.16777216
anchovy,0.1,protective,9,0.13421773
anchovy,0.1,protective,10,0.10737418
anchovy,0.1,protective,11,0.08589935
anchovy,0.1,protective,12,0.06871948
anchovy,0.1,protective,13,0.05497558
anchovy,0.1,protective,14,0.04398047
anchovy,0.1,protective,15,0.03518437
anchovy,0.1,protective,16,0.0281475
anchovy,0.1,protective,17,0.022518
anchovy,0.1,protective,18,0.0180144
anchovy,0.1,protective,19,0.01441152
anchovy,0.1,protective,20,0.01152922
anchovy,0.1,protective,21,0.00922337
anchovy,0.1,protective,22,0.0073787
anchovy,0.1,protective,23,0.00590296
anchovy,0.1,protective,24,0.00472237
anchovy,0.1,protective,25,0.00377789
anchovy,0.1,protective,26,0.00302231
anchovy,0.1,protective,27,0.00241785
anchovy,0.1,protective,28,0.00193428
anchovy,0.1,protective,29,0.00154743
anchovy,0.1,protective,30,0.00123794
anchovy,0.1,protective,31,0.00099035
anchovy,0.1,protective,32,0.00079228
anchovy,0.1,protective,33,0.00063383
anchovy,0.1,protective,34,0.00050706
anchovy,0.1,protective,35,0.00040565
anchovy,0.1,protective,36,0.00032452
anchovy,0.1,protective,37,0.00025961
anchovy,0.1,protective,38,0.00020769
anchovy,0.1,protective,39,0.00016615
anchovy,0.1,protective,40,0.00013292
anchovy,0.1,protective,41,0.00010634
anchovy,0.1,protective,42,8.507e-05
anchovy,0.1,protective,43,6.806e-05
anchovy,0.1,protective,44,5.445e-05
anchovy,0.1,protective,45,4.356e-05
anchovy,0.1,protective,46,3.484e-05
anchovy,0.1,protective,47,2.788e-05
anchovy,0.1,protective,48,2.23e-05
anchovy,0.1,protective,49,1.784e-05
anchovy,0.1,protective,50,1.427e-05
sprat,0.001,extractive,1,0.92312155
sprat,0.001,extractive,2,0.85288143
sprat,0.001,extractive,3,0.78870004
sprat,0.001,extractive,4,0.72998221
sprat,0.001,extractive,5,0.67626666
sprat,0.001,extractive,6,0.62705477
sprat,0.001,extractive,7,0.58184554
sprat,0.001,extractive,8,0.54017198
sprat,0.001,extractive,9,0.50162738
sprat,0.001,extractive,10,0.46585053
sprat,0.001,extractive,11,0.43253005
sprat,0.001,extractive,12,0.40140634
sprat,0.001,extractive,13,0.37226996
sprat,0.001,extractive,14,0.34495436
sprat,0.001,extractive,15,0.31932757
sprat,0.001,extractive,16,0.29528418
sprat,0.001,extractive,17,0.27273801
sprat,0.001,extractive,18,0.25161609
sprat,0.001,extractive,19,0.2318538
sprat,0.001,extractive,20,0.21339147
sprat,0.001,extractive,21,0.19617194
sprat,0.001,extractive,22,0.1801392
sprat,0.001,extractive,23,0.1830525
sprat,0.001,extractive,24,0.32779771
sprat,0.001,extractive,25,0.41616043
sprat,0.001,extractive,26,0.49355294
sprat,0.001,extractive,27,0.56548847
sprat,0.001,extractive,28,0.63410126
sprat,0.001,extractive,29,0.70048357
sprat,0.001,extractive,30,0.76528175
sprat,0.001,extractive,31,0.8289137
sprat,0.001,extractive,32,0.89166604
sprat,0.001,extractive,33,0.95374364
sprat,0.001,extractive,34,1.01529724
