model,horizon,n,rmse,mae,log_rmse
naive_persist,1,59,84.42788518380742,58.71186440677966,0.3624204406684423
naive_persist,5,55,299.9796962826287,217.27272727272728,1.2697777087809792
naive_train_mean,1,59,458.1246227363837,397.3473392789492,1.783919178941194
naive_train_mean,5,55,521.5592508764037,456.7957994390212,1.9013588618708996
