omega,window,train,test,model,n,rmse,mae,log_rmse,brier_below_lrp,direction_hit
xteNCAM,pre_to_collapse,1954-1989,1990-1995,persist,6,632.7481068060707,563.8333333333334,2.583335572928253,0.5,0.0
xteNCAM,pre_to_collapse,1954-1989,1990-1995,mean,6,591.2276390206866,516.8055555555555,2.540466312244035,0.5,0.0
xteNCAM,recovery_stall,1995-2012,2013-2024,persist,12,261.6548298808948,246.58333333333334,1.1632691361717509,0.75,0.0
xteNCAM,recovery_stall,1995-2012,2013-2024,mean,12,320.7012618976047,308.52777777777777,1.953368848937786,0.75,0.0
