model,horizon,n,rmse,mae,log_rmse
naive_persist_on_Mcap_origins,1,24,96.632648597666,44.7925,0.5295930014550922
naive_persist_on_Mcap_origins,5,20,193.042310673075,101.402,1.3938132491990989
