class_,q,T_r,kind,rel_A,exc_A,exc_E,peak_A,peak_E
sprat,0.001,26,converged,0.0,0.0,0.0,2.2522522522522523,45.45454545454546
sprat,0.001,27,converged,0.0,0.0,0.0,,
sprat,0.001,28,converged,0.0,0.0,0.0,,
sprat,0.001,29,converged,0.0,0.0,0.0,2.272727272727273,2.272727272727273
sprat,0.001,30,converged,0.0,0.0,0.0,2.0,2.0
sprat,0.001,31,converged,0.0,0.0,0.0,5.6818181818181825,17.241379310344826
sprat,0.001,32,converged,0.0,0.0,0.0,2.0,2.2831050228310503
sprat,0.001,33,converged,0.0,0.0,0.0,2.5,2.5
sprat,0.001,34,converged,0.00045,0.001,0.131,2.0,2.0
sprat,0.001,35,converged,0.00098,0.002,0.291,2.0,2.0
sprat,0.001,36,weak,0.00128,0.003,0.386,2.0,2.0
sprat,0.001,37,weak,0.00151,0.003,0.46,2.0,2.0
sprat,0.001,38,weak,0.00168,0.003,0.521,2.0,2.0
sprat,0.001,39,weak,0.00183,0.004,0.573,2.0,2.0
sprat,0.001,40,weak,0.00196,0.004,0.62,2.0,2.0
sprat,0.001,41,weak,0.00207,0.004,0.662,2.0,2.0
sprat,0.001,42,weak,0.00211,0.005,0.8,2.0,2.0
sprat,0.001,43,weak,0.00215,0.005,0.876,2.0,2.0
sprat,0.001,44,weak,0.00216,0.006,0.957,2.0,2.0
sprat,0.001,45,weak,0.00198,0.006,1.018,2.0,2.0
sprat,0.001,46,weak,0.00234,0.007,1.154,2.5125628140703515,2.5125628140703515
sprat,0.001,47,weak,0.00245,0.007,1.265,2.463054187192118,2.463054187192118
sprat,0.001,48,weak,0.00285,0.008,1.478,2.8735632183908044,2.8735632183908044
sprat,0.001,49,weak,0.00281,0.009,1.574,2.717391304347826,2.717391304347826
sprat,0.001,50,weak,0.00318,0.009,1.893,2.202643171806167,2.202643171806167
cod,0.001,1,converged,0.0,0.0,0.0,125.0,125.0
cod,0.001,2,converged,0.0,0.0,0.0,62.5,62.5
cod,0.001,3,converged,0.0,0.0,0.0,41.666666666666664,38.46153846153846
cod,0.001,4,converged,0.0,0.0,0.0,31.25,31.25
cod,0.001,5,converged,0.0,0.0,0.0,25.0,25.0
