model,horizon,n,rmse,mae,log_rmse
naive_persist,1,33,75.40155130628241,42.666666666666664,0.4522004857339728
naive_persist,5,29,167.60843119275518,107.20689655172414,1.1945812144126062
naive_train_mean,1,33,499.1164557909457,442.31494654708536,2.3096497592814966
naive_train_mean,5,29,510.7999552621699,447.98830166334983,2.2475313288919345
