model,horizon,n,rmse,mae,log_rmse
naive_persist_on_Mcap_origins,1,36,78.64459436110165,46.75,0.4351206775728484
naive_persist_on_Mcap_origins,5,32,287.918662559411,170.40625,1.5714176316074002
