stockid,SSB_now,F_now,B_lim,ADH,lastyear
CODNEAR,1490000.0,0.401,532000.0,2.568299026428579,2018
CODNEARNCW,16800.0,0.331,15000.0,0.3423827350664751,2015
CODVIIek,7140.0,0.439,5260.0,0.6960859899814908,2017
CODVIa,2480.0,0.944,8080.0,0.0,2017
CPANDMEDGSA15-16,549.0,0.72,300.0,0.8393277317407355,2011
CROCKPCOAST,4160000000.0,0.0256,1498000000.0,39.897819889771256,2015
CSARDCSCH,1320000.0,0.191,400000.0,6.250902976295468,2015
CUSKVa-XIV,14000.0,0.0878,4340.0,13.339213912334227,2018
DABIIIa-IV,1.97,0.766,0.394,2.101093880462272,2016
DEEPFLATHEADSE,4950.0,0.0504,2200.0,16.089885242387474,2015
DKROCKPCOAST,1260000000.0,0.113,640000000.0,5.994679854794744,2015
DOYSFS,1440000000.0,0.01,750000000.0,65.23251860396901,2012
DSOLEGA,48900.0,0.00271,10780.0,557.9648822878138,2015
DUSROCKGA,27700.0,0.0535,6740.0,26.41817735082387,2015
EBASSGSA7,246.0,0.536,99.2,1.6943908985849547,2015
EBASSIVbc-VII,8510.0,0.12,5720.0,3.310609476613135,2018
EBASSVIIIab,1.61,0.957,0.36800000000000005,1.542222068766539,2014
ESOLEPCOAST,41900.0,0.037,8440.0,43.30550049514125,2007
FLSOLEBSAI,240000.0,0.0448,63800.0,29.573342254268912,2015
FLSOLEGA,82000.0,0.016,16400.0,100.58986952713127,2015
FMEG8c9a,7490.0,0.177,1498.0,9.09286956177458,2017
GAGGM,11800.0,0.083,2780.0,17.417453057458715,2012
GAGSATLC,1780.0,0.402,936.0,1.5988884746481062,2012
GEMFISHNZ,2950.0,0.124,2300.0,2.007226188843745,2006
GHAL23KLMNO,2130.0,0.588,6020.0,0.0,2006
GHAL4RST,17700.0,0.09,58200.0,0.0,2015
GHALBSAI,30900.0,0.08,46200.0,0.0,2015
GHALNEAR,734000.0,0.0608,147200.0,26.426263524995715,2014
GHBRMGSA7,2650.0,0.45,530.0,3.5765286942980006,2015
GOLDREDNEAR,22000.0,0.305,13180.0,1.6798095878162447,2017
GOLDREDV-VI-XII-XIV,296000.0,0.119,88400.0,10.155357014121536,2018
GRAMBERGM,2190.0,0.87,2800.0,0.0,2012
GRAMBERSATLC,2130.0,0.23,1260.0,2.2826532989475963,2006
GRSHRIMPMEDGSA10,265.0,0.908,115.80000000000001,0.9117458819904485,2014
GRSHRIMPMEDGSA11,46.0,0.496,12.600000000000001,2.610775368007384,2014
GRSHRIMPMEDGSA12-16,1250.0,1.67,254.0,0.9542302774118625,2011
GRSHRIMPMEDGSA18-19,525.0,0.463,122.0,3.1520026303636435,2014
GRSHRIMPMEDGSA9,91.6,0.133,32.4,7.814081570539856,2014
GSTRGZRSTA7,3680.0,0.486,1848.0,1.4173020143237596,2007
GTPRAWNNAUST,1.24,0.493,0.782,0.9351154524417271,2006
GTRIGGM,6040000000.0,0.106,6480000000.0,0.0,2013
HAD5Y,10300.0,0.257,3140.0,4.622261071266257,2014
HADFAPL,25300.0,0.228,18920.0,1.2744948776743081,2018
HADGB,150000.0,0.24,43600.0,5.148242265588614,2014
HADICE,76000.0,0.372,36200.0,1.9937479071360367,2017
HADIS,19900.0,0.106,3980.0,15.183376532397173,2017
HADNEAR,538000.0,0.2,135200.0,6.9055169827646035,2017
HADNS-IIIa-VIa,218000.0,0.247,107600.0,2.8586008706939476,2018
HADROCK,18100.0,0.101,5760.0,11.33638082736614,2017
HADVIIb-k,32900.0,0.674,17040.0,0.9761263150892531,2017
HAKEMEDGSA1-7,8160.0,1.12,2360.0,1.1076629910165152,2014
HAKEMEDGSA17-18,3280.0,0.891,728.0,1.6894474222014628,2014
HAKEMEDGSA19,1170.0,0.875,234.0,1.8393576142104002,2014
HAKEMEDGSA22-23,5650.0,0.83,1564.0,1.5474806060665427,2006
HAKEMEDGSA7,543.0,1.84,356.0,0.22944488537060048,2012
HAKEMEDGSA9-11,2910.0,1.05,744.0,1.2989212622213773,2014
HAKENRTN,307000.0,0.25,69400.0,5.947843520297753,2018
HAKESOTH,23900.0,0.44,9160.0,2.1796188187532417,2018
HERR2224IIIa,104000.0,0.332,59200.0,1.6971968591910018,2018
HERR2529-32,809000.0,0.276,336000.0,3.183651293823505,2018
HERR30-31,422000.0,0.25,103800.0,5.610157373216894,2018
HERR4RFA,48500.0,0.049,19720.0,18.3659275258969,2003
HERR4RSP,52600.0,0.148,37800.0,2.232479845392718,2004
HERR4TFA,99000.0,0.423,64400.0,1.0165631608139054,2014
HERR4TSP,22300.0,0.137,23400.0,0.0,2014
