"year","catch"
1986,640079
1987,298135
1988,647372
1989,1406461
1990,719019
1991,916737
1992,1338982
1993,1008092
1994,2090670
1995,2238670
1996,997774
1997,2007170
1998,220951
1999,989697
2000,1081567
2001,849107
2002,1045455
2003,673042
2004,1567868
2005,1006925
2006,536630
2007,813907
2008,889728
2009,504060
2010,567620
2011,1270832
2012,477406
2013,437608
2014,750831
2015,430022
2016,291606
2017,723174
2018,915427
2019,690083
