origin,horizon,model,obs,pred,below_lrp_obs,below_lrp_pred,sqerr,abserr,log_sqerr
1965,1,M1_autonomous_Schaefer,1023.0,1205.6933817668953,0,0,33376.871741424555,182.6933817668953,0.026999529327875898
1965,5,M1_autonomous_Schaefer,865.0,1343.229404494011,0,0,228703.36332269647,478.2294044940111,0.19369020167442927
1965,1,M1b_autonomous_Allee,1023.0,1151.7546526252875,0,0,16577.760572658444,128.75465262528746,0.014053409576707173
1965,5,M1b_autonomous_Allee,865.0,1219.5852418305294,0,0,125730.69372401503,354.5852418305294,0.11801740054234568
1965,1,M2_stockflow_regimeC,1023.0,1021.6694939345504,0,0,1.7702463901982821,1.3305060654496401,1.6937433242871812e-06
1965,5,M2_stockflow_regimeC,865.0,0.001,0,1,748223.270001,864.999,186.8821542819066
1965,1,M3_AR_residual,1023.0,962.4926096652729,0,0,3661.144285119029,60.50739033472712,0.0037171431268046657
1965,5,M3_AR_residual,865.0,0.001,0,1,748223.270001,864.999,186.8821542819066
1965,1,M4_delayed_info,1023.0,1084.2210157166594,0,0,3748.0127653794566,61.221015716659394,0.003378199932590479
1965,5,M4_delayed_info,865.0,0.001,0,1,748223.270001,864.999,186.8821542819066
1966,1,M1_autonomous_Schaefer,907.0,1075.116915090382,0,0,28263.297139506714,168.116915090382,0.028914364321657393
1966,5,M1_autonomous_Schaefer,800.0,1243.5363148823512,0,0,196724.4626194162,443.53631488235123,0.19457162627793714
1966,1,M1b_autonomous_Allee,907.0,1087.1162922336207,0,0,32441.878727987052,180.1162922336207,0.03281221253946814
1966,5,M1b_autonomous_Allee,800.0,1358.7487131426724,0,0,312200.1244385924,558.7487131426724,0.2805903149006784
1966,1,M2_stockflow_regimeC,907.0,783.7638029092783,0,0,15187.160273383204,123.2361970907217,0.0213261473183814
1966,5,M2_stockflow_regimeC,800.0,0.001,0,1,639998.400001,799.999,184.75244084346923
1966,1,M3_AR_residual,907.0,794.5897946553797,0,0,12636.054265619701,112.4102053446203,0.01750764299105769
1966,5,M3_AR_residual,800.0,0.001,0,1,639998.400001,799.999,184.75244084346923
1966,1,M4_delayed_info,907.0,803.8532937287542,0,0,10639.243014606649,103.14670627124576,0.014574686931565536
1966,5,M4_delayed_info,800.0,0.001,0,1,639998.400001,799.999,184.75244084346923
1967,1,M1_autonomous_Schaefer,947.0,931.7529210438136,0,0,232.47341669618345,15.247078956186442,0.0002634589894869345
1967,5,M1_autonomous_Schaefer,791.0,1051.0322607266967,0,0,67616.77661863677,260.0322607266967,0.08078674855578749
1967,1,M1b_autonomous_Allee,947.0,905.4939984170342,0,0,1722.7481674051626,41.50600158296584,0.0020086929052029823
1967,5,M1b_autonomous_Allee,791.0,889.6120415720816,0,0,9724.334743013946,98.61204157208158,0.013803310677030629
1967,1,M2_stockflow_regimeC,947.0,438.9886558775826,0,0,258075.52575706522,508.0113441224174,0.5910926821566078
1967,5,M2_stockflow_regimeC,791.0,0.001,0,1,625679.4180010001,790.999,184.44500729105303
