tag,origin,horizon,model,obs,pred,I_used,b,sqerr,abserr,log_sqerr
ncam2016,1991,1,M_cap_index,381.95,1046.0520195616175,138.0,0.0,441031.4923858189,664.1020195616175,1.01503341069867
ncam2016,1991,5,M_cap_index,16.05,1057.2429163858158,138.0,0.0,1084082.6891320003,1041.1929163858158,17.536922805745498
ncam2016,1992,1,M_cap_index,101.05,384.6907669157273,138.0,0.5916574896161331,80452.08465654193,283.6407669157273,1.7870993825412276
ncam2016,1992,5,M_cap_index,20.57,439.7785921438852,138.0,0.5916574896161331,175735.8437272583,419.2085921438852,9.378524647559606
ncam2016,1993,1,M_cap_index,30.55,102.2394600826679,138.0,0.6988151703829192,5139.378686944435,71.6894600826679,1.459150508471238
ncam2016,1993,5,M_cap_index,28.25,104.92986906507781,138.0,0.6988151703829192,5879.802319837477,76.67986906507781,1.7218655745798925
ncam2016,1994,1,M_cap_index,9.68,30.88521148410121,138.0,0.7046584153913938,449.6609940854578,21.20521148410121,1.3461001811817446
ncam2016,1994,5,M_cap_index,34.59,17.94434731940675,138.0,0.7046584153913938,277.0777531629414,16.645652680593255,0.4307158686665645
ncam2016,1995,1,M_cap_index,16.05,8.042215207962887,138.0,0.705240391816002,64.12461727558089,8.007784792037114,0.4774869162999012
ncam2016,1995,5,M_cap_index,34.42,0.001,138.0,0.705240391816002,1184.6675610000002,34.419000000000004,109.1271281680453
ncam2016,1996,1,M_cap_index,20.57,15.356917323870361,47.0,0.7051777769531572,27.176230988162963,5.213082676129639,0.08542040328887265
ncam2016,1996,5,M_cap_index,29.5,0.001,47.0,0.7051777769531572,870.1910009999999,29.499,105.92825986446032
ncam2016,1997,1,M_cap_index,28.25,16.298638645231094,47.0,0.7051212548325656,142.83503823226366,11.951361354768906,0.3025130593025459
ncam2016,1997,5,M_cap_index,23.87,0.001,47.0,0.7051212548325656,569.729161,23.869,101.61401496442268
ncam2016,1998,1,M_cap_index,34.59,20.047449528476456,47.0,0.7050229361226363,211.48577421680974,14.542550471523548,0.29752953838201196
ncam2016,1998,5,M_cap_index,22.07,2.9425810534290253,47.0,0.7050229361226363,365.85815555764236,19.127418946570977,4.059951426951997
ncam2016,1999,1,M_cap_index,34.42,30.320336914926045,216.0,0.7048597241925774,16.80723741111811,4.099663085073956,0.016083088715941714
ncam2016,1999,5,M_cap_index,20.07,20.692966423235404,216.0,0.7048597241925774,0.38808716447871244,0.622966423235404,0.0009343838801323853
ncam2016,2000,1,M_cap_index,29.5,28.23707136081321,125.0,0.7045754775194613,1.5949887476781954,1.2629286391867893,0.0019144616478695003
ncam2016,2000,5,M_cap_index,25.18,23.32740472854574,125.0,0.7045754775194613,3.4321092398146797,1.852595271454259,0.005840198369947055
ncam2016,2001,1,M_cap_index,23.87,25.940236063192188,129.0,0.7045829223879002,4.285877357341485,2.070236063192187,0.006917721122453676
ncam2016,2001,5,M_cap_index,40.83,22.643951100441498,129.0,0.7045829223879002,330.73237457713293,18.1860488995585,0.3475389576539875
ncam2016,2002,1,M_cap_index,22.07,23.288536071036955,84.0,0.70456683242315,1.4848301564181776,1.2185360710369544,0.0028882031127876765
ncam2016,2002,5,M_cap_index,81.1,17.20171861522826,84.0,0.70456683242315,4082.990363927466,63.898281384771735,2.4045888085126235
ncam2016,2003,1,M_cap_index,20.07,21.876465809954592,108.0,0.7045381429983548,3.2633187225348985,1.8064658099545916,0.007427901738096355
ncam2016,2003,5,M_cap_index,106.65,13.134274632098345,108.0,0.7045381429983548,8745.190891084807,93.51572536790167,4.386206619014131
ncam2016,2004,1,M_cap_index,25.18,19.198205870565328,125.0,0.7045578696010799,35.7818610069391,5.981794129434672,0.07356744780039727
ncam2016,2004,5,M_cap_index,104.56,8.481422807182037,125.0,0.7045578696010799,9231.092995396279,96.07857719281796,6.309555450719913
ncam2016,2005,1,M_cap_index,40.83,22.964217792349206,98.0,0.7044618598679891,319.1861738912116,17.865782207650792,0.33117705659798485
ncam2016,2005,5,M_cap_index,96.91,12.028710018522192,98.0,0.7044618598679891,7204.833388919725,84.8812899814778,4.353425576212384
ncam2016,2006,1,M_cap_index,81.1,38.68526076731968,98.0,0.7041251154342063,1799.0101041762705,42.41473923268031,0.5479320029944227
ncam2016,2006,5,M_cap_index,90.56,28.143700380372334,98.0,0.7041251154342063,3895.7944582071327,62.416299619627665,1.3658341481031344
ncam2016,2007,1,M_cap_index,106.65,81.14409770170916,300.0,0.7027241989333848,650.5510520499585,25.50590229829085,0.07470704039008048
ncam2016,2007,5,M_cap_index,112.12,81.21596429734805,300.0,0.7027241989333848,955.0594227107866,30.904035702651953,0.10397909327778374
ncam2016,2008,1,M_cap_index,104.56,107.6617345559719,263.0,0.700185796811049,9.620757255710211,3.101734555971902,0.0008545773577819593
ncam2016,2008,5,M_cap_index,169.17,109.40348102040059,263.0,0.700185796811049,3572.036790938815,59.7665189795994,0.18997517553208768
ncam2016,2009,1,M_cap_index,96.91,105.63095333933659,262.0,0.7005465858226445,76.055027146886,8.720953339336589,0.0074250507740546935
ncam2016,2009,5,M_cap_index,250.12,104.94405842393567,262.0,0.7005465858226445,21076.054012496843,145.17594157606433,0.7543154763570877
ncam2016,2010,1,M_cap_index,90.56,93.81673484758367,23.0,0.7016101010694802,10.606321867465846,3.2567348475836724,0.0012482538071731883
ncam2016,2010,5,M_cap_index,298.65,78.60563895497228,23.0,0.7016101010694802,48419.52082771451,220.0443610450277,1.7817681385799717
ncam2016,2011,1,M_cap_index,112.12,89.67447356312023,210.0,0.7017713784904874,503.80165702866884,22.445526436879774,0.04990022086189559
ncam2016,2012,1,M_cap_index,169.17,111.27594879814113,206.0,0.6995453522849091,3351.721164563455,57.89405120185886,0.17546965732692735
ncam2016,2013,1,M_cap_index,250.12,178.18413802773503,763.0,0.6924484894321127,5174.768237692758,71.93586197226497,0.11500461518989033
ncam2016,2014,1,M_cap_index,298.65,272.13172071336504,1060.084,0.6775086946403037,703.2191363239715,26.518279286634936,0.008646415308975938
xteNCAM,1988,1,M_cap_index,864.0,908.9233267389327,4285.0,0.0689638146235987,2018.1052852929058,44.9233267389327,0.0025692705859417784
xteNCAM,1988,5,M_cap_index,79.0,1274.4742052877089,4285.0,0.0689638146235987,1429158.575508279,1195.4742052877089,7.733077401759775
xteNCAM,1989,1,M_cap_index,738.0,925.2626448860367,3712.0,0.07814664423643856,35067.29816971388,187.2626448860367,0.05113650139360492
xteNCAM,1989,5,M_cap_index,22.0,1209.6720080984876,3712.0,0.07814664423643856,1410564.798820694,1187.6720080984876,16.056546519383495
