cell,T,sigma,rep,module,retained
D6_timevarying_r,33,11.8,20,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,20,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,20,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,20,M3_AR_residual,False
D6_timevarying_r,33,11.8,20,M4_delayed_info,False
D6_timevarying_r,33,11.8,21,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,21,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,21,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,21,M3_AR_residual,False
D6_timevarying_r,33,11.8,21,M4_delayed_info,False
D6_timevarying_r,33,11.8,22,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,22,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,22,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,22,M3_AR_residual,False
D6_timevarying_r,33,11.8,22,M4_delayed_info,False
D6_timevarying_r,33,11.8,23,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,23,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,23,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,23,M3_AR_residual,False
D6_timevarying_r,33,11.8,23,M4_delayed_info,False
D6_timevarying_r,33,11.8,24,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,24,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,24,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,24,M3_AR_residual,False
D6_timevarying_r,33,11.8,24,M4_delayed_info,False
D6_timevarying_r,33,11.8,25,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,25,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,25,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,25,M3_AR_residual,False
D6_timevarying_r,33,11.8,25,M4_delayed_info,False
D6_timevarying_r,33,11.8,26,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,26,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,26,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,26,M3_AR_residual,False
D6_timevarying_r,33,11.8,26,M4_delayed_info,False
D6_timevarying_r,33,11.8,27,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,27,M1b_autonomous_Allee,False
