tag,origin,horizon,model,obs,pred,r_used,r_hi,r_lo,sqerr,abserr,log_sqerr,below_lrp_obs,below_lrp_pred,post_break_origin
ncam2016,1990,1,M_cap_regime1991,734.51,973.2135269439793,1.991084851805777,1.991084851805777,1.991084851805777,56979.37377549507,238.70352694397934,0.07918590374075311,1,0,0
ncam2016,1990,5,M_cap_regime1991,9.68,1011.3970110752508,1.991084851805777,1.991084851805777,1.991084851805777,1003436.9702775342,1001.7170110752509,21.613442117505272,1,0,0
ncam2016,1991,1,M_cap_regime1991,381.95,1044.1641405740854,1.5483637614501005,1.5483637614501005,1.5483637614501005,438527.5679762745,662.2141405740854,1.0113968259177482,1,0,1
ncam2016,1991,5,M_cap_regime1991,16.05,1060.1765528879032,1.5483637614501005,1.5483637614501005,1.5483637614501005,1090200.2584455754,1044.1265528879032,17.560138411657647,1,0,1
ncam2016,1992,1,M_cap_regime1991,101.05,370.8025417098455,0.001,1.5495690643923918,0.001,72766.43375892194,269.7525417098455,1.6901410386002094,1,1,1
ncam2016,1992,5,M_cap_regime1991,20.57,367.2871563742777,0.001,1.5495690643923918,0.001,120212.78652426534,346.7171563742777,8.307712555254588,1,1,1
ncam2016,1993,1,M_cap_regime1991,30.55,99.82743174385934,0.001,1.5499736637561219,0.001,4799.36254902509,69.27743174385934,1.4020414847166802,1,1,1
ncam2016,1993,5,M_cap_regime1991,28.25,92.5128575304745,0.001,1.5499736637561219,0.001,4129.714857982064,64.2628575304745,1.4071989738633282,1,1,1
ncam2016,1994,1,M_cap_regime1991,9.68,30.166670883278364,0.001,1.5499798928663282,0.001,419.7036838797655,20.486670883278364,1.292031875502466,1,1,1
ncam2016,1994,5,M_cap_regime1991,34.59,14.487799901685936,0.001,1.5499798928663282,0.001,404.09844879265813,20.102200098314068,0.7573484883885861,1,1,1
ncam2016,1995,1,M_cap_regime1991,16.05,7.814591737621667,0.001,1.5499926501585166,0.001,67.82194924804932,8.235408262378334,0.5179913048090812,1,1,1
ncam2016,1995,5,M_cap_regime1991,34.42,0.001,0.001,1.5499926501585166,0.001,1184.6675610000002,34.419000000000004,109.1271281680453,1,1,1
ncam2016,1996,1,M_cap_regime1991,20.57,15.188807353912127,0.001,1.5499668574085006,0.001,28.957234294310208,5.381192646087873,0.09197566821676373,1,1,1
ncam2016,1996,5,M_cap_regime1991,29.5,0.001,0.001,1.5499668574085006,0.001,870.1910009999999,29.499,105.92825986446032,1,1,1
ncam2016,1997,1,M_cap_regime1991,28.25,16.08317144185329,0.001,1.5499634558431588,0.001,148.0317171633344,12.166828558146712,0.31732940473172844,1,1,1
ncam2016,1997,5,M_cap_regime1991,23.87,0.001,0.001,1.5499634558431588,0.001,569.729161,23.869,101.61401496442268,1,1,1
ncam2016,1998,1,M_cap_regime1991,34.59,19.751498273105256,0.001,1.549964508314661,0.001,220.1811334990584,14.838501726894748,0.31397561766361276,1,1,1
ncam2016,1998,5,M_cap_regime1991,22.07,2.1534991568304394,0.001,1.549964508314661,0.001,396.66700583597384,19.916500843169562,5.415511632670854,1,1,1
ncam2016,1999,1,M_cap_regime1991,34.42,29.193462999095026,0.001,1.5499628515845731,0.001,27.316689021828783,5.226537000904976,0.027123776497154257,1,1,1
ncam2016,1999,5,M_cap_regime1991,20.07,16.417135238647756,0.001,1.5499628515845731,0.001,13.34342096472899,3.6528647613522445,0.040361027699505635,1,1,1
ncam2016,2000,1,M_cap_regime1991,29.5,27.48430404997714,0.001,1.5499597133881207,0.001,4.063030162938558,2.0156959500228595,0.005009126590794967,1,1,1
ncam2016,2000,5,M_cap_regime1991,25.18,20.35387357979543,0.001,1.5499597133881207,0.001,23.291496223796578,4.82612642020457,0.045274812171643156,1,1,1
ncam2016,2001,1,M_cap_regime1991,23.87,25.2796802777364,0.001,1.5499558787416756,0.001,1.987198485438971,1.409680277736399,0.003292290151467605,1,1,1
ncam2016,2001,5,M_cap_regime1991,40.83,19.698173977250143,0.001,1.5499558787416756,0.001,446.55407105576796,21.131826022749856,0.5312823309891461,1,1,1
ncam2016,2002,1,M_cap_regime1991,22.07,22.899333305481722,0.001,1.5499498554075328,0.001,0.6877937315812389,0.8293333054817218,0.0013607670813613098,1,1,1
ncam2016,2002,5,M_cap_regime1991,81.1,15.370061993968744,0.001,1.5499498554075328,0.001,4320.424750276711,65.72993800603125,2.7664383853975316,1,1,1
ncam2016,2003,1,M_cap_regime1991,20.07,21.442611194772756,0.001,1.5499730223156827,0.001,1.8840614920154908,1.3726111947727553,0.00437634599757408,1,1,1
ncam2016,2003,5,M_cap_regime1991,106.65,11.166874515373868,0.001,1.5499730223156827,0.001,9117.027252312862,95.48312548462614,5.092246636245475,1,1,1
ncam2016,2004,1,M_cap_regime1991,25.18,18.758690582153626,0.001,1.5499614442626901,0.001,41.23321463972253,6.421309417846373,0.08666717124898725,1,1,1
ncam2016,2004,5,M_cap_regime1991,104.56,6.6826469814999765,0.001,1.5499614442626901,0.001,9579.976233908077,97.87735301850003,7.563858041432415,1,1,1
ncam2016,2005,1,M_cap_regime1991,40.83,22.503582779638926,0.001,1.5499638752161895,0.001,335.8575681347469,18.326417220361073,0.3549092146512723,1,1,1
ncam2016,2005,5,M_cap_regime1991,96.91,10.179789529558093,0.001,1.5499638752161895,0.001,7522.12940824715,86.7302104704419,5.077714108731781,1,1,1
ncam2016,2006,1,M_cap_regime1991,81.1,37.938259702132044,0.001,1.5499658264845422,0.001,1862.9358255405982,43.16174029786795,0.577178835257718,1,1,1
ncam2016,2006,5,M_cap_regime1991,90.56,24.833684006419634,0.001,1.5499658264845422,0.001,4319.948614087979,65.72631599358037,1.6739486032024509,1,1,1
ncam2016,2007,1,M_cap_regime1991,106.65,77.78990465026013,0.001,1.5499792112489845,0.001,832.9051035960774,28.86009534973988,0.09956598537782371,1,1,1
ncam2016,2007,5,M_cap_regime1991,112.12,64.34324394726029,0.001,1.5499792112489845,0.001,2282.6184189230007,47.776756052739714,0.30840005759315847,1,1,1
ncam2016,2008,1,M_cap_regime1991,104.56,103.62993616104653,0.001,1.5499670990785537,0.001,0.865018744528871,0.9300638389534726,7.983104681206456e-05,1,1,1
ncam2016,2008,5,M_cap_regime1991,169.17,88.87895371321432,0.001,1.5499670990785537,0.001,6446.652113826759,80.29104628678567,0.41425797185393354,1,1,1
ncam2016,2009,1,M_cap_regime1991,96.91,101.6922619739956,0.001,1.549959560265955,0.001,22.870029587924318,4.7822619739956025,0.002320204452807985,1,1,1
ncam2016,2009,5,M_cap_regime1991,250.12,85.0242607636828,0.001,1.549959560265955,0.001,27256.603113986046,165.0957392363172,1.1642499906431292,1,1,1
ncam2016,2010,1,M_cap_regime1991,90.56,93.22806371963831,0.001,1.5499717225100373,0.001,7.118564012050223,2.6680637196383117,0.0008430994460257867,1,1,1
ncam2016,2010,5,M_cap_regime1991,298.65,75.86438488259057,0.001,1.5499717225100373,0.001,49633.43030324248,222.7856151174094,1.8777905570786797,1,1,1
ncam2016,2011,1,M_cap_regime1991,112.12,86.77183504491428,0.001,1.549963846420638,0.001,642.5294665902359,25.34816495508572,0.06568335356334377,1,1,1
ncam2016,2012,1,M_cap_regime1991,169.17,107.71427899735845,0.001,1.549949488614244,0.001,3776.805643954516,61.45572100264154,0.20378179490234802,1,1,1
ncam2016,2013,1,M_cap_regime1991,250.12,164.44221308497237,0.001,1.5499711493522683,0.001,7340.683170656881,85.67778691502764,0.1758809116958232,1,1,1
ncam2016,2014,1,M_cap_regime1991,298.65,245.87519257144086,0.001,1.549920907246519,0.001,2785.180299121498,52.774807428559114,0.03781012552951277,1,1,1
xteNCAM,1965,1,M_cap_regime1991,1023.0,1015.6265299991084,0.4040476311893704,0.4040476311893704,0.4040476311893704,54.36805985404901,7.373470000891643,5.232777525824871e-05,0,0,0
xteNCAM,1965,5,M_cap_regime1991,865.0,0.001,0.4040476311893704,0.4040476311893704,0.4040476311893704,748223.270001,864.999,186.8821542819066,0,1,0
xteNCAM,1966,1,M_cap_regime1991,907.0,773.6851983417054,0.4062494385943765,0.4062494385943765,0.4062494385943765,17772.83634119044,133.31480165829464,0.025273807271340522,0,0,0
xteNCAM,1966,5,M_cap_regime1991,800.0,0.001,0.4062494385943765,0.4062494385943765,0.4062494385943765,639998.400001,799.999,184.75244084346923,0,1,0
xteNCAM,1967,1,M_cap_regime1991,947.0,427.4960659479092,0.41456526372253183,0.41456526372253183,0.41456526372253183,269884.3374955991,519.5039340520908,0.6325879969482707,0,0,0
xteNCAM,1967,5,M_cap_regime1991,791.0,0.001,0.41456526372253183,0.41456526372253183,0.41456526372253183,625679.4180010001,790.999,184.44500729105303,0,1,0
xteNCAM,1968,1,M_cap_regime1991,951.0,578.2588051796765,0.5507034962223627,0.5507034962223627,0.5507034962223627,138935.99831608235,372.74119482032347,0.24749882164553227,0,0,0
xteNCAM,1968,5,M_cap_regime1991,742.0,0.001,0.5507034962223627,0.5507034962223627,0.5507034962223627,550562.5160010001,741.999,182.7121146627149,0,1,0
xteNCAM,1969,1,M_cap_regime1991,865.0,864.5158487790151,0.7017638851552742,0.7017638851552742,0.7017638851552742,0.23440240478119564,0.484151220984927,3.134533997931517e-07,0,0,0
xteNCAM,1969,5,M_cap_regime1991,702.0,855.4319963062648,0.7017638851552742,0.7017638851552742,0.7017638851552742,23541.37749052564,153.43199630626475,0.03907469247553109,0,0,0
xteNCAM,1970,1,M_cap_regime1991,800.0,864.2876546035834,0.7753603403887531,0.7753603403887531,0.7753603403887531,4132.902534429639,64.2876546035834,0.0059743499599832365,0,0,0
xteNCAM,1970,5,M_cap_regime1991,549.0,1181.5203836835665,0.7753603403887531,0.7753603403887531,0.7753603403887531,400082.03577520617,632.5203836835665,0.587459256649612,0,0,0
