origin,horizon,model,obs,pred,below_lrp_obs,below_lrp_pred,sqerr,abserr,log_sqerr
1990,1,M1_autonomous_Schaefer,734.51,897.7570880070396,1,0,26649.61174277812,163.24708800703957,0.040278851562682946
1990,5,M1_autonomous_Schaefer,9.68,888.7964080658387,1,0,772845.6589305823,879.1164080658388,20.428648950637637
1990,1,M1b_autonomous_Allee,734.51,882.9024053220908,1,1,22020.305957275676,148.39240532209078,0.03386006947411943
1990,5,M1b_autonomous_Allee,9.68,888.3785641640113,1,0,772111.1666638952,878.6985641640114,20.424398439978344
1990,1,M2_stockflow_regimeC,734.51,897.7570880070396,1,0,26649.61174277812,163.24708800703957,0.040278851562682946
1990,5,M2_stockflow_regimeC,9.68,1049.1679756928515,1,0,1080535.2516100223,1039.4879756928515,21.95569849477181
1990,1,M3_AR_residual,734.51,899.3611704449061,1,0,27175.908397055475,164.85117044490607,0.04099859198884098
1990,5,M3_AR_residual,9.68,1049.8456205215502,1,0,1081944.5181149815,1040.1656205215502,21.961749819150466
1990,1,M4_delayed_info,734.51,893.3370739978709,1,0,25226.039434725164,158.8270739978709,0.03832211929667767
1990,5,M4_delayed_info,9.68,1047.8187459415815,1,0,1077732.0558251594,1038.1387459415814,21.943640800445554
1991,1,M1_autonomous_Schaefer,381.95,844.0574440124958,1,1,213543.28981176196,462.1074440124958,0.6287393232375929
1991,5,M1_autonomous_Schaefer,16.05,870.4968998436425,1,1,730079.5046524117,854.4468998436425,15.9468869375927
1991,1,M1b_autonomous_Allee,381.95,800.1898168897144,1,1,174924.54443194185,418.2398168897144,0.5469479000107536
1991,5,M1b_autonomous_Allee,16.05,869.8940442736027,1,1,729049.6519415021,853.8440442736028,15.941354369647362
1991,1,M2_stockflow_regimeC,381.95,964.0574440124958,1,0,338849.0763747609,582.1074440124958,0.8572189099512605
1991,5,M2_stockflow_regimeC,16.05,1047.9912079327617,1,0,1064902.6566297272,1031.9412079327617,17.463385955353154
1991,1,M3_AR_residual,381.95,968.3491220033486,1,0,343863.9302862981,586.3991220033486,0.8654636262101268
1991,5,M3_AR_residual,16.05,1048.2444809885653,1,0,1065425.4465832538,1032.1944809885654,17.465405649726364
1991,1,M4_delayed_info,381.95,990.3106379192982,1,0,370102.6657695754,608.3606379192981,0.9076924704605626
1991,5,M4_delayed_info,16.05,1049.5234884206927,1,0,1068067.4512684357,1033.4734884206928,17.47559926777102
1992,1,M1_autonomous_Schaefer,101.05,242.79179587892207,1,1,20090.736698982008,141.74179587892206,0.768407968359106
1992,5,M1_autonomous_Schaefer,20.57,0.001,1,1,423.083761,20.569,98.63645972023534
1992,1,M1b_autonomous_Allee,101.05,0.001,1,1,10210.900400999999,101.04899999999999,132.78807281581635
1992,5,M1b_autonomous_Allee,20.57,0.001,1,1,423.083761,20.569,98.63645972023534
1992,1,M2_stockflow_regimeC,101.05,471.6961815940263,1,1,137378.59193023192,370.6461815940263,2.37381704427034
1992,5,M2_stockflow_regimeC,20.57,1062.5760775781844,1,0,1085776.6657098732,1042.0060775781844,15.560009564384687
1992,1,M3_AR_residual,101.05,375.9765524211749,1,1,75584.60922619303,274.9265524211749,1.7263630015333427
1992,5,M3_AR_residual,20.57,781.4827328006184,1,1,578988.1869381052,760.9127328006183,13.230383048363468
1992,1,M4_delayed_info,101.05,808.634810596452,1,1,500676.2641868169,707.584810596452,4.325285037439628
