catch,model,horizon,n,rmse,mae,log_rmse,brier
regime,M1_autonomous_Schaefer,1,25,120.50951517316734,79.73685038831886,8.016377347965557,0.04
regime,M1_autonomous_Schaefer,5,21,288.72243410963097,158.22544323378483,10.534733446244603,0.047619047619047616
regime,M1b_autonomous_Allee,1,25,114.80237789073415,79.61568258638101,8.695419312493573,0.0
regime,M1b_autonomous_Allee,5,21,288.57690054937797,158.17683849702925,10.534711335510751,0.047619047619047616
regime,M2_stockflow_regimeC,1,25,144.0544165411952,60.5887391467352,0.5862257277776489,0.08
regime,M2_stockflow_regimeC,5,21,398.24404213551907,193.54753803856966,2.9320194534933672,0.14285714285714285
regime,M3_AR_residual,1,25,134.64175256351348,52.860595804765644,3.3939223124125566,0.08
regime,M3_AR_residual,5,21,366.36241042864316,183.16783414815373,4.316911746710653,0.09523809523809523
regime,M4_delayed_info,1,25,195.5724919175857,82.18867502031104,0.7573857638978957,0.08
regime,M4_delayed_info,5,21,488.2250186177746,223.56876911851683,2.9655419714773057,0.14285714285714285
annual,M1_autonomous_Schaefer,1,25,120.54061180585765,79.51686385741496,8.008216842146469,0.04
annual,M1_autonomous_Schaefer,5,21,288.72218199085955,158.2253525851875,10.534733415699339,0.047619047619047616
annual,M1b_autonomous_Allee,1,25,114.76652961063354,79.42435872427946,8.692290401958912,0.0
annual,M1b_autonomous_Allee,5,21,288.603320678498,158.18590972573617,10.534715052913523,0.047619047619047616
annual,M2_stockflow_regimeC,1,25,160.43859201550137,66.53952405437539,0.584656165196756,0.08
annual,M2_stockflow_regimeC,5,21,393.79318996112687,191.28034948405735,2.9042033287027555,0.14285714285714285
annual,M3_AR_residual,1,25,153.60311353328757,58.75908213242864,3.3942042425392325,0.08
annual,M3_AR_residual,5,21,351.5418634292063,173.40715870827503,4.274138939122828,0.09523809523809523
annual,M4_delayed_info,1,25,206.27099132880463,83.55105617400146,0.7107352096621942,0.08
annual,M4_delayed_info,5,21,486.40507218579603,211.41192993955792,2.9460723269571396,0.14285714285714285
na,naive_persist,1,25,98.04940768816505,48.097199999999994,0.5198783229119991,0.0
na,naive_persist,5,21,264.72084953957136,137.1561904761905,1.6762533518235911,0.0
na,naive_train_mean,1,25,423.5936391977477,375.1515224034839,2.3472833386762026,0.0
na,naive_train_mean,5,21,507.38640471825653,447.81432456463796,2.6131673906252715,0.0
annual,M2_survey_start,1,25,128.11686037253656,52.5829918272154,0.4867872761112089,0.08
annual,M2_survey_start,5,21,331.0203176627213,149.1914787716991,2.187961698898621,0.09523809523809523
