scheme,policy,S0,T,P_stay
block4,flat_50,1500.0,10,0.9791
block4,S1,1500.0,10,1.0
block4,cpm,1500.0,10,1.0
block4,BAU,1500.0,20,1.0
block4,flat_0,1500.0,20,1.0
block4,flat_25,1500.0,20,1.0
block4,flat_50,1500.0,20,0.9792
block4,S1,1500.0,20,1.0
block4,cpm,1500.0,20,1.0
block4,BAU,2000.0,5,1.0
block4,flat_0,2000.0,5,1.0
block4,flat_25,2000.0,5,1.0
block4,flat_50,2000.0,5,1.0
block4,S1,2000.0,5,1.0
block4,cpm,2000.0,5,1.0
block4,BAU,2000.0,10,1.0
block4,flat_0,2000.0,10,1.0
block4,flat_25,2000.0,10,1.0
block4,flat_50,2000.0,10,1.0
block4,S1,2000.0,10,1.0
block4,cpm,2000.0,10,1.0
block4,BAU,2000.0,20,1.0
block4,flat_0,2000.0,20,1.0
block4,flat_25,2000.0,20,1.0
block4,flat_50,2000.0,20,1.0
block4,S1,2000.0,20,1.0
block4,cpm,2000.0,20,1.0
block4,BAU,2500.0,5,1.0
block4,flat_0,2500.0,5,1.0
block4,flat_25,2500.0,5,1.0
block4,flat_50,2500.0,5,1.0
block4,S1,2500.0,5,1.0
block4,cpm,2500.0,5,1.0
block4,BAU,2500.0,10,1.0
block4,flat_0,2500.0,10,1.0
block4,flat_25,2500.0,10,1.0
block4,flat_50,2500.0,10,1.0
block4,S1,2500.0,10,1.0
block4,cpm,2500.0,10,1.0
block4,BAU,2500.0,20,1.0
block4,flat_0,2500.0,20,1.0
block4,flat_25,2500.0,20,1.0
block4,flat_50,2500.0,20,1.0
block4,S1,2500.0,20,1.0
block4,cpm,2500.0,20,1.0
iid_no1992,BAU,884.6,5,0.9522
iid_no1992,flat_0,884.6,5,0.9522
iid_no1992,flat_25,884.6,5,0.9167
iid_no1992,flat_50,884.6,5,0.7772
iid_no1992,S1,884.6,5,0.9167
iid_no1992,cpm,884.6,5,0.9167
iid_no1992,BAU,884.6,10,0.9505
iid_no1992,flat_0,884.6,10,0.9506
iid_no1992,flat_25,884.6,10,0.9134
iid_no1992,flat_50,884.6,10,0.7624
iid_no1992,S1,884.6,10,0.9134
iid_no1992,cpm,884.6,10,0.9134
iid_no1992,BAU,884.6,20,0.9537
iid_no1992,flat_0,884.6,20,0.9538
iid_no1992,flat_25,884.6,20,0.9172
iid_no1992,flat_50,884.6,20,0.7694
iid_no1992,S1,884.6,20,0.9172
iid_no1992,cpm,884.6,20,0.9172
iid_no1992,BAU,861.9,5,0.9393
iid_no1992,flat_0,861.9,5,0.9459
iid_no1992,flat_25,861.9,5,0.9104
iid_no1992,flat_50,861.9,5,0.7158
iid_no1992,S1,861.9,5,0.9104
iid_no1992,cpm,861.9,5,0.9104
iid_no1992,BAU,861.9,10,0.942
iid_no1992,flat_0,861.9,10,0.9499
iid_no1992,flat_25,861.9,10,0.9096
iid_no1992,flat_50,861.9,10,0.7118
iid_no1992,S1,861.9,10,0.9096
iid_no1992,cpm,861.9,10,0.9096
iid_no1992,BAU,861.9,20,0.9413
iid_no1992,flat_0,861.9,20,0.9489
iid_no1992,flat_25,861.9,20,0.9103
iid_no1992,flat_50,861.9,20,0.7033
iid_no1992,S1,861.9,20,0.9103
iid_no1992,cpm,861.9,20,0.9103
iid_no1992,BAU,1000.0,5,0.9539
iid_no1992,flat_0,1000.0,5,0.9539
iid_no1992,flat_25,1000.0,5,0.9483
iid_no1992,flat_50,1000.0,5,0.9079
iid_no1992,S1,1000.0,5,0.9483
iid_no1992,cpm,1000.0,5,0.9483
iid_no1992,BAU,1000.0,10,0.9546
iid_no1992,flat_0,1000.0,10,0.9546
iid_no1992,flat_25,1000.0,10,0.9483
iid_no1992,flat_50,1000.0,10,0.9051
iid_no1992,S1,1000.0,10,0.9483
iid_no1992,cpm,1000.0,10,0.9483
iid_no1992,BAU,1000.0,20,0.9533
iid_no1992,flat_0,1000.0,20,0.9533
iid_no1992,flat_25,1000.0,20,0.9469
iid_no1992,flat_50,1000.0,20,0.902
iid_no1992,S1,1000.0,20,0.9469
iid_no1992,cpm,1000.0,20,0.9469
iid_no1992,BAU,1500.0,5,1.0
iid_no1992,flat_0,1500.0,5,1.0
iid_no1992,flat_25,1500.0,5,1.0
iid_no1992,flat_50,1500.0,5,0.9998
iid_no1992,S1,1500.0,5,1.0
iid_no1992,cpm,1500.0,5,1.0
iid_no1992,BAU,1500.0,10,1.0
iid_no1992,flat_0,1500.0,10,1.0
iid_no1992,flat_25,1500.0,10,1.0
iid_no1992,flat_50,1500.0,10,1.0
iid_no1992,S1,1500.0,10,1.0
iid_no1992,cpm,1500.0,10,1.0
iid_no1992,BAU,1500.0,20,1.0
iid_no1992,flat_0,1500.0,20,1.0
iid_no1992,flat_25,1500.0,20,1.0
iid_no1992,flat_50,1500.0,20,0.9997
iid_no1992,S1,1500.0,20,1.0
iid_no1992,cpm,1500.0,20,1.0
iid_no1992,BAU,2000.0,5,1.0
iid_no1992,flat_0,2000.0,5,1.0
iid_no1992,flat_25,2000.0,5,1.0
iid_no1992,flat_50,2000.0,5,1.0
iid_no1992,S1,2000.0,5,1.0
iid_no1992,cpm,2000.0,5,1.0
iid_no1992,BAU,2000.0,10,1.0
iid_no1992,flat_0,2000.0,10,1.0
iid_no1992,flat_25,2000.0,10,1.0
iid_no1992,flat_50,2000.0,10,1.0
iid_no1992,S1,2000.0,10,1.0
iid_no1992,cpm,2000.0,10,1.0
iid_no1992,BAU,2000.0,20,1.0
iid_no1992,flat_0,2000.0,20,1.0
iid_no1992,flat_25,2000.0,20,1.0
iid_no1992,flat_50,2000.0,20,1.0
iid_no1992,S1,2000.0,20,1.0
iid_no1992,cpm,2000.0,20,1.0
iid_no1992,BAU,2500.0,5,1.0
iid_no1992,flat_0,2500.0,5,1.0
iid_no1992,flat_25,2500.0,5,1.0
iid_no1992,flat_50,2500.0,5,1.0
iid_no1992,S1,2500.0,5,1.0
iid_no1992,cpm,2500.0,5,1.0
iid_no1992,BAU,2500.0,10,1.0
iid_no1992,flat_0,2500.0,10,1.0
iid_no1992,flat_25,2500.0,10,1.0
iid_no1992,flat_50,2500.0,10,1.0
iid_no1992,S1,2500.0,10,1.0
iid_no1992,cpm,2500.0,10,1.0
iid_no1992,BAU,2500.0,20,1.0
iid_no1992,flat_0,2500.0,20,1.0
iid_no1992,flat_25,2500.0,20,1.0
iid_no1992,flat_50,2500.0,20,1.0
iid_no1992,S1,2500.0,20,1.0
iid_no1992,cpm,2500.0,20,1.0
