q,qval,model,horizon,rmse_module,rmse_persist,margin_pct
p25,0.00043322959250584157,M1_autonomous_Schaefer,1,144.32200315959736,91.52531717503163,57.685335177367534
p25,0.00043322959250584157,M1_autonomous_Schaefer,5,288.0941753025191,189.3558830789688,52.144296030333834
p25,0.00043322959250584157,M1b_autonomous_Allee,1,112.24802612969575,91.52531717503163,22.641504661529144
p25,0.00043322959250584157,M1b_autonomous_Allee,5,242.04232427473278,189.3558830789688,27.824031838393793
p25,0.00043322959250584157,M2_stockflow_regimeC,1,184.84644223850506,91.52531717503163,101.96208868089198
p25,0.00043322959250584157,M2_stockflow_regimeC,5,655.0889613073426,189.3558830789688,245.95648714761347
p25,0.00043322959250584157,M3_AR_residual,1,234.7541957201914,91.52531717503163,156.49099393040183
p25,0.00043322959250584157,M3_AR_residual,5,688.0566543092217,189.3558830789688,263.3669274602233
p25,0.00043322959250584157,M4_delayed_info,1,298.5289043201586,91.52531717503163,226.17084926267603
p25,0.00043322959250584157,M4_delayed_info,5,833.5112214341789,189.3558830789688,340.182373993932
p50_med,0.0005701992977597548,M1_autonomous_Schaefer,1,184.20802084250025,120.46192707793423,52.918042497630594
p50_med,0.0005701992977597548,M1_autonomous_Schaefer,5,386.5693519222315,249.2225679547742,55.1100909899866
p50_med,0.0005701992977597548,M1b_autonomous_Allee,1,156.33419898682726,120.46192707793423,29.778929143052025
p50_med,0.0005701992977597548,M1b_autonomous_Allee,5,355.52415774549684,249.2225679547742,42.65327601070739
p50_med,0.0005701992977597548,M2_stockflow_regimeC,1,224.9478114460699,120.46192707793423,86.73768293656576
p50_med,0.0005701992977597548,M2_stockflow_regimeC,5,671.4148363042569,249.2225679547742,169.40370682084333
p50_med,0.0005701992977597548,M3_AR_residual,1,290.3487433984103,120.46192707793423,141.0294691787272
p50_med,0.0005701992977597548,M3_AR_residual,5,716.7476220980225,249.2225679547742,187.59338609659494
p50_med,0.0005701992977597548,M4_delayed_info,1,371.3074218282561,120.46192707793423,208.2363289672715
p50_med,0.0005701992977597548,M4_delayed_info,5,880.5275626803077,249.2225679547742,253.3097222720596
p75,0.000724589107947755,M1_autonomous_Schaefer,1,230.79235201755932,153.07875794656684,50.76706599495597
p75,0.000724589107947755,M1_autonomous_Schaefer,5,498.90252713662244,316.70322798413025,57.52997855822992
p75,0.000724589107947755,M1b_autonomous_Allee,1,203.2920623166433,153.07875794656684,32.802267959087914
p75,0.000724589107947755,M1b_autonomous_Allee,5,464.9345028710658,316.70322798413025,46.804472385852435
p75,0.000724589107947755,M2_stockflow_regimeC,1,270.66315655547356,153.07875794656684,76.8130080137901
p75,0.000724589107947755,M2_stockflow_regimeC,5,721.0821045899586,316.70322798413025,127.68385064458245
p75,0.000724589107947755,M3_AR_residual,1,353.0250529503875,153.07875794656684,130.6166170185502
p75,0.000724589107947755,M3_AR_residual,5,777.1874822851825,316.70322798413025,145.3992929696715
p75,0.000724589107947755,M4_delayed_info,1,454.25616069827004,153.07875794656684,196.7466987528284
p75,0.000724589107947755,M4_delayed_info,5,937.0427187687588,316.70322798413025,195.8740663090789
