catch,origin,horizon,model,obs,pred,below_lrp_obs,below_lrp_pred,sqerr,abserr,log_sqerr
regime,1990,1,M1_autonomous_Schaefer,637.2946491271451,1188.418808949866,1,0,303737.8395402999,551.1241598227208,0.388312014684742
regime,1990,5,M1_autonomous_Schaefer,24.655417635131794,1256.7374092923637,1,0,1518026.0341660515,1232.081991657232,15.454943767638282
regime,1990,1,M1b_autonomous_Allee,637.2946491271451,1112.6506844531052,1,0,225963.3603208154,475.3560353259601,0.3105480088326403
regime,1990,5,M1b_autonomous_Allee,24.655417635131794,1287.8092791545625,1,0,1595557.6778714494,1263.1538615194308,15.647571681554052
regime,1990,1,M2_stockflow_regimeC,637.2946491271451,1188.418808949866,1,0,303737.8395402999,551.1241598227208,0.388312014684742
regime,1990,5,M2_stockflow_regimeC,24.655417635131794,1440.2725469919812,1,0,2003971.8569285274,1415.6171293568495,16.545296418869874
regime,1990,1,M3_AR_residual,637.2946491271451,1353.3249364767325,1,0,512699.3724019327,716.0302873495874,0.567141013416914
regime,1990,5,M3_AR_residual,24.655417635131794,1477.926922224545,1,0,2111998.066051577,1453.2715045894133,16.75591535597826
regime,1990,1,M4_delayed_info,637.2946491271451,1121.0731518208681,1,0,234041.63966858055,483.778502693723,0.31900985113154284
regime,1990,5,M4_delayed_info,24.655417635131794,1420.4179372113908,1,0,1948153.0110538672,1395.7625195762591,16.43256290403543
regime,1991,1,M1_autonomous_Schaefer,136.6995796449236,828.0262810424176,1,1,477932.6080651399,691.326701397494,3.244534797681614
regime,1991,5,M1_autonomous_Schaefer,22.06557242470699,1197.448131398202,1,0,1381524.1599390814,1175.382558973495,15.951472285696582
regime,1991,1,M1b_autonomous_Allee,136.6995796449236,662.2520817289535,1,1,276205.4324467843,525.5525020840299,2.4896440820561065
regime,1991,5,M1b_autonomous_Allee,22.06557242470699,931.7233700741856,1,0,827477.3088244998,909.6577976494787,14.010179049800682
regime,1991,1,M2_stockflow_regimeC,136.6995796449236,948.0262810424176,1,0,658251.0164005385,811.326701397494,3.7504062198706256
regime,1991,5,M2_stockflow_regimeC,22.06557242470699,1433.4563004058396,1,0,1992023.7870311115,1411.3907279811326,17.42081692765216
regime,1991,1,M3_AR_residual,136.6995796449236,1170.464916866278,1,0,1068670.7724403802,1033.7653372213542,4.611200687007478
regime,1991,5,M3_AR_residual,22.06557242470699,1453.7612327730028,1,0,2049752.463860143,1431.6956603482959,17.538429733981175
regime,1991,1,M4_delayed_info,136.6995796449236,1220.6867103108916,1,0,1175028.0994494383,1083.987130665968,4.793398743761188
regime,1991,5,M4_delayed_info,22.06557242470699,1421.7189755540423,1,0,1959029.6488915298,1399.6534031293354,17.352251516124852
regime,1992,1,M1_autonomous_Schaefer,51.722208100489595,11.676083455908099,1,1,1603.6920990493575,40.0461246445815,2.2151697844994422
regime,1992,5,M1_autonomous_Schaefer,14.382136887394294,0.001,1,1,206.81709817397285,14.381136887394295,91.65654012533345
regime,1992,1,M1b_autonomous_Allee,51.722208100489595,0.001,1,1,2675.083367374151,51.7212081004896,117.80155606771095
