year,bc_bil,ef_bil,earths,carbon_share,tau_all,pmin_all,prem_all,tau_noc,pmin_noc,prem_noc,r_crop,r_graz,r_forest,r_fish,r_built,tau_all_national,sum_bc_bil,sum_ef_bil
1961,9.61134351559,7.03524287469,0.7319728884186214,0.43939494059559564,498.65234870728364,0.0,498.65234870728364,889.489561933422,365.0,524.489561933422,1.0,1.8100938754356668,4.15086717752682,3.8349242383038975,1.0,518.1607211403639,7.842660903316203,5.52448518948038
1962,9.66787936967,7.26599592487,0.7515604660588576,0.4438987018916759,485.65619997821364,0.0,485.65619997821364,873.3232625607208,365.0,508.32326256072076,1.0,1.7933700748798953,4.112918272191962,3.658339856833873,1.0,505.09009081016984,7.893388058327266,5.70410446316252
1963,9.666112302570001,7.550640667670001,0.7811455558676321,0.4572284649675088,467.26246761346295,0.0,467.26246761346295,860.8824108388291,365.0,495.88241083882906,1.0,1.7548240426119448,4.064226060829903,3.5349109697610444,1.0,488.20196161479373,7.922021785402846,5.922831489877443
1964,9.71277438317,7.8646339460700005,0.8097206458020478,0.4678318059340294,450.7727472336569,0.0,450.7727472336569,847.0493957738793,365.0,482.04939577387927,1.0,1.766936227947665,3.9216767713475975,3.5986223198908256,1.0,476.4377175362538,7.979118347652067,6.112820395399094
1965,9.736612151260001,8.155050000960001,0.8375654564719072,0.47573551965264393,435.78683573878084,0.0,435.78683573878084,831.2347146807398,365.0,466.2347146807398,1.0,1.7234633452163763,3.8748118125155817,3.334170027263198,1.0,459.0054542733836,8.031676823572138,6.386769510712159
1966,9.8464276595,8.5188330376,0.8651699207256031,0.4806033927334075,421.8824432706593,0.0,421.8824432706593,812.2549076530995,365.0,447.2549076530995,1.0,1.7334410480903615,3.8135082815904786,3.1161434861983746,1.0,442.90860546732625,8.076880473510938,6.6561392947443485
1967,9.894619934000001,8.754634835600001,0.8847873787973634,0.4813315374234225,412.5284884783527,0.0,412.5284884783527,795.3606556856076,365.0,430.36065568560764,1.0,1.7005002855973514,3.755079805228313,2.908228384928382,1.0,431.72800542651805,8.15121131387873,6.891357734892476
1968,9.919897263500001,9.089230995700001,0.9162626138421399,0.49047367264722797,398.3574081119114,0.0,398.3574081119114,781.8190871148204,365.0,416.8190871148204,1.0,1.6947082348318114,3.70502936700489,2.7322536014541514,1.0,414.6710060651981,8.160938346608388,7.183387439544586
1969,9.9361683656,9.484423417700002,0.9545352965773019,0.5057041902040176,382.38502160034153,0.0,382.38502160034153,773.595515119112,365.0,408.59551511911195,1.0,1.6967857290424093,3.6504939688323943,2.73225360170706,1.0,397.26192796368605,8.182772994816796,7.5182440925503125
1970,9.992355901100002,10.052374457900001,1.006006447067542,0.5239709401056613,362.8207364514974,0.0,362.8207364514974,762.1819065668607,365.0,397.1819065668607,1.0,1.706719209889232,3.561894546248328,2.6946671744193775,1.0,373.6447493109168,8.20426750076612,8.01445127571646
1971,10.0779372817,10.401562330400001,1.032112230871654,0.5276918803782166,353.64371149031444,0.0,353.64371149031444,748.7563664446559,365.0,383.7563664446559,1.0,1.671997609191405,3.5125595424815352,2.7415191654696356,1.0,365.56229066639946,8.330826034616083,8.31801195110073
1972,10.034715118100001,10.678430959,1.0641488904591725,0.5404070974618548,342.9971156033486,0.0,342.9971156033486,746.3063805143958,365.0,381.30638051439576,1.0,1.635942972896852,3.5053681832975214,2.6283705997539526,1.0,354.8131516041643,8.298429688437247,8.53668141269667
1973,10.149373638,11.25159646,1.1086000832478171,0.5477045282336761,329.24406692328176,0.0,329.24406692328176,727.9402237601529,365.0,362.9402237601529,1.0,1.6486973554396858,3.389461532034061,2.5334685778875943,1.0,341.0778315523924,8.35966798252883,8.9459898338609
1974,10.090426036700002,11.1350265024,1.1035239207839858,0.5446883009836346,330.7585754377576,0.0,330.7585754377576,726.4442713690718,365.0,361.44427136907177,1.0,1.612966877264754,3.3810787752785307,2.471849417213607,1.0,344.2100795133526,8.327293447273988,8.830253061015021
1975,10.1168644837,11.0797264464,1.0951739508077165,0.5411756879564686,333.2803886823677,0.0,333.2803886823677,726.3790952968235,365.0,361.3790952968235,1.0,1.545359630076816,3.4581792362213575,2.598536350970789,1.0,351.2596744252661,8.406551931591977,8.7353934380643
1976,10.194530309900001,11.6301348645,1.1408210590345562,0.5486923327500335,319.9450054935775,0.0,319.9450054935775,708.9288055821331,365.0,343.9288055821331,1.0,1.553958221902987,3.312291187940272,2.5375118542171955,1.0,334.45830982000433,8.401328393604016,9.168511511392133
1977,10.2070089278,11.865102382600002,1.1624465567267201,0.556601922852758,313.9929297289905,0.0,313.9929297289905,708.1513112306999,365.0,343.1513112306999,1.0,1.5506005044649422,3.286777817448412,2.6329673430575156,1.0,328.96403918307135,8.438161491391643,9.362509507137776
1978,10.3563793805,12.190177294500002,1.1770694029858402,0.552633625684795,310.0921654017294,0.0,310.0921654017294,693.1503644555211,365.0,328.15036445552107,1.0,1.5556426979396816,3.2121720212106535,2.641871432756609,1.0,323.7543355863328,8.547106947277177,9.635991530758258
