stockid,n,freq_cyc_per_yr,power_norm
ANCHIXa,33,0.06021723,0.0007236287
ANCHIXa,33,0.06054036,0.0007104032
ANCHIXa,33,0.06086349,0.0006972689
ANCHIXa,33,0.06118662,0.0006842648
ANCHIXa,33,0.06150976,0.0006714335
ANCHIXa,33,0.06183289,0.0006588211
ANCHIXa,33,0.06215602,0.0006464771
ANCHIXa,33,0.06247915,0.0006344545
ANCHIXa,33,0.06280228,0.0006228091
ANCHIXa,33,0.06312542,0.0006116000
ANCHIXa,33,0.06344855,0.0006008886
ANCHIXa,33,0.06377168,0.0005907386
ANCHIXa,33,0.06409481,0.0005812157
ANCHIXa,33,0.06441795,0.0005723867
ANCHIXa,33,0.06474108,0.0005643196
ANCHIXa,33,0.06506421,0.0005570825
ANCHIXa,33,0.06538734,0.0005507434
ANCHIXa,33,0.06571047,0.0005453695
ANCHIXa,33,0.06603361,0.0005410265
ANCHIXa,33,0.06635674,0.0005377779
ANCHIXa,33,0.06667987,0.0005356849
ANCHIXa,33,0.06700300,0.0005348050
ANCHIXa,33,0.06732613,0.0005351920
ANCHIXa,33,0.06764927,0.0005368951
ANCHIXa,33,0.06797240,0.0005399586
ANCHIXa,33,0.06829553,0.0005444214
ANCHIXa,33,0.06861866,0.0005503162
ANCHIXa,33,0.06894179,0.0005576697
ANCHIXa,33,0.06926493,0.0005665017
ANCHIXa,33,0.06958806,0.0005768255
ANCHIXa,33,0.06991119,0.0005886469
ANCHIXa,33,0.07023432,0.0006019648
ANCHIXa,33,0.07055745,0.0006167708
ANCHIXa,33,0.07088059,0.0006330492
ANCHIXa,33,0.07120372,0.0006507771
ANCHIXa,33,0.07152685,0.0006699246
ANCHIXa,33,0.07184998,0.0006904548
ANCHIXa,33,0.07217312,0.0007123242
ANCHIXa,33,0.07249625,0.0007354825
ANCHIXa,33,0.07281938,0.0007598736
ANCHIXa,33,0.07314251,0.0007854354
ANCHIXa,33,0.07346564,0.0008121002
ANCHIXa,33,0.07378878,0.0008397952
ANCHIXa,33,0.07411191,0.0008684427
ANCHIXa,33,0.07443504,0.0008979608
ANCHIXa,33,0.07475817,0.0009282636
ANCHIXa,33,0.07508130,0.0009592617
ANCHIXa,33,0.07540444,0.0009908627
ANCHIXa,33,0.07572757,0.0010229713
ANCHIXa,33,0.07605070,0.0010554906
ANCHIXa,33,0.07637383,0.0010883218
ANCHIXa,33,0.07669696,0.0011213649
ANCHIXa,33,0.07702010,0.0011545196
ANCHIXa,33,0.07734323,0.0011876853
ANCHIXa,33,0.07766636,0.0012207620
ANCHIXa,33,0.07798949,0.0012536506
ANCHIXa,33,0.07831263,0.0012862535
ANCHIXa,33,0.07863576,0.0013184755
ANCHIXa,33,0.07895889,0.0013502235
ANCHIXa,33,0.07928202,0.0013814081
ANCHIXa,33,0.07960515,0.0014119430
ANCHIXa,33,0.07992829,0.0014417463
ANCHIXa,33,0.08025142,0.0014707407
ANCHIXa,33,0.08057455,0.0014988536
ANCHIXa,33,0.08089768,0.0015260181
ANCHIXa,33,0.08122081,0.0015521727
ANCHIXa,33,0.08154395,0.0015772619
ANCHIXa,33,0.08186708,0.0016012364
ANCHIXa,33,0.08219021,0.0016240531
ANCHIXa,33,0.08251334,0.0016456753
ANCHIXa,33,0.08283647,0.0016660726
ANCHIXa,33,0.08315961,0.0016852211
ANCHIXa,33,0.08348274,0.0017031027
ANCHIXa,33,0.08380587,0.0017197055
ANCHIXa,33,0.08412900,0.0017350233
ANCHIXa,33,0.08445213,0.0017490552
ANCHIXa,33,0.08477527,0.0017618052
ANCHIXa,33,0.08509840,0.0017732820
ANCHIXa,33,0.08542153,0.0017834982
ANCHIXa,33,0.08574466,0.0017924702
ANCHIXa,33,0.08606780,0.0018002173
ANCHIXa,33,0.08639093,0.0018067614
ANCHIXa,33,0.08671406,0.0018121264
ANCHIXa,33,0.08703719,0.0018163376
ANCHIXa,33,0.08736032,0.0018194215
ANCHIXa,33,0.08768346,0.0018214049
ANCHIXa,33,0.08800659,0.0018223147
ANCHIXa,33,0.08832972,0.0018221775
ANCHIXa,33,0.08865285,0.0018210194
ANCHIXa,33,0.08897598,0.0018188651
ANCHIXa,33,0.08929912,0.0018157383
ANCHIXa,33,0.08962225,0.0018116615
ANCHIXa,33,0.08994538,0.0018066553
ANCHIXa,33,0.09026851,0.0018007389
ANCHIXa,33,0.09059164,0.0017939299
ANCHIXa,33,0.09091478,0.0017862446
ANCHIXa,33,0.09123791,0.0017776977
ANCHIXa,33,0.09156104,0.0017683028
ANCHIXa,33,0.09188417,0.0017580729
ANCHIXa,33,0.09220730,0.0017470200
ANCHIXa,33,0.09253044,0.0017351563
ANCHIXa,33,0.09285357,0.0017224938
ANCHIXa,33,0.09317670,0.0017090453
ANCHIXa,33,0.09349983,0.0016948246
ANCHIXa,33,0.09382297,0.0016798469
ANCHIXa,33,0.09414610,0.0016641295
ANCHIXa,33,0.09446923,0.0016476921
ANCHIXa,33,0.09479236,0.0016305572
ANCHIXa,33,0.09511549,0.0016127507
ANCHIXa,33,0.09543863,0.0015943022
ANCHIXa,33,0.09576176,0.0015752454
ANCHIXa,33,0.09608489,0.0015556185
ANCHIXa,33,0.09640802,0.0015354644
ANCHIXa,33,0.09673115,0.0015148310
ANCHIXa,33,0.09705429,0.0014937711
ANCHIXa,33,0.09737742,0.0014723430
ANCHIXa,33,0.09770055,0.0014506100
ANCHIXa,33,0.09802368,0.0014286408
ANCHIXa,33,0.09834681,0.0014065088
ANCHIXa,33,0.09866995,0.0013842927
ANCHIXa,33,0.09899308,0.0013620755
ANCHIXa,33,0.09931621,0.0013399447
ANCHIXa,33,0.09963934,0.0013179915
ANCHIXa,33,0.09996247,0.0012963107
ANCHIXa,33,0.10028561,0.0012749998
ANCHIXa,33,0.10060874,0.0012541588
ANCHIXa,33,0.10093187,0.0012338896
ANCHIXa,33,0.10125500,0.0012142949
ANCHIXa,33,0.10157814,0.0011954782
ANCHIXa,33,0.10190127,0.0011775424
ANCHIXa,33,0.10222440,0.0011605898
ANCHIXa,33,0.10254753,0.0011447208
ANCHIXa,33,0.10287066,0.0011300335
ANCHIXa,33,0.10319380,0.0011166229
ANCHIXa,33,0.10351693,0.0011045803
ANCHIXa,33,0.10384006,0.0010939923
ANCHIXa,33,0.10416319,0.0010849404
ANCHIXa,33,0.10448632,0.0010775004
ANCHIXa,33,0.10480946,0.0010717416
ANCHIXa,33,0.10513259,0.0010677261
ANCHIXa,33,0.10545572,0.0010655087
ANCHIXa,33,0.10577885,0.0010651359
ANCHIXa,33,0.10610198,0.0010666457
