"stockid","tsyear","F","TC","SSB"
"ARGANCHONARG",2017,0.0445,8574.9918,895192.3603
"ARGANCHONARG",2018,0.0671,8505.2376,594966.1241
"ARGANCHONARG",2019,0.0137,1815.0761,797356.8862
"ARGANCHOSARG",1990,0.005,1760,734000
"ARGANCHOSARG",1991,0.003,1480,930000
"ARGANCHOSARG",1992,0.002,1290,897000
"ARGANCHOSARG",1993,0.013,5730,661000
"ARGANCHOSARG",1994,0.004,2120,808000
"ARGANCHOSARG",1995,0.014,6520,806000
"ARGANCHOSARG",1996,0.009,4550,859000
"ARGANCHOSARG",1997,0.008,4190,863000
"ARGANCHOSARG",1998,0.001,663,916000
"ARGANCHOSARG",1999,0.012,6430,875000
"ARGANCHOSARG",2000,0.003,1690,715000
"ARGANCHOSARG",2001,0.002,953,589000
"ARGANCHOSARG",2002,0.002,762,592000
"ARGANCHOSARG",2003,0.004,1530,668000
"ARGANCHOSARG",2004,0.002,1020,905000
"ARGANCHOSARG",2005,0.009,4950,1050000
"ARGANCHOSARG",2006,0.003,1920,951000
"ARGANCHOSARG",2007,0.007,3270,773000
"ARGANCHOSARG",2008,0.006,2440,704000
"ARGANCHOSARG",2009,0.001,303,711000
"ARGANCHOSARG",2010,0.013,4750,714000
"ARGANCHOSARG",2011,0.004,1440,719000
"ARGANCHOSARG",2012,0.002,671,722000
"ARGANCHOSARG",2013,0.001,458,723000
"ARGANCHOSARG",2014,0.004,1420,723000
"ARGANCHOSARG",2015,0.006,2280,723000
"ARGANCHOSARG",2016,6e-04,207,973345.8963
"ARGANCHOSARG",2017,0.00609,2127,1071571.364
"ARGANCHOSARG",2018,6e-04,55,1084342.199
"ARGANCHOSARG",2019,0.0114,4146,974089.1537
"HERR2224IIIa",1991,0.356,192000,311000
"HERR2224IIIa",1992,0.475,194000,323000
"HERR2224IIIa",1993,0.543,185000,296000
"HERR2224IIIa",1994,0.695,172000,232000
"HERR2224IIIa",1995,0.513,151000,182000
"HERR2224IIIa",1996,0.701,121000,134000
"HERR2224IIIa",1997,0.511,116000,150000
"HERR2224IIIa",1998,0.492,107000,121000
"HERR2224IIIa",1999,0.373,97200,129000
"HERR2224IIIa",2000,0.467,110000,142000
"HERR2224IIIa",2001,0.453,106000,164000
"HERR2224IIIa",2002,0.404,106000,204000
"HERR2224IIIa",2003,0.393,78300,164000
"HERR2224IIIa",2004,0.342,76800,168000
"HERR2224IIIa",2005,0.394,88400,165000
"HERR2224IIIa",2006,0.455,90500,184000
"HERR2224IIIa",2007,0.435,68200,141000
"HERR2224IIIa",2008,0.474,69500,117000
"HERR2224IIIa",2009,0.517,67300,105000
"HERR2224IIIa",2010,0.302,42200,95200
"HERR2224IIIa",2011,NA,27800,97500
"HERR2224IIIa",2012,0.331,38600,87900
"HERR2224IIIa",2013,0.364,43800,106000
"HERR2224IIIa",2014,0.261,37400,123000
"HERR2224IIIa",2015,0.256,37500,130000
"HERR2224IIIa",2016,0.407,51300,143000
"HERR2224IIIa",2017,0.332,46300,101000
"HERR2224IIIa",2018,0.416,41058,104000
"HERR2224IIIa",2019,0.382,25400,69743
"HERR2224IIIa",2020,0.193,22100,57100
"HERR2224IIIa",2021,NA,NA,65000
"HERR2529-32",1974,0.185,369000,1680000
"HERR2529-32",1975,0.2,355000,1580000
"HERR2529-32",1976,0.194,305000,1370000
"HERR2529-32",1977,0.189,302000,1520000
"HERR2529-32",1978,0.164,279000,1440000
"HERR2529-32",1979,0.195,278000,1410000
"HERR2529-32",1980,0.187,270000,1360000
"HERR2529-32",1981,0.203,294000,1290000
"HERR2529-32",1982,0.174,273000,1430000
"HERR2529-32",1983,0.224,308000,1410000
"HERR2529-32",1984,0.224,278000,1320000
"HERR2529-32",1985,0.23,276000,1270000
"HERR2529-32",1986,0.202,241000,1200000
"HERR2529-32",1987,0.23,249000,1150000
"HERR2529-32",1988,0.219,256000,1150000
"HERR2529-32",1989,0.29,276000,1020000
"HERR2529-32",1990,0.275,229000,875000
"HERR2529-32",1991,0.283,198000,786000
"HERR2529-32",1992,0.252,190000,811000
"HERR2529-32",1993,0.284,209000,764000
"HERR2529-32",1994,0.341,218000,773000
"HERR2529-32",1995,0.321,188000,672000
"HERR2529-32",1996,0.319,163000,616000
"HERR2529-32",1997,0.359,160000,583000
"HERR2529-32",1998,0.377,186000,527000
"HERR2529-32",1999,0.319,146000,449000
"HERR2529-32",2000,0.421,176000,454000
"HERR2529-32",2001,0.357,148000,419000
"HERR2529-32",2002,0.306,129000,438000
"HERR2529-32",2003,0.228,114000,510000
"HERR2529-32",2004,0.193,93000,526000
"HERR2529-32",2005,0.168,91600,581000
"HERR2529-32",2006,0.179,110000,646000
"HERR2529-32",2007,0.188,116000,676000
"HERR2529-32",2008,0.197,126000,678000
"HERR2529-32",2009,0.182,134000,738000
"HERR2529-32",2010,0.219,137000,764000
"HERR2529-32",2011,0.174,117000,730000
"HERR2529-32",2012,0.133,101000,751000
"HERR2529-32",2013,0.123,101000,717000
"HERR2529-32",2014,0.158,133000,859000
"HERR2529-32",2015,0.183,174000,1e+06
"HERR2529-32",2016,0.201,192000,1060000
"HERR2529-32",2017,0.276,203000,1340000
"HERR2529-32",2018,0.2856,244365,809000
"HERR2529-32",2019,0.4478,204000,844663
"HERR2529-32",2020,0.46,177000,450000
"HERR2529-32",2021,NA,NA,365000
"HERR2532",1973,NA,NA,NA
"HERR2532",1974,0.176,NA,1770000
"HERR2532",1975,0.192,NA,1650000
"HERR2532",1976,0.185,NA,1440000
"HERR2532",1977,0.178,NA,1590000
"HERR2532",1978,0.156,NA,1550000
"HERR2532",1979,0.184,NA,1500000
"HERR2532",1980,0.183,NA,1380000
"HERR2532",1981,0.2,NA,1290000
"HERR2532",1982,0.174,NA,1410000
"HERR2532",1983,0.229,NA,1350000
"HERR2532",1984,0.233,NA,1250000
"HERR2532",1985,0.241,NA,1180000
"HERR2532",1986,0.215,NA,1120000
"HERR2532",1987,0.245,NA,1070000
"HERR2532",1988,0.231,NA,1080000
"HERR2532",1989,0.306,NA,952000
"HERR2532",1990,0.289,NA,822000
"HERR2532",1991,0.299,NA,731000
"HERR2532",1992,0.274,NA,750000
"HERR2532",1993,0.312,NA,696000
"HERR2532",1994,0.375,NA,699000
"HERR2532",1995,0.355,NA,609000
"HERR2532",1996,0.35,NA,550000
"HERR2532",1997,0.403,NA,520000
"HERR2532",1998,0.426,NA,464000
"HERR2532",1999,0.358,NA,394000
"HERR2532",2000,0.482,NA,402000
"HERR2532",2001,0.409,NA,359000
"HERR2532",2002,0.352,NA,372000
"HERR2532",2003,0.271,NA,428000
"HERR2532",2004,0.23,NA,428000
"HERR2532",2005,0.208,NA,475000
"HERR2532",2006,0.226,NA,519000
"HERR2532",2007,0.237,NA,524000
"HERR2532",2008,0.252,NA,511000
"HERR2532",2009,0.243,NA,532000
"HERR2532",2010,0.316,NA,535000
"HERR2532",2011,NA,NA,526000
"HERR30",1972,NA,NA,NA
"HERR30",1973,0.163,27000,141000
"HERR30",1974,0.144,23900,149000
"HERR30",1975,0.102,19600,154000
"HERR30",1976,0.141,23800,152000
"HERR30",1977,0.199,26300,142000
"HERR30",1978,0.199,25100,148000
"HERR30",1979,0.151,19000,136000
"HERR30",1980,0.182,20200,117000
"HERR30",1981,0.137,13700,113000
"HERR30",1982,0.2,17800,1e+05
"HERR30",1983,0.158,18500,110000
"HERR30",1984,0.206,25600,130000
"HERR30",1985,0.182,26100,159000
"HERR30",1986,0.139,26500,180000
"HERR30",1987,0.12,24500,227000
"HERR30",1988,0.108,27700,234000
"HERR30",1989,0.0889,28700,318000
"HERR30",1990,0.0774,31300,384000
"HERR30",1991,0.0668,26200,422000
"HERR30",1992,0.093,39300,428000
"HERR30",1993,0.083,40200,408000
"HERR30",1994,0.131,56400,471000
"HERR30",1995,0.156,61100,409000
"HERR30",1996,0.146,56100,428000
"HERR30",1997,0.197,65500,359000
"HERR30",1998,0.168,56900,359000
"HERR30",1999,0.187,62300,325000
"HERR30",2000,0.173,56300,386000
"HERR30",2001,0.155,55000,331000
"HERR30",2002,0.113,50200,377000
"HERR30",2003,0.119,49600,393000
"HERR30",2004,0.125,55500,409000
"HERR30",2005,0.119,57900,451000
"HERR30",2006,0.128,68400,412000
"HERR30",2007,0.152,75400,4e+05
"HERR30",2008,0.154,65400,393000
"HERR30",2009,0.14,68900,488000
"HERR30",2010,0.133,70500,618000
"HERR30",2011,NA,78500,571000
"HERR30",2012,0.1,101000,971000
"HERR30",2013,0.089,110000,941000
"HERR30",2014,0.154,111000,1230000
"HERR30",2015,0.146,NA,669000
"HERR30",2016,NA,NA,952000
"HERR30-31",1963,0.0284426,29700,1120000
"HERR30-31",1964,0.0242576,25200,1120000
"HERR30-31",1965,0.0276199,27500,1090000
"HERR30-31",1966,0.0238397,22200,1010000
"HERR30-31",1967,0.0324741,27800,926000
"HERR30-31",1968,0.0374211,29000,839000
"HERR30-31",1969,0.0526785,36000,746000
"HERR30-31",1970,0.0521792,32800,686000
"HERR30-31",1971,0.0757809,36300,527000
"HERR30-31",1972,0.0648913,34100,562000
"HERR30-31",1973,0.0467525,26500,604000
"HERR30-31",1974,0.0529008,26800,519000
"HERR30-31",1975,0.0405841,21800,552000
"HERR30-31",1976,0.0559213,30500,561000
"HERR30-31",1977,0.0562012,33600,604000
"HERR30-31",1978,0.0572987,34900,684000
"HERR30-31",1979,0.0461138,26100,627000
"HERR30-31",1980,0.0574555,29800,550000
"HERR30-31",1981,0.0391761,21500,561000
"HERR30-31",1982,0.0491507,26500,580000
"HERR30-31",1983,0.0416572,26200,634000
"HERR30-31",1984,0.0479501,34500,694000
"HERR30-31",1985,0.0456921,35400,762000
"HERR30-31",1986,0.0445153,35600,855000
"HERR30-31",1987,0.0376212,32600,947000
"HERR30-31",1988,0.039741,36400,919000
"HERR30-31",1989,0.0330082,33100,1050000
"HERR30-31",1990,0.0370306,39200,1180000
"HERR30-31",1991,0.029165,33400,1310000
"HERR30-31",1992,0.0410894,46600,1280000
"HERR30-31",1993,0.0430717,49300,1230000
"HERR30-31",1994,0.0531292,62000,1350000
"HERR30-31",1995,0.0598813,65500,1200000
"HERR30-31",1996,0.0601996,61300,1180000
"HERR30-31",1997,0.0762705,69800,989000
"HERR30-31",1998,0.070273,62500,945000
"HERR30-31",1999,0.0781857,66500,922000
"HERR30-31",2000,0.0808024,58900,856000
"HERR30-31",2001,0.0798419,57800,839000
"HERR30-31",2002,0.072575,54000,847000
"HERR30-31",2003,0.0673625,53600,858000
"HERR30-31",2004,0.071179,61400,9e+05
"HERR30-31",2005,0.0769024,62900,911000
"HERR30-31",2006,0.0960307,71300,815000
"HERR30-31",2007,0.109752,78700,795000
"HERR30-31",2008,0.0998822,67900,757000
"HERR30-31",2009,0.104374,71200,750000
"HERR30-31",2010,0.10371,72600,899000
"HERR30-31",2011,0.120392,81900,798000
"HERR30-31",2012,0.161705,106000,807000
"HERR30-31",2013,0.185383,114000,805000
"HERR30-31",2014,0.200583,115000,744000
"HERR30-31",2015,0.216625,115000,703000
"HERR30-31",2016,0.256396,130000,664000
"HERR30-31",2017,0.215143,104000,649000
"HERR30-31",2018,0.206846,97400,668000
"HERR30-31",2019,0.19697,88900,595000
"HERR30-31",2020,0.16043,73000,603000
"HERR30-31",2021,0.185758,71924,663000
"HERR30-31",2022,0.215609,78614,492750
"HERR30-31",2023,NA,NA,449913
"HERR31",1979,NA,NA,NA
"HERR31",1980,0.211,9660,35100
"HERR31",1981,0.264,7830,28600
"HERR31",1982,0.298,8650,32300
"HERR31",1983,0.416,7710,29600
"HERR31",1984,0.223,8920,29400
"HERR31",1985,0.217,9310,33400
"HERR31",1986,0.263,9090,37800
"HERR31",1987,0.234,8110,34900
"HERR31",1988,0.285,8770,31800
"HERR31",1989,0.178,4430,25300
"HERR31",1990,0.236,7900,26200
"HERR31",1991,0.214,7200,29500
"HERR31",1992,0.305,7300,23300
"HERR31",1993,0.464,9140,19600
"HERR31",1994,0.361,5610,14400
"HERR31",1995,0.404,4460,11000
"HERR31",1996,0.487,5190,12400
"HERR31",1997,0.484,4280,11600
"HERR31",1998,0.64,5580,12400
"HERR31",1999,0.584,4160,9870
"HERR31",2000,0.288,2590,8370
"HERR31",2001,0.264,2820,10700
"HERR31",2002,0.263,3750,12800
"HERR31",2003,0.287,4000,13500
"HERR31",2004,0.435,5970,13700
"HERR31",2005,0.414,4970,12900
"HERR31",2006,0.276,2950,9800
"HERR31",2007,0.347,3250,9480
"HERR31",2008,0.302,2480,7390
"HERR31",2009,0.309,2380,9800
"HERR31",2010,0.259,2080,8010
"HERR31",2011,NA,3350,NA
"HERR31",2012,NA,5370,NA
"HERR31",2013,NA,4610,NA
"HERR31",2014,NA,4830,NA
"HERR31",2015,NA,4530,NA
"HERR4RFA",1965,NA,NA,228888.19
"HERR4RFA",1966,NA,NA,206381.8
"HERR4RFA",1967,NA,NA,202672.88
"HERR4RFA",1968,NA,NA,202284.06
"HERR4RFA",1969,NA,NA,171290.72
"HERR4RFA",1970,NA,NA,169430.08
"HERR4RFA",1971,NA,NA,125903.02
"HERR4RFA",1972,NA,NA,101551.445
"HERR4RFA",1973,0.153,NA,81616.89
"HERR4RFA",1974,0.04,NA,73856.58
"HERR4RFA",1975,0.033,NA,69780.47
"HERR4RFA",1976,0.047,NA,56857.953
"HERR4RFA",1977,0.065,NA,45411.895
"HERR4RFA",1978,0.096,NA,42812.25
"HERR4RFA",1979,0.164,NA,32097.473
"HERR4RFA",1980,0.124,NA,28761.914
"HERR4RFA",1981,0.075,NA,32800.94
"HERR4RFA",1982,0.073,NA,50111.133
"HERR4RFA",1983,0.032,NA,63368.395
"HERR4RFA",1984,0.047,NA,70722.9
"HERR4RFA",1985,0.055,NA,67384.25
"HERR4RFA",1986,0.07,NA,64418.965
"HERR4RFA",1987,0.06,NA,63661.42
"HERR4RFA",1988,0.059,NA,56637.023
"HERR4RFA",1989,0.053,NA,50351.633
"HERR4RFA",1990,0.049,NA,52173.65
"HERR4RFA",1991,0.122,NA,47364.72
"HERR4RFA",1992,0.052,NA,51402.203
"HERR4RFA",1993,0.061,NA,52858.58
"HERR4RFA",1994,0.071,NA,59844.35
"HERR4RFA",1995,0.094,NA,61303.82
"HERR4RFA",1996,0.117,NA,54643.516
"HERR4RFA",1997,0.109,NA,50198.68
"HERR4RFA",1998,0.199,NA,39855.723
"HERR4RFA",1999,0.118,NA,39105.902
"HERR4RFA",2000,0.124,NA,45722.945
"HERR4RFA",2001,0.113,NA,43490.484
"HERR4RFA",2002,0.049,NA,47898.242
"HERR4RFA",2003,NA,NA,53041.914
"HERR4RFA",2004,NA,NA,104276.74
"HERR4RFA",2005,NA,NA,120482.3
"HERR4RFA",2006,NA,NA,143692.16
"HERR4RFA",2007,NA,NA,145889.08
"HERR4RFA",2008,NA,NA,182001.38
"HERR4RFA",2009,NA,NA,203737.86
"HERR4RFA",2010,NA,NA,206675.34
"HERR4RFA",2011,NA,NA,207023.98
"HERR4RFA",2012,NA,NA,199259.05
"HERR4RFA",2013,NA,NA,175646.45
"HERR4RFA",2014,NA,NA,152394.89
"HERR4RFA",2015,NA,NA,134308.61
"HERR4RFA",2016,NA,NA,106266.65
"HERR4RFA",2017,NA,NA,76382.58
"HERR4RSP",1963,NA,NA,NA
"HERR4RSP",1964,NA,NA,NA
"HERR4RSP",1965,0.201,NA,43400
"HERR4RSP",1966,0.391,NA,53600
"HERR4RSP",1967,0.578,NA,66900
"HERR4RSP",1968,0.552,NA,60600
"HERR4RSP",1969,0.514,NA,61800
"HERR4RSP",1970,0.106,NA,82000
"HERR4RSP",1971,0.039,NA,85200
"HERR4RSP",1972,0.058,NA,157000
"HERR4RSP",1973,0.157,NA,189000
"HERR4RSP",1974,0.038,NA,183000
"HERR4RSP",1975,0.023,NA,166000
"HERR4RSP",1976,0.066,NA,135000
"HERR4RSP",1977,0.082,NA,128000
"HERR4RSP",1978,0.095,NA,123000
"HERR4RSP",1979,0.146,NA,108000
"HERR4RSP",1980,0.154,NA,98300
"HERR4RSP",1981,0.152,NA,69900
"HERR4RSP",1982,0.267,NA,57500
"HERR4RSP",1983,0.232,NA,51800
"HERR4RSP",1984,0.169,NA,77600
"HERR4RSP",1985,0.137,NA,98000
"HERR4RSP",1986,0.175,NA,148000
"HERR4RSP",1987,0.105,NA,145000
"HERR4RSP",1988,0.201,NA,130000
"HERR4RSP",1989,0.172,NA,114000
"HERR4RSP",1990,0.225,NA,102000
"HERR4RSP",1991,0.331,NA,88500
"HERR4RSP",1992,0.258,NA,59400
"HERR4RSP",1993,0.347,NA,58800
"HERR4RSP",1994,0.236,NA,54900
"HERR4RSP",1995,0.344,NA,46400
"HERR4RSP",1996,0.272,NA,35300
"HERR4RSP",1997,0.239,NA,32600
"HERR4RSP",1998,0.393,NA,33700
"HERR4RSP",1999,0.165,NA,45100
"HERR4RSP",2000,0.148,NA,66300
"HERR4RSP",2001,0.202,NA,63500
"HERR4RSP",2002,0.182,NA,74900
"HERR4RSP",2003,0.148,NA,57700
"HERR4RSP",2004,NA,NA,52600
"HERR4RSP",2005,NA,NA,19422.893
"HERR4RSP",2006,NA,NA,15747.708
"HERR4RSP",2007,NA,NA,15385.691
"HERR4RSP",2008,NA,NA,16496.424
"HERR4RSP",2009,NA,NA,16134.407
"HERR4RSP",2010,NA,NA,11353.632
"HERR4RSP",2011,NA,NA,9519.382
"HERR4RSP",2012,NA,NA,6580.057
"HERR4RSP",2013,NA,NA,3271.5164
"HERR4RSP",2014,NA,NA,2910.0142
"HERR4RSP",2015,NA,NA,2916.185
"HERR4RSP",2016,NA,NA,2922.8699
"HERR4RSP",2017,NA,NA,2191.6382
"HERR4S",1979,NA,487,NA
"HERR4S",1980,NA,894,NA
"HERR4S",1981,NA,704,NA
"HERR4S",1982,NA,1080,NA
"HERR4S",1983,NA,2890,NA
"HERR4S",1984,NA,966,NA
"HERR4S",1985,NA,517,NA
"HERR4S",1986,NA,640,NA
"HERR4S",1987,NA,1390,NA
"HERR4S",1988,NA,917,NA
"HERR4S",1989,NA,527,NA
"HERR4S",1990,NA,588,NA
"HERR4S",1991,NA,501,NA
"HERR4S",1992,NA,531,NA
"HERR4S",1993,NA,359,NA
"HERR4S",1994,NA,643,NA
"HERR4S",1995,NA,529,NA
"HERR4S",1996,NA,418,NA
"HERR4S",1997,NA,281,NA
"HERR4S",1998,NA,247,NA
"HERR4S",1999,NA,295,NA
"HERR4S",2000,NA,153,NA
"HERR4S",2001,NA,249,NA
"HERR4S",2002,NA,248,NA
"HERR4S",2003,NA,151,NA
"HERR4S",2004,NA,127,NA
"HERR4S",2005,NA,420,NA
"HERR4S",2006,NA,132,NA
"HERR4S",2007,NA,127,NA
"HERR4S",2008,NA,375,NA
"HERR4S",2009,NA,1070,NA
"HERR4S",2010,NA,407,NA
"HERR4TFA",1974,NA,NA,NA
"HERR4TFA",1975,NA,NA,NA
"HERR4TFA",1976,NA,NA,NA
"HERR4TFA",1977,NA,NA,NA
"HERR4TFA",1978,0.699,NA,68500
"HERR4TFA",1979,0.529,NA,49500
"HERR4TFA",1980,0.906,NA,44000
"HERR4TFA",1981,0.223,14700,67700
"HERR4TFA",1982,0.203,14900,110000
"HERR4TFA",1983,0.146,16300,153000
"HERR4TFA",1984,0.11,17900,221000
"HERR4TFA",1985,0.153,27800,249000
"HERR4TFA",1986,0.185,42300,277000
"HERR4TFA",1987,0.232,55200,316000
"HERR4TFA",1988,0.181,47600,317000
"HERR4TFA",1989,0.169,39700,284000
"HERR4TFA",1990,0.327,63500,261000
"HERR4TFA",1991,0.146,32500,311000
"HERR4TFA",1992,0.167,37200,319000
"HERR4TFA",1993,0.13,26500,270000
"HERR4TFA",1994,0.349,60500,265000
"HERR4TFA",1995,0.467,63500,204000
"HERR4TFA",1996,0.495,50600,176000
"HERR4TFA",1997,0.388,38400,156000
"HERR4TFA",1998,0.45,43400,166000
"HERR4TFA",1999,0.548,55700,205000
"HERR4TFA",2000,0.411,58200,219000
"HERR4TFA",2001,0.36,53400,207000
"HERR4TFA",2002,0.328,53600,226000
"HERR4TFA",2003,0.416,61200,242000
"HERR4TFA",2004,0.247,43400,259000
"HERR4TFA",2005,0.347,60400,262000
"HERR4TFA",2006,0.329,53300,231000
"HERR4TFA",2007,0.358,48100,191000
"HERR4TFA",2008,0.343,41800,218000
"HERR4TFA",2009,0.247,46800,322000
"HERR4TFA",2010,0.262,47300,258000
"HERR4TFA",2011,0.242,38500,213000
"HERR4TFA",2012,0.257,32600,163000
"HERR4TFA",2013,0.423,34400,138000
"HERR4TFA",2014,NA,NA,99000
"HERR4TFA",2015,NA,NA,154074.43
"HERR4TFA",2016,NA,NA,142863.34
"HERR4TFA",2017,NA,NA,128203.31
"HERR4TFA",2018,NA,NA,112000
"HERR4TSP",1974,NA,NA,NA
"HERR4TSP",1975,NA,NA,NA
"HERR4TSP",1976,NA,NA,NA
"HERR4TSP",1977,NA,NA,NA
"HERR4TSP",1978,0.243,NA,67700
"HERR4TSP",1979,0.47,NA,47900
"HERR4TSP",1980,1.74,NA,24000
"HERR4TSP",1981,1.08,7190,12100
"HERR4TSP",1982,0.487,6620,9510
"HERR4TSP",1983,0.095,9560,27400
"HERR4TSP",1984,0.092,5640,46900
"HERR4TSP",1985,0.159,10200,71300
"HERR4TSP",1986,0.303,17100,103000
"HERR4TSP",1987,0.465,22400,94700
"HERR4TSP",1988,0.492,24000,75400
"HERR4TSP",1989,0.414,19500,63000
"HERR4TSP",1990,0.331,13000,59300
"HERR4TSP",1991,0.378,15600,65100
"HERR4TSP",1992,0.309,16600,1e+05
"HERR4TSP",1993,0.396,20700,97400
"HERR4TSP",1994,0.474,23200,84600
"HERR4TSP",1995,0.558,25900,117000
"HERR4TSP",1996,0.434,21200,89600
"HERR4TSP",1997,0.339,17200,74300
"HERR4TSP",1998,0.249,15200,61900
"HERR4TSP",1999,0.371,14900,52100
"HERR4TSP",2000,0.698,17600,44500
"HERR4TSP",2001,0.751,14100,38200
"HERR4TSP",2002,0.629,9940,28600
"HERR4TSP",2003,0.725,8990,24600
"HERR4TSP",2004,1.22,8220,16200
"HERR4TSP",2005,1.22,4670,13200
"HERR4TSP",2006,0.452,2450,11700
"HERR4TSP",2007,0.923,4160,12200
"HERR4TSP",2008,0.571,3010,13400
"HERR4TSP",2009,0.201,1840,13800
"HERR4TSP",2010,0.158,1370,16300
"HERR4TSP",2011,0.146,1520,16500
"HERR4TSP",2012,0.037,599,18800
"HERR4TSP",2013,0.137,1700,20300
"HERR4TSP",2014,NA,NA,22300
"HERR4TSP",2015,NA,NA,8352.668
"HERR4TSP",2016,NA,NA,7517.401
"HERR4TSP",2017,NA,NA,11972.1575
"HERR4TSP",2018,NA,NA,12250.58
"HERR4VWX",1964,NA,NA,NA
"HERR4VWX",1965,0.15,NA,301000
"HERR4VWX",1966,0.45,NA,425000
"HERR4VWX",1967,0.38,NA,490000
"HERR4VWX",1968,0.43,NA,490000
"HERR4VWX",1969,0.31,NA,461000
"HERR4VWX",1970,0.49,NA,435000
"HERR4VWX",1971,0.51,NA,326000
"HERR4VWX",1972,0.69,NA,258000
"HERR4VWX",1973,0.54,NA,317000
"HERR4VWX",1974,0.34,NA,467000
"HERR4VWX",1975,0.44,NA,461000
"HERR4VWX",1976,0.41,NA,357000
"HERR4VWX",1977,0.57,NA,292000
"HERR4VWX",1978,0.98,NA,185000
"HERR4VWX",1979,0.68,NA,168000
"HERR4VWX",1980,0.27,NA,305000
"HERR4VWX",1981,0.63,NA,311000
"HERR4VWX",1982,0.59,NA,246000
"HERR4VWX",1983,0.55,NA,246000
"HERR4VWX",1984,0.59,NA,277000
"HERR4VWX",1985,0.51,NA,376000
"HERR4VWX",1986,0.17,NA,567000
"HERR4VWX",1987,0.22,NA,714000
"HERR4VWX",1988,0.38,NA,642000
"HERR4VWX",1989,0.23,NA,508000
"HERR4VWX",1990,0.51,NA,462000
"HERR4VWX",1991,0.41,NA,345000
"HERR4VWX",1992,0.61,NA,296000
"HERR4VWX",1993,0.73,NA,201000
"HERR4VWX",1994,1.07,NA,127000
"HERR4VWX",1995,0.94,NA,99600
"HERR4VWX",1996,0.74,NA,115000
"HERR4VWX",1997,0.65,NA,128000
"HERR4VWX",1998,1.17,NA,133000
"HERR4VWX",1999,0.89,NA,115000
"HERR4VWX",2000,1.33,NA,90200
"HERR4VWX",2001,1.08,NA,89700
"HERR4VWX",2002,1.67,NA,89700
"HERR4VWX",2003,2.06,NA,72800
"HERR4VWX",2004,2.46,NA,63100
"HERR4VWX",2005,1.21,NA,54800
"HERR4VWX",2006,NA,NA,48600
"HERRIsum",1984,NA,NA,NA
"HERRIsum",1985,NA,NA,NA
"HERRIsum",1986,NA,NA,NA
"HERRIsum",1987,0.35,75500,384000
"HERRIsum",1988,0.27,92800,423000
"HERRIsum",1989,0.32,101000,386000
"HERRIsum",1990,0.4,104000,350000
"HERRIsum",1991,0.44,107000,310000
"HERRIsum",1992,0.41,107000,344000
"HERRIsum",1993,0.25,103000,425000
"HERRIsum",1994,0.31,134000,442000
"HERRIsum",1995,0.34,125000,408000
"HERRIsum",1996,0.36,95900,310000
"HERRIsum",1997,0.25,64800,271000
"HERRIsum",1998,0.28,86100,302000
"HERRIsum",1999,0.37,92600,294000
"HERRIsum",2000,0.33,99900,313000
"HERRIsum",2001,0.4,93600,281000
"HERRIsum",2002,0.39,96000,317000
"HERRIsum",2003,0.26,129000,436000
"HERRIsum",2004,0.2,112000,560000
"HERRIsum",2005,0.21,102000,608000
"HERRIsum",2006,0.12,130000,719000
"HERRIsum",2007,0.25,158000,665000
"HERRIsum",2008,0.25,151000,688000
"HERRIsum",2009,0.08,45700,542000
"HERRIsum",2010,0.13,43400,386000
"HERRIsum",2011,NA,49400,218000
"HERRIsum",2012,0.222,71900,450000
"HERRIsum",2013,0.156,71500,541000
"HERRIsum",2014,0.266,95000,430000
"HERRIsum",2015,0.219,69700,346000
"HERRIsum",2016,0.251,60400,318000
"HERRIsum",2017,0.115,35000,241000
"HERRIsum",2018,0.175191731,40683,222000
"HERRIsum",2019,NA,30038,212481
"HERRIsum",2020,NA,36099,298050
"HERRIsum",2021,NA,68995,394444
"HERRIsum",2022,NA,72756,462880
"HERRIsum",2023,NA,NA,555403
"HERRNIRS",1960,NA,NA,NA
"HERRNIRS",1961,0.468,5710,5700
"HERRNIRS",1962,0.596,4340,3380
"HERRNIRS",1963,0.728,3950,2660
"HERRNIRS",1964,0.617,3590,2720
"HERRNIRS",1965,0.812,5920,5600
"HERRNIRS",1966,0.432,5670,6500
"HERRNIRS",1967,0.352,8720,9310
"HERRNIRS",1968,0.26,8660,24000
"HERRNIRS",1969,0.3,14100,32500
"HERRNIRS",1970,0.466,20600,38100
"HERRNIRS",1971,0.489,26800,36200
"HERRNIRS",1972,0.515,27400,34700
"HERRNIRS",1973,0.455,22600,32200
"HERRNIRS",1974,0.864,38600,29400
"HERRNIRS",1975,0.811,24500,21600
"HERRNIRS",1976,0.938,21300,13700
"HERRNIRS",1977,0.916,15400,9320
"HERRNIRS",1978,0.79,11100,10200
"HERRNIRS",1979,0.82,12300,8610
"HERRNIRS",1980,0.993,10600,6320
"HERRNIRS",1981,0.465,4380,8780
"HERRNIRS",1982,0.306,4860,12500
"HERRNIRS",1983,0.176,3930,16600
"HERRNIRS",1984,0.155,4070,20900
"HERRNIRS",1985,0.382,9190,15700
"HERRNIRS",1986,0.328,7440,17000
"HERRNIRS",1987,0.265,5820,16400
"HERRNIRS",1988,0.512,10200,16500
"HERRNIRS",1989,0.281,4950,14100
"HERRNIRS",1990,0.369,6310,12700
"HERRNIRS",1991,0.289,4400,9430
"HERRNIRS",1992,0.418,5270,8210
"HERRNIRS",1993,0.313,4410,9080
