"stockid","tsyear","F","TC","SSB"
"ANCHMEDGSA17-18",2016,1.4279074,28681,27639.47
"ANCHMEDGSA17-18",2017,1.015905217,35272.85,24609.88
"ANCHMEDGSA17-18",2018,0.936709118,36207.82,28984.61
"ANCHMEDGSA17-18",2019,0.916860994,27871.27,26547.16
"ANCHMEDGSA17-18",2020,0.909301164,23796.95,25707.66
"ANCHMEDGSA17-18",2021,0.930032791,28306.08,23592.72
"ANCHMEDGSA17-18",2022,1.002638077,28665.25,20177.88
"ANCHMEDGSA19",2006,NA,2280,NA
"ANCHMEDGSA19",2007,NA,831,NA
"ANCHMEDGSA19",2008,NA,560,NA
"ANCHMEDGSA19",2009,NA,731,NA
"ANCHMEDGSA19",2010,NA,1050,NA
"ANCHMEDGSA19",2011,NA,931,NA
"ANCHMEDGSA19",2012,NA,817,NA
"ANCHMEDGSA20",2000,0.772,901,1110
"ANCHMEDGSA20",2001,0.468,515,1240
"ANCHMEDGSA20",2002,0.375,462,2020
"ANCHMEDGSA20",2003,2.06,1930,769
"ANCHMEDGSA20",2004,0.194,1150,724
"ANCHMEDGSA20",2005,0.986,979,823
"ANCHMEDGSA20",2006,0.734,665,678
"ANCHMEDGSA20",2007,0.281,337,1270
"ANCHMEDGSA20",2008,0.814,1310,1190
"ANCHMEDGSA22",2000,0.732,9760,13200
"ANCHMEDGSA22",2001,0.532,8230,15900
"ANCHMEDGSA22",2002,0.415,8550,22000
"ANCHMEDGSA22",2003,0.498,14000,28500
"ANCHMEDGSA22",2004,0.604,16100,30500
"ANCHMEDGSA22",2005,0.613,16300,21400
"ANCHMEDGSA22",2006,0.723,22300,20300
"ANCHMEDGSA22",2007,0.605,21500,21100
"ANCHMEDGSA22",2008,0.576,24500,25600
"ANCHMEDGSA22-23",2000,2.31771,9210.2,23333
"ANCHMEDGSA22-23",2001,1.76229,7771.6,34722
"ANCHMEDGSA22-23",2002,1.36645,12122.3,36508
"ANCHMEDGSA22-23",2003,1.10616,14329.8,50712
"ANCHMEDGSA22-23",2004,0.95463,13850.8,57162
"ANCHMEDGSA22-23",2005,0.88846,15672.1,63221
"ANCHMEDGSA22-23",2006,0.89025,19875.7,53445
"ANCHMEDGSA22-23",2007,0.94585,NA,60912
"ANCHMEDGSA22-23",2008,1.03795,25754,66521
"ANCHMEDGSA22-23",2009,1.13895,NA,54760
"ANCHMEDGSA22-23",2010,1.2099,NA,50374
"ANCHMEDGSA22-23",2011,1.21202,NA,43597
"ANCHMEDGSA22-23",2012,1.12763,NA,43290
"ANCHMEDGSA22-23",2013,0.97277,11330.4,33582
"ANCHMEDGSA22-23",2014,0.78711,14817.7,59054
"ANCHMEDGSA22-23",2015,0.61001,11383.5,63251
"ANCHMEDGSA22-23",2016,0.4636,10610,74802
"ANCHMEDGSA29",1988,1.980491,298285,315742.6
"ANCHMEDGSA29",1989,1.474818,96895,196526.4
"ANCHMEDGSA29",1990,1.133942,66430,209601.4
"ANCHMEDGSA29",1991,1.036721,86163,333073.3
"ANCHMEDGSA29",1992,1.023745,159745,469726.1
"ANCHMEDGSA29",1993,1.046919,221707,611545.4
"ANCHMEDGSA29",1994,1.117099,280405,620692.8
"ANCHMEDGSA29",1995,1.186955,376127,715484.2
"ANCHMEDGSA29",1996,1.19798,276286,749117.2
"ANCHMEDGSA29",1997,1.183782,219946,711076.7
"ANCHMEDGSA29",1998,1.129637,201431,858554.7
"ANCHMEDGSA29",1999,1.163609,323841,907721.6
"ANCHMEDGSA29",2000,1.160362,276490,920862.3
"ANCHMEDGSA29",2001,1.221239,300882,901730.2
"ANCHMEDGSA29",2002,1.35827,350891,835918
"ANCHMEDGSA29",2003,1.464481,284672,632270.7
"ANCHMEDGSA29",2004,1.453777,321166,667055.7
"ANCHMEDGSA29",2005,1.127338,134845,684312.3
"ANCHMEDGSA29",2006,1.150629,234464,710245.2
"ANCHMEDGSA29",2007,1.234893,386572,709385.9
"ANCHMEDGSA29",2008,1.207001,260487,702800.1
"ANCHMEDGSA29",2009,1.159297,230180,540631.3
"ANCHMEDGSA29",2010,1.116045,234109,516482
"ANCHMEDGSA29",2011,1.216875,264388,513684.9
"ANCHMEDGSA29",2012,1.173385,172813,425764.8
"ANCHMEDGSA29",2013,1.161339,326204,528958.7
"ANCHMEDGSA29",2014,1.047558,137653,495180.6
"ANCHMEDGSA29",2015,1.157277,254271,479389.1
"ANCHMEDGSA29",2016,1.203935,161757,343327.7
"ANCHMEDGSA29",2017,1.577475,210779,331617.7
"ANCHMEDGSA29",2018,1.494792,78258,303097
"ANCHMEDGSA29",2019,1.637928,332764,369406.1
"ANCHMEDGSA29",2020,1.494515,224045,316605.7
"ANCHMEDGSA29",2021,1.390449,196066,431067.3
"ANCHMEDGSA6",1945,0.0736,2654.967,NA
"ANCHMEDGSA6",1946,0.0427,2934.355,NA
"ANCHMEDGSA6",1947,0.0852,3706.581,NA
"ANCHMEDGSA6",1948,0.0403,3326.095,NA
"ANCHMEDGSA6",1949,0.0482,3616.433,NA
"ANCHMEDGSA6",1950,0.0835,4465.794,NA
"ANCHMEDGSA6",1951,0.065,4247.314,NA
"ANCHMEDGSA6",1952,0.0591,3544.033,NA
"ANCHMEDGSA6",1953,0.0302,2766.528,NA
"ANCHMEDGSA6",1954,0.0456,3047.957,NA
"ANCHMEDGSA6",1955,0.0573,3427.08,NA
"ANCHMEDGSA6",1956,0.0534,3100.269,NA
"ANCHMEDGSA6",1957,0.0255,2445.86,NA
"ANCHMEDGSA6",1958,0.0468,2730.745,NA
"ANCHMEDGSA6",1959,0.0377,2819.234,NA
"ANCHMEDGSA6",1960,0.0514,2946.689,NA
"ANCHMEDGSA6",1961,0.0313,2732.656,NA
"ANCHMEDGSA6",1962,0.0527,3194.305,NA
"ANCHMEDGSA6",1963,0.0529,3390.956,NA
"ANCHMEDGSA6",1964,0.0453,3287.901,NA
"ANCHMEDGSA6",1965,0.0488,3436.601,NA
"ANCHMEDGSA6",1966,0.0493,4021.228,NA
"ANCHMEDGSA6",1967,0.0889,6010.098,NA
"ANCHMEDGSA6",1968,0.176,8883.356,NA
"ANCHMEDGSA6",1969,0.153,9904.856,NA
"ANCHMEDGSA6",1970,0.193,10327.616,NA
"ANCHMEDGSA6",1971,0.132,9435.214,NA
"ANCHMEDGSA6",1972,0.143,9908.229,NA
"ANCHMEDGSA6",1973,0.193,11695.74,NA
"ANCHMEDGSA6",1974,0.204,13742.5,NA
"ANCHMEDGSA6",1975,0.338,17323.352,NA
"ANCHMEDGSA6",1976,0.395,19111.229,NA
"ANCHMEDGSA6",1977,0.342,18856.905,NA
"ANCHMEDGSA6",1978,0.397,20162.627,NA
"ANCHMEDGSA6",1979,0.537,21987.718,NA
"ANCHMEDGSA6",1980,0.519,21400.655,NA
"ANCHMEDGSA6",1981,0.546,20856.188,NA
"ANCHMEDGSA6",1982,0.735,19830.553,NA
"ANCHMEDGSA6",1983,0.541,14824.012,NA
"ANCHMEDGSA6",1984,0.405,10973.743,NA
"ANCHMEDGSA6",1985,0.243,9624.938,NA
"ANCHMEDGSA6",1986,0.366,11834.741,NA
"ANCHMEDGSA6",1987,0.308,13663.194,NA
"ANCHMEDGSA6",1988,0.441,16275.695,NA
"ANCHMEDGSA6",1989,0.401,16912.484,NA
"ANCHMEDGSA6",1990,0.399,17527.83,NA
"ANCHMEDGSA6",1991,0.513,19041.417,NA
"ANCHMEDGSA6",1992,0.517,19019.725,NA
"ANCHMEDGSA6",1993,0.498,18847.148,NA
"ANCHMEDGSA6",1994,0.732,19576.223,NA
"ANCHMEDGSA6",1995,0.658,16822.072,NA
"ANCHMEDGSA6",1996,0.606,13922.93,NA
"ANCHMEDGSA6",1997,0.636,11989.763,NA
"ANCHMEDGSA6",1998,0.527,10012.635,NA
"ANCHMEDGSA6",1999,0.53,8901.289,NA
"ANCHMEDGSA6",2000,0.399,8101.008,NA
"ANCHMEDGSA6",2001,0.45,8907.325,NA
"ANCHMEDGSA6",2002,0.827,9445.763,29400
"ANCHMEDGSA6",2003,0.61,7641.189,22800
"ANCHMEDGSA6",2004,0.655,6611.972,17300
"ANCHMEDGSA6",2005,0.555,5105.797,13800
"ANCHMEDGSA6",2006,0.249,3195.43,8200
"ANCHMEDGSA6",2007,0.17,2694.569,15700
"ANCHMEDGSA6",2008,0.153,4182.722,19200
"ANCHMEDGSA6",2009,0.435,7519.147,26500
"ANCHMEDGSA6",2010,0.319,8954.308,NA
"ANCHMEDGSA6",2011,0.259,10014.554,NA
"ANCHMEDGSA6",2012,0.262,12243.256,NA
"ANCHMEDGSA6",2013,0.365,15221.96,NA
"ANCHMEDGSA6",2014,0.352,16585.915,NA
"ANCHMEDGSA6",2015,0.348,17072.838,NA
"ANCHMEDGSA6",2016,0.83935971,17466.309,NA
"ANCHMEDGSA6",2017,0.214703891,NA,NA
"ANCHMEDGSA6",2018,0.201036335,NA,NA
"ANCHMEDGSA6",2019,0.180309346,NA,NA
"ANCHMEDGSA6",2020,0.172819555,NA,NA
"ANCHMEDGSA6",2021,0.171248091,NA,NA
"ANCHMEDGSA7",2002,0.119,NA,63890.42
"ANCHMEDGSA7",2003,0.106,NA,44874.46
"ANCHMEDGSA7",2004,0.098,NA,34086.14
"ANCHMEDGSA7",2005,0.097,NA,25188.12
"ANCHMEDGSA7",2006,0.106,NA,28851.69
"ANCHMEDGSA7",2007,0.124,NA,24617.06
"ANCHMEDGSA7",2008,0.153,NA,15623.3
"ANCHMEDGSA7",2009,0.189,NA,13119.6
"ANCHMEDGSA7",2010,0.22,NA,13286.76
"ANCHMEDGSA7",2011,0.231,NA,13071.59
"ANCHMEDGSA7",2012,0.212,NA,11359.24
"ANCHMEDGSA7",2013,0.171,NA,19571.48
"ANCHMEDGSA7",2014,0.123,NA,18626.48
"ANCHMEDGSA7",2015,0.081,NA,17962.79
"ANCHMEDGSA7",2016,0.052,NA,20790.04
"ANCHMEDGSA7",2017,0.033,NA,23489.86
"ANCHMEDGSA7",2018,0.022,NA,28521.31
"ANCHMEDGSA7",2019,0.015,NA,48568.91
"ANCHMEDGSA7",2020,0.01,NA,80715.82
"ANCHMEDGSA7",2021,0.008,NA,135153.38
"ANCHMEDGSA9",2004,NA,1500,NA
"ANCHMEDGSA9",2005,NA,2110,NA
"ANCHMEDGSA9",2006,0.706,3730,9910
"ANCHMEDGSA9",2007,0.564,2300,6260
"ANCHMEDGSA9",2008,0.596,1350,5580
"ANCHMEDGSA9",2009,1.45,2500,7280
"ANCHMEDGSA9",2010,1.21,3000,9050
"ANCHMEDGSA9",2011,1.81,4320,10500
"ANCHMEDGSA9",2012,1.27,4760,11200
"ANCHMEDGSA9",2013,1.63,5560,11100
"ANCHMEDGSA9",2014,1.35,3390,8600
"ANCHMEDGSA9",2015,1.14,3890,11000
"ANCHMEDGSA9-11",2009,0.54689,7154.9,29145
"ANCHMEDGSA9-11",2010,0.46291,8538,30925
"ANCHMEDGSA9-11",2011,0.7561,11756.7,25758
"ANCHMEDGSA9-11",2012,0.71306,11286.5,24051
"ANCHMEDGSA9-11",2013,0.74009,9879.5,21339
"ANCHMEDGSA9-11",2014,0.50112,6647.1,24851
"ANCHMEDGSA9-11",2015,0.44866,7332,33738
"ANCHMEDGSA9-11",2016,0.33589,8931.1,39011
"ANCHOBAYB",1986,NA,NA,NA
"ANCHOBAYB",1987,0.681,15300,21800
"ANCHOBAYB",1988,0.418,15600,35500
"ANCHOBAYB",1989,0.487,10600,17100
"ANCHOBAYB",1990,0.524,34300,65100
"ANCHOBAYB",1991,0.604,19600,30500
"ANCHOBAYB",1992,0.357,37900,105000
"ANCHOBAYB",1993,0.408,40400,97100
"ANCHOBAYB",1994,0.566,34600,59600
"ANCHOBAYB",1995,0.604,30100,48700
"ANCHOBAYB",1996,0.554,34400,59700
"ANCHOBAYB",1997,0.402,22300,50900
"ANCHOBAYB",1998,0.424,31600,74400
"ANCHOBAYB",1999,0.348,27300,75900
"ANCHOBAYB",2000,0.305,37000,121000
"ANCHOBAYB",2001,0.396,40100,101000
"ANCHOBAYB",2002,0.463,17500,37800
"ANCHOBAYB",2003,0.294,10600,35700
"ANCHOBAYB",2004,0.364,16400,44800
"ANCHOBAYB",2005,0.0572,1130,20300
"ANCHOBAYB",2006,0.0547,1750,32200
"ANCHOBAYB",2007,0.00319,0,43900
"ANCHOBAYB",2008,0,0,32200
"ANCHOBAYB",2009,0,0,26400
"ANCHOBAYB",2010,0.175,10300,57900
"ANCHOBAYB",2011,0.124,14500,117000
"ANCHOBAYB",2012,0.173,14400,81200
"ANCHOBAYB",2013,0.222,14200,56100
"ANCHOBAYB",2014,NA,19600,82100
"ANCHOBAYB",2015,NA,25100,147000
"ANCHOBAYB",2016,NA,20700,153000
"ANCHOBAYB",2017,NA,26500,102000
"ANCHOBAYB",2018,NA,30772.94974,141030.1375
"ANCHOBAYB",2019,NA,26622,144834.1502
"ANCHOBAYB",2020,NA,25900,174000
"ANCHOCWACIV-BEN",1990,NA,82220,NA
"ANCHOCWACIV-BEN",1991,NA,70203,NA
"ANCHOCWACIV-BEN",1992,NA,88935,NA
"ANCHOCWACIV-BEN",1993,NA,89181,NA
"ANCHOCWACIV-BEN",1994,NA,65092,NA
"ANCHOCWACIV-BEN",1995,NA,70276,NA
"ANCHOCWACIV-BEN",1996,NA,105413,NA
"ANCHOCWACIV-BEN",1997,NA,88164,NA
"ANCHOCWACIV-BEN",1998,NA,51433,NA
"ANCHOCWACIV-BEN",1999,NA,42381,NA
"ANCHOCWACIV-BEN",2000,NA,91082,NA
"ANCHOCWACIV-BEN",2001,NA,75687,NA
"ANCHOCWACIV-BEN",2002,NA,66043,NA
"ANCHOCWACIV-BEN",2003,NA,95215,NA
"ANCHOCWACIV-BEN",2004,NA,60102,NA
"ANCHOCWACIV-BEN",2005,NA,43470,NA
"ANCHOCWACIV-BEN",2006,NA,52515,NA
"ANCHOCWACIV-BEN",2007,NA,13407,NA
"ANCHOCWACIV-BEN",2008,NA,43467,NA
"ANCHOCWACIV-BEN",2009,NA,57798,NA
"ANCHOCWACIV-BEN",2010,NA,50895,NA
