model,n,rmse
M1,75,68.95300744679827
M2,75,74.7960738769694
M2_oracle,75,45.31843337505437
M2m,75,68.66881474872186
M3,75,73.80935277765784
M4,75,73.34678735528121
naive_mean,75,89.66987903162484
naive_persist,75,71.8966921054794
