policy,uc,K,T,nominal_boundary,certified_boundary,nominal_intervals,certified_intervals
flat_90,UC_q05,K_phys_618,1,618.0,635.093,"[[618.0, 710.0]]","[[635.092911064732, 710.0]]"
flat_90,UC_q05,K_phys_618,2,618.0,658.003,"[[618.0, 710.0]]","[[658.0026702888939, 710.0]]"
flat_90,UC_q05,K_phys_618,3,618.0,688.708,"[[618.0, 710.0]]","[[688.7075101806603, 710.0]]"
flat_90,UC_q05,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
flat_90,UC_q05,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
flat_90,UC_q05,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
flat_90,UC_q05,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
flat_90,UC_q05,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
flat_90,UC_q05,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
flat_90,UC_q05,K_inst_660,1,670.731,691.386,"[[670.73050736952, 710.0]]","[[691.386079096666, 710.0]]"
flat_90,UC_q05,K_inst_660,2,685.113,,"[[685.1127515223841, 710.0]]",
flat_90,UC_q05,K_inst_660,3,704.389,,"[[704.3894678741336, 710.0]]",
flat_90,UC_q05,K_inst_660,5,,,,
flat_90,UC_q05,K_inst_660,8,,,,
flat_90,UC_q05,K_inst_660,10,,,,
flat_90,UC_q05,K_inst_660,15,,,,
flat_90,UC_q05,K_inst_660,20,,,,
flat_90,UC_q05,K_inst_660,inf,,,,
flat_90,UC_q10,K_phys_618,1,618.0,634.759,"[[618.0, 710.0]]","[[634.7585428768514, 710.0]]"
flat_90,UC_q10,K_phys_618,2,618.0,657.22,"[[618.0, 710.0]]","[[657.2201438966108, 710.0]]"
flat_90,UC_q10,K_phys_618,3,618.0,687.324,"[[618.0, 710.0]]","[[687.3243112858698, 710.0]]"
flat_90,UC_q10,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
flat_90,UC_q10,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
flat_90,UC_q10,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
flat_90,UC_q10,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
flat_90,UC_q10,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
flat_90,UC_q10,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
flat_90,UC_q10,K_inst_660,1,670.396,691.052,"[[670.3961391816393, 710.0]]","[[691.0517109087853, 710.0]]"
flat_90,UC_q10,K_inst_660,2,684.33,,"[[684.3302251301011, 710.0]]",
flat_90,UC_q10,K_inst_660,3,703.006,,"[[703.0062689793432, 710.0]]",
flat_90,UC_q10,K_inst_660,5,,,,
flat_90,UC_q10,K_inst_660,8,,,,
flat_90,UC_q10,K_inst_660,10,,,,
flat_90,UC_q10,K_inst_660,15,,,,
flat_90,UC_q10,K_inst_660,20,,,,
flat_90,UC_q10,K_inst_660,inf,,,,
flat_80,UC_min,K_phys_618,1,618.0,637.281,"[[618.0, 710.0]]","[[637.2813193700383, 710.0]]"
flat_80,UC_min,K_phys_618,2,618.0,663.124,"[[618.0, 710.0]]","[[663.1242318430833, 710.0]]"
flat_80,UC_min,K_phys_618,3,618.0,697.76,"[[618.0, 710.0]]","[[697.7604167039636, 710.0]]"
flat_80,UC_min,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
flat_80,UC_min,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
flat_80,UC_min,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
flat_80,UC_min,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
flat_80,UC_min,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
flat_80,UC_min,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
flat_80,UC_min,K_inst_660,1,672.919,693.574,"[[672.9189156748263, 710.0]]","[[693.5744874019723, 710.0]]"
flat_80,UC_min,K_inst_660,2,690.234,,"[[690.2343130765735, 710.0]]",
flat_80,UC_min,K_inst_660,3,,,,
flat_80,UC_min,K_inst_660,5,,,,
flat_80,UC_min,K_inst_660,8,,,,
flat_80,UC_min,K_inst_660,10,,,,
flat_80,UC_min,K_inst_660,15,,,,
flat_80,UC_min,K_inst_660,20,,,,
flat_80,UC_min,K_inst_660,inf,,,,
flat_80,UC_q05,K_phys_618,1,618.0,634.017,"[[618.0, 710.0]]","[[634.0173755328572, 710.0]]"
flat_80,UC_q05,K_phys_618,2,618.0,655.486,"[[618.0, 710.0]]","[[655.4855799374918, 710.0]]"
