policy,uc,K,T,nominal_boundary,certified_boundary,nominal_intervals,certified_intervals
flat_0,UC_q05,K_inst_660,2,662.459,,"[[662.4589383597659, 710.0]]",
flat_0,UC_q05,K_inst_660,3,664.346,,"[[664.3464359223245, 710.0]]",
flat_0,UC_q05,K_inst_660,5,670.267,,"[[670.2670512038702, 710.0]]",
flat_0,UC_q05,K_inst_660,8,689.067,,"[[689.0673729123165, 710.0]]",
flat_0,UC_q05,K_inst_660,10,,,,
flat_0,UC_q05,K_inst_660,15,,,,
flat_0,UC_q05,K_inst_660,20,,,,
flat_0,UC_q05,K_inst_660,inf,,,,
flat_0,UC_q10,K_phys_618,1,618.0,633.411,"[[618.0, 710.0]]","[[633.411, 710.0]]"
flat_0,UC_q10,K_phys_618,2,618.0,644.909,"[[618.0, 710.0]]","[[644.909, 710.0]]"
flat_0,UC_q10,K_phys_618,3,618.0,653.487,"[[618.0, 710.0]]","[[653.487, 710.0]]"
flat_0,UC_q10,K_phys_618,5,618.0,687.169,"[[618.0, 710.0]]","[[687.1692965288742, 710.0]]"
flat_0,UC_q10,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
flat_0,UC_q10,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
flat_0,UC_q10,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
flat_0,UC_q10,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
flat_0,UC_q10,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
flat_0,UC_q10,K_inst_660,1,660.716,681.372,"[[660.7163193947662, 710.0]]","[[681.3718911219122, 710.0]]"
flat_0,UC_q10,K_inst_660,2,661.676,,"[[661.676411967483, 710.0]]",
flat_0,UC_q10,K_inst_660,3,662.963,,"[[662.9632370275344, 710.0]]",
flat_0,UC_q10,K_inst_660,5,667.0,,"[[666.9996905130098, 710.0]]",
flat_0,UC_q10,K_inst_660,8,679.817,,"[[679.8170448722183, 710.0]]",
flat_0,UC_q10,K_inst_660,10,697.277,,"[[697.2765508776652, 710.0]]",
flat_0,UC_q10,K_inst_660,15,,,,
flat_0,UC_q10,K_inst_660,20,,,,
flat_0,UC_q10,K_inst_660,inf,,,,
S1,UC_min,K_phys_618,1,618.0,637.281,"[[618.0, 710.0]]","[[637.2813193700383, 710.0]]"
S1,UC_min,K_phys_618,2,618.0,665.275,"[[618.0, 710.0]]","[[665.2753029068328, 710.0]]"
S1,UC_min,K_phys_618,3,618.0,706.659,"[[618.0, 710.0]]","[[706.65886824881, 710.0]]"
S1,UC_min,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
S1,UC_min,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
S1,UC_min,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
S1,UC_min,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
S1,UC_min,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
S1,UC_min,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
S1,UC_min,K_inst_660,1,675.07,695.726,"[[675.0699867385758, 710.0]]","[[695.7255584657217, 710.0]]"
S1,UC_min,K_inst_660,2,695.268,,"[[695.2684937793775, 710.0]]",
S1,UC_min,K_inst_660,3,,,,
S1,UC_min,K_inst_660,5,,,,
S1,UC_min,K_inst_660,8,,,,
S1,UC_min,K_inst_660,10,,,,
S1,UC_min,K_inst_660,15,,,,
S1,UC_min,K_inst_660,20,,,,
S1,UC_min,K_inst_660,inf,,,,
S1,UC_q05,K_phys_618,1,618.0,634.017,"[[618.0, 710.0]]","[[634.0173755328572, 710.0]]"
S1,UC_q05,K_phys_618,2,618.0,655.486,"[[618.0, 710.0]]","[[655.4855799374918, 710.0]]"
S1,UC_q05,K_phys_618,3,618.0,693.157,"[[618.0, 710.0]]","[[693.1567359530832, 710.0]]"
S1,UC_q05,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
S1,UC_q05,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
S1,UC_q05,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
S1,UC_q05,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
S1,UC_q05,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
S1,UC_q05,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
S1,UC_q05,K_inst_660,1,671.806,692.462,"[[671.8060429013947, 710.0]]","[[692.4616146285407, 710.0]]"
S1,UC_q05,K_inst_660,2,687.63,,"[[687.629841873786, 710.0]]",
S1,UC_q05,K_inst_660,3,708.839,,"[[708.8386936465565, 710.0]]",
S1,UC_q05,K_inst_660,5,,,,
S1,UC_q05,K_inst_660,8,,,,
S1,UC_q05,K_inst_660,10,,,,
S1,UC_q05,K_inst_660,15,,,,
S1,UC_q05,K_inst_660,20,,,,
S1,UC_q05,K_inst_660,inf,,,,
S1,UC_q10,K_phys_618,1,618.0,633.683,"[[618.0, 710.0]]","[[633.6830073449767, 710.0]]"
S1,UC_q10,K_phys_618,2,618.0,654.703,"[[618.0, 710.0]]","[[654.703053545209, 710.0]]"
S1,UC_q10,K_phys_618,3,618.0,691.774,"[[618.0, 710.0]]","[[691.773537058293, 710.0]]"
S1,UC_q10,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
S1,UC_q10,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
S1,UC_q10,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
S1,UC_q10,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
S1,UC_q10,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
S1,UC_q10,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
S1,UC_q10,K_inst_660,1,671.472,692.127,"[[671.4716747135141, 710.0]]","[[692.1272464406601, 710.0]]"
S1,UC_q10,K_inst_660,2,686.847,,"[[686.847315481503, 710.0]]",
S1,UC_q10,K_inst_660,3,707.455,,"[[707.4554947517662, 710.0]]",
S1,UC_q10,K_inst_660,5,,,,
S1,UC_q10,K_inst_660,8,,,,
S1,UC_q10,K_inst_660,10,,,,
S1,UC_q10,K_inst_660,15,,,,
S1,UC_q10,K_inst_660,20,,,,
S1,UC_q10,K_inst_660,inf,,,,
cpm,UC_min,K_phys_618,1,618.0,635.668,"[[618.0, 710.0]]","[[635.6680160722261, 710.0]]"
cpm,UC_min,K_phys_618,2,618.0,665.275,"[[618.0, 710.0]]","[[665.2753029068328, 710.0]]"
cpm,UC_min,K_phys_618,3,618.0,706.659,"[[618.0, 710.0]]","[[706.65886824881, 710.0]]"
cpm,UC_min,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
cpm,UC_min,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
cpm,UC_min,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
cpm,UC_min,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
cpm,UC_min,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
cpm,UC_min,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
cpm,UC_min,K_inst_660,1,675.07,695.726,"[[675.0699867385758, 710.0]]","[[695.7255584657217, 710.0]]"
cpm,UC_min,K_inst_660,2,695.268,,"[[695.2684937793775, 710.0]]",
cpm,UC_min,K_inst_660,3,,,,
cpm,UC_min,K_inst_660,5,,,,
cpm,UC_min,K_inst_660,8,,,,
cpm,UC_min,K_inst_660,10,,,,
cpm,UC_min,K_inst_660,15,,,,
cpm,UC_min,K_inst_660,20,,,,
cpm,UC_min,K_inst_660,inf,,,,
cpm,UC_q05,K_phys_618,1,618.0,633.411,"[[618.0, 710.0]]","[[633.411, 710.0]]"
cpm,UC_q05,K_phys_618,2,618.0,654.044,"[[618.0, 710.0]]","[[654.0440251179646, 710.0]]"
cpm,UC_q05,K_phys_618,3,618.0,693.157,"[[618.0, 710.0]]","[[693.1567359530832, 710.0]]"
cpm,UC_q05,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
cpm,UC_q05,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
cpm,UC_q05,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
cpm,UC_q05,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
cpm,UC_q05,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
cpm,UC_q05,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
cpm,UC_q05,K_inst_660,1,671.806,692.462,"[[671.8060429013947, 710.0]]","[[692.4616146285407, 710.0]]"
cpm,UC_q05,K_inst_660,2,687.63,,"[[687.629841873786, 710.0]]",
cpm,UC_q05,K_inst_660,3,708.839,,"[[708.8386936465565, 710.0]]",
cpm,UC_q05,K_inst_660,5,,,,
cpm,UC_q05,K_inst_660,8,,,,
cpm,UC_q05,K_inst_660,10,,,,
cpm,UC_q05,K_inst_660,15,,,,
cpm,UC_q05,K_inst_660,20,,,,
cpm,UC_q05,K_inst_660,inf,,,,
cpm,UC_q10,K_phys_618,1,618.0,633.411,"[[618.0, 710.0]]","[[633.411, 710.0]]"
cpm,UC_q10,K_phys_618,2,618.0,653.261,"[[618.0, 710.0]]","[[653.2614987256817, 710.0]]"
cpm,UC_q10,K_phys_618,3,618.0,691.774,"[[618.0, 710.0]]","[[691.773537058293, 710.0]]"
cpm,UC_q10,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
cpm,UC_q10,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
cpm,UC_q10,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
cpm,UC_q10,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
cpm,UC_q10,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
cpm,UC_q10,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
cpm,UC_q10,K_inst_660,1,671.472,692.127,"[[671.4716747135141, 710.0]]","[[692.1272464406601, 710.0]]"
cpm,UC_q10,K_inst_660,2,686.847,,"[[686.847315481503, 710.0]]",
cpm,UC_q10,K_inst_660,3,707.455,,"[[707.4554947517662, 710.0]]",
cpm,UC_q10,K_inst_660,5,,,,
cpm,UC_q10,K_inst_660,8,,,,
cpm,UC_q10,K_inst_660,10,,,,
cpm,UC_q10,K_inst_660,15,,,,
cpm,UC_q10,K_inst_660,20,,,,
cpm,UC_q10,K_inst_660,inf,,,,
