stock,name,n,trough_B,peak_B,t_lag,tau_r,t50,r2,censored
Brevoortia_tyrannus-21,Atlantic menhaden Atlantic,13,0.501015075,1.019145729,1.688740662181092,3.372640949814733,4.026477227586191,0.8543234743587178,True
Brevoortia_tyrannus-31,Atlantic menhaden Atlantic,13,0.501015075,1.019145729,1.6887406580991513,3.3726409355859013,4.026477213641575,0.8543234743587288,True
Engraulis_encrasicolus-27,Anchovy ICES VIII,11,0.16158427,1.489483146,3.56844886387272,3.342357382187654,5.885194459759813,0.7624746900166044,False
Engraulis_encrasicolus-37,Anchovy South of Sicily,9,0.5396394367999999,0.7791260946545502,0.924999886232353,1.651141245395496,2.0694837851844774,0.914986464096553,True
Epinephelus_morio-21,Red grouper South Atlantic,15,0.513586957,1.1153381635,0.9615668182745828,6.796382130891968,5.672459930310343,0.913856722038493,False
Etrumeus_teres-61,Round herring Tsushima Strait,13,0.197334303,0.9630026639999999,1.766173974107288,5.526463354520936,5.596826466761332,0.8669648226268356,True
Gadus_macrocephalus-61,Pacific cod Bering Sea,7,0.37880164033333336,0.9982448319450553,1.5830614462385029,2.046701791394942,3.001727022390896,0.9700603232178582,False
Hippoglossoides_platessoides-21,American Plaice NAFO-5YZ,12,0.39032578,1.15513394857145,1.8305326268658424,2.3812466522216735,3.481087030071104,0.8991397201864214,False
Hoplostethus_atlanticus-57,Orange roughy Southeast Australia,14,0.490178513,1.10448119756043,3.7258932755629344,4.127931905203985,6.587157637198519,0.9589262921059394,False
Hoplostethus_atlanticus-81,Orange roughy East and South Chatham Rise,15,0.498376848,0.88153268451282,3.8326213848707034,5.045961825774516,7.330215597619423,0.9371647420760587,False
Hoplostethus_atlanticus-NA,Orange roughy Northwest Chatham Rise,12,0.53,1.04,2.7097591086908737,4.003448517402768,5.484738161045495,0.9519390548883617,True
Lophius_budegassa-27,Black bellied angler VIIIc-IXa,15,0.42000000000000004,1.09,2.7669209174011398,6.698650234571146,7.410071441051346,0.9222599805077426,False
Merluccius_paradoxus-47,Deep-water cape hake South Africa,10,0.54,1.11,1.8443904601038505,2.228208829084682,3.388867127682675,0.9420351801491778,True
Mycteroperca_microlepis-21,Gag Southern Atlantic coast,7,0.547859366,0.969407108,-0.1929193306410199,3.650884816405497,2.337681186399564,0.5173824942780556,True
Paralichthys_olivaceus-61,Japanese flounder East China Sea,15,0.3010855746154636,0.9506183188461539,0.8600931063622153,7.457437418992984,6.029194827539437,0.8476915112326311,False
Paralichthys_olivaceus-67,Japanese flounder Pacific Ocean,15,0.212211457285861,1.397466359,1.43476701329038,7.228599632985946,6.445250468291245,0.8419583215690096,False
Pleuronectes_platessa-27,European Plaice Subdivisions 21-23,11,0.5140556679032258,1.5575170580645163,4.544095033045617,2.1995015242400457,6.068673313209907,0.9701085130599298,True
Sardinella-34,Sardinella West Africa,12,0.285013473,1.02679179022424,-0.1794109419145775,3.996518645154189,2.5907646890293012,0.6855148157601094,False
Sardinops_sagax-61,Japanese sardine Pacific Coast of Japan,12,0.0874528518,1.1964344218,4.709441264955697,1.6924439799462125,5.882554037911067,0.9724011470244318,True
Sebastes-21,Redfish species NAFO 3LN,15,0.298,1.47672527472528,2.599088675461679,5.754330014830676,6.58768630125303,0.9588265912726804,False
Sebastes_crameri-77,Darkblotched rockfish Pacific Coast,15,0.41664062500000004,0.985,2.8887651763554643,6.128496711479458,7.1367153929883465,0.961356253888255,False
Sebastes_levis-77,Cowcod Southern California,15,0.506956522,0.892753623,1.3812405002826083,6.334956944988735,5.772298045670195,0.9676981922475758,False
Sebastes_melanops-77,Black rockfish California,15,0.384889412,0.831096471,0.6054724453425597,8.52499456637064,6.514548393311223,0.9021176398778817,False
Sebastes_pinniger-77,Canary rockfish Pacific Coast,15,0.389937733,1.387141236,9.651755909830591,1.0000000000000002,10.344903090390536,0.903157949666617,False
Sebastes_viviparus-21,Acadian redfish Gulf of Maine / Georges Bank,15,0.339665329,1.37958993492308,2.5253473182927872,5.765141680323537,6.521439019537672,0.9380763395745764,False
Squalus_acanthias-21,Spiny dogfish Atlantic Coast,11,0.299576867,1.354427201,-0.2896096302802887,3.283370892851711,1.986249646832465,0.6817669355849247,True
Squalus_acanthias-31,Spiny dogfish Atlantic Coast,11,0.299576867,1.354427201,-0.2896096302802887,3.283370892851711,1.986249646832465,0.6817669355849247,True
Tetrapturus_audax-61,Striped marlin Western and Central North Pacific,15,0.33,2.775097552,8.868233648068593,1.0000000000000002,9.561380828628538,0.8570386336185928,True
Thunnus_thynnus-18,Bluefin tuna Eastern Atlantic,11,0.4716,1.2296,2.6616156776819366,2.2499471443542083,4.221160197199956,0.9699452485311123,False
Thunnus_thynnus-21,Bluefin tuna Eastern Atlantic,11,0.3874545454545455,0.9339090909090909,2.631502199805542,2.3028529864540737,4.227718254610233,0.965557029741748,False
Thunnus_thynnus-41,Bluefin tuna Eastern Atlantic,11,0.3627058823529412,0.8469411764705882,2.617751817868157,2.3265996599934207,4.230427812484324,0.9630072839824387,False
Thunnus_thynnus-48,Bluefin tuna Eastern Atlantic,11,0.39492307692307693,0.9601538461538461,2.635069133667962,2.296651964809987,4.226986967803463,0.9661613123554299,False
Urophycis_tenuis-21,White hake Georges Bank / Gulf of Maine,11,0.330322581,0.877204301,1.7773420005565879,4.128058820605864,4.638694333245156,0.9286020359484588,True
