tau,T,residual,mu_dom_abs,mu_dom_real,mu_dom_imag,phase_mu_abs,cls
5.574,321.91416022504586,1.3642420526593924e-12,0.9363410579952438,0.9363410579952438,0.0,1.030090844786217,
5.5745,322.74413644533405,1.8189894035458565e-12,0.9485423993213604,0.9485423993213604,0.0,1.0105280665557292,
5.575,322.5789764626657,1.3642420526593924e-12,0.949226057976363,0.949226057976363,0.0,1.0110917773409989,
5.5755,322.43876067665775,2.7284841053187847e-12,0.9504608738346945,0.9504608738346945,0.0,1.010867828969428,
5.576,322.2823080743113,4.746203430272544e-14,0.9514715468916345,0.9514715468916345,0.0,1.0110027692955679,
5.5765,322.12533283523277,4.547473508864641e-13,0.9525531891221919,0.9525531891221919,0.0,1.0110598358812448,
