tau,T,residual,mu_dom_abs,mu_dom_real,mu_dom_imag,phase_mu_abs,cls
4.0,373.0577000140544,9.094947017729282e-13,0.23962501291665605,0.23962501291665605,0.0,1.0555601584832484,
4.5,370.4653871714954,1.3642420526593924e-12,0.30626946448454956,0.30626946448454956,0.0,1.0054003613816935,
5.0,360.5115919525972,9.094947017729282e-13,0.4854804770643748,0.4854804770643748,0.0,1.0069692374412456,
5.3,349.0574944661738,4.547473508864641e-13,0.6649170518557106,0.6649170518557106,0.0,1.007479525677211,
5.45,339.33467894130797,9.094947017729282e-13,0.7917899480956238,0.7917899480956238,0.0,1.0081689676075156,
5.5,334.62661920090886,4.547473508864641e-13,0.8442102781224619,0.8442102781224619,0.0,1.008426211897187,
5.55,328.00195284924166,5.5099008688941353e-11,0.9071838700750346,0.9071838700750346,0.0,1.0094407988969074,
5.56,326.17493774449537,1.8189894035458565e-12,0.9225234799056837,0.9225234799056837,0.0,1.0096652299226492,
5.565,325.1260707733255,5.571293426598345e-12,0.9307446667566018,0.9307446667566018,0.0,1.0099944092393525,
5.57,323.9515996286815,2.1487145396292817e-11,0.9396228104533062,0.9396228104533062,0.0,1.0103449228253252,
5.572,323.43393100439846,1.3642420526593924e-12,0.9434062098939441,0.9434062098939441,0.0,1.0105156894719067,
5.574,322.8799930381834,9.094947017729282e-13,0.9473360486130216,0.9473360486130216,0.0,1.0107422035911537,
